agency,year,state,population,ORI,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,oth_assault_tot_arrests,oth_assault_tot_adult,oth_assault_tot_juv,oth_assault_tot_male,oth_assault_tot_female,oth_assault_tot_male_adult,oth_assault_tot_male_juv,oth_assault_tot_female_adult,oth_assault_tot_female_juv,arson_tot_arrests,arson_tot_adult,arson_tot_juv,arson_tot_male,arson_tot_female,arson_tot_male_adult,arson_tot_male_juv,arson_tot_female_adult,arson_tot_female_juv,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,curfew_tot_arrests,curfew_tot_adult,curfew_tot_juv,curfew_tot_male,curfew_tot_female,curfew_tot_male_adult,curfew_tot_male_juv,curfew_tot_female_adult,curfew_tot_female_juv,disorder_cond_tot_arrests,disorder_cond_tot_adult,disorder_cond_tot_juv,disorder_cond_tot_male,disorder_cond_tot_female,disorder_cond_tot_male_adult,disorder_cond_tot_male_juv,disorder_cond_tot_female_adult,disorder_cond_tot_female_juv,total_drug_tot_arrests,total_drug_tot_adult,total_drug_tot_juv,total_drug_tot_male,total_drug_tot_female,total_drug_tot_male_adult,total_drug_tot_male_juv,total_drug_tot_female_adult,total_drug_tot_female_juv,poss_drug_tot_arrests,poss_drug_tot_adult,poss_drug_tot_juv,poss_drug_tot_male,poss_drug_tot_female,poss_drug_tot_male_adult,poss_drug_tot_male_juv,poss_drug_tot_female_adult,poss_drug_tot_female_juv,poss_narcotic_tot_arrests,poss_narcotic_tot_adult,poss_narcotic_tot_juv,poss_narcotic_tot_male,poss_narcotic_tot_female,poss_narcotic_tot_male_adult,poss_narcotic_tot_male_juv,poss_narcotic_tot_female_adult,poss_narcotic_tot_female_juv,poss_cannabis_tot_arrests,poss_cannabis_tot_adult,poss_cannabis_tot_juv,poss_cannabis_tot_male,poss_cannabis_tot_female,poss_cannabis_tot_male_adult,poss_cannabis_tot_male_juv,poss_cannabis_tot_female_adult,poss_cannabis_tot_female_juv,poss_coke_tot_arrests,poss_coke_tot_adult,poss_coke_tot_juv,poss_coke_tot_male,poss_coke_tot_female,poss_coke_tot_male_adult,poss_coke_tot_male_juv,poss_coke_tot_female_adult,poss_coke_tot_female_juv,poss_oth_drug_tot_arrests,poss_oth_drug_tot_adult,poss_oth_drug_tot_juv,poss_oth_drug_tot_male,poss_oth_drug_tot_female,poss_oth_drug_tot_male_adult,poss_oth_drug_tot_male_juv,poss_oth_drug_tot_female_adult,poss_oth_drug_tot_female_juv,sale_drug_tot_arrests,sale_drug_tot_adult,sale_drug_tot_juv,sale_drug_tot_male,sale_drug_tot_female,sale_drug_tot_male_adult,sale_drug_tot_male_juv,sale_drug_tot_female_adult,sale_drug_tot_female_juv,sale_narcotic_tot_arrests,sale_narcotic_tot_adult,sale_narcotic_tot_juv,sale_narcotic_tot_male,sale_narcotic_tot_female,sale_narcotic_tot_male_adult,sale_narcotic_tot_male_juv,sale_narcotic_tot_female_adult,sale_narcotic_tot_female_juv,sale_cannabis_tot_arrests,sale_cannabis_tot_adult,sale_cannabis_tot_juv,sale_cannabis_tot_male,sale_cannabis_tot_female,sale_cannabis_tot_male_adult,sale_cannabis_tot_male_juv,sale_cannabis_tot_female_adult,sale_cannabis_tot_female_juv,sale_coke_tot_arrests,sale_coke_tot_adult,sale_coke_tot_juv,sale_coke_tot_male,sale_coke_tot_female,sale_coke_tot_male_adult,sale_coke_tot_male_juv,sale_coke_tot_female_adult,sale_coke_tot_female_juv,sale_oth_drug_tot_arrests,sale_oth_drug_tot_adult,sale_oth_drug_tot_juv,sale_oth_drug_tot_male,sale_oth_drug_tot_female,sale_oth_drug_tot_male_adult,sale_oth_drug_tot_male_juv,sale_oth_drug_tot_female_adult,sale_oth_drug_tot_female_juv,drunkenness_tot_arrests,drunkenness_tot_adult,drunkenness_tot_juv,drunkenness_tot_male,drunkenness_tot_female,drunkenness_tot_male_adult,drunkenness_tot_male_juv,drunkenness_tot_female_adult,drunkenness_tot_female_juv,dui_tot_arrests,dui_tot_adult,dui_tot_juv,dui_tot_male,dui_tot_female,dui_tot_male_adult,dui_tot_male_juv,dui_tot_female_adult,dui_tot_female_juv,embezzlement_tot_arrests,embezzlement_tot_adult,embezzlement_tot_juv,embezzlement_tot_male,embezzlement_tot_female,embezzlement_tot_male_adult,embezzlement_tot_male_juv,embezzlement_tot_female_adult,embezzlement_tot_female_juv,family_offenses_tot_arrests,family_offenses_tot_adult,family_offenses_tot_juv,family_offenses_tot_male,family_offenses_tot_female,family_offenses_tot_male_adult,family_offenses_tot_male_juv,family_offenses_tot_female_adult,family_offenses_tot_female_juv,forgery_tot_arrests,forgery_tot_adult,forgery_tot_juv,forgery_tot_male,forgery_tot_female,forgery_tot_male_adult,forgery_tot_male_juv,forgery_tot_female_adult,forgery_tot_female_juv,fraud_tot_arrests,fraud_tot_adult,fraud_tot_juv,fraud_tot_male,fraud_tot_female,fraud_tot_male_adult,fraud_tot_male_juv,fraud_tot_female_adult,fraud_tot_female_juv,total_gambling_tot_arrests,total_gambling_tot_adult,total_gambling_tot_juv,total_gambling_tot_male,total_gambling_tot_female,total_gambling_tot_male_adult,total_gambling_tot_male_juv,total_gambling_tot_female_adult,total_gambling_tot_female_juv,bookmaking_tot_arrests,bookmaking_tot_adult,bookmaking_tot_juv,bookmaking_tot_male,bookmaking_tot_female,bookmaking_tot_male_adult,bookmaking_tot_male_juv,bookmaking_tot_female_adult,bookmaking_tot_female_juv,number_lottery_tot_arrests,number_lottery_tot_adult,number_lottery_tot_juv,number_lottery_tot_male,number_lottery_tot_female,number_lottery_tot_male_adult,number_lottery_tot_male_juv,number_lottery_tot_female_adult,number_lottery_tot_female_juv,oth_gambling_tot_arrests,oth_gambling_tot_adult,oth_gambling_tot_juv,oth_gambling_tot_male,oth_gambling_tot_female,oth_gambling_tot_male_adult,oth_gambling_tot_male_juv,oth_gambling_tot_female_adult,oth_gambling_tot_female_juv,liquor_tot_arrests,liquor_tot_adult,liquor_tot_juv,liquor_tot_male,liquor_tot_female,liquor_tot_male_adult,liquor_tot_male_juv,liquor_tot_female_adult,liquor_tot_female_juv,manslaught_neg_tot_arrests,manslaught_neg_tot_adult,manslaught_neg_tot_juv,manslaught_neg_tot_male,manslaught_neg_tot_female,manslaught_neg_tot_male_adult,manslaught_neg_tot_male_juv,manslaught_neg_tot_female_adult,manslaught_neg_tot_female_juv,mtr_veh_theft_tot_arrests,mtr_veh_theft_tot_adult,mtr_veh_theft_tot_juv,mtr_veh_theft_tot_male,mtr_veh_theft_tot_female,mtr_veh_theft_tot_male_adult,mtr_veh_theft_tot_male_juv,mtr_veh_theft_tot_female_adult,mtr_veh_theft_tot_female_juv,murder_tot_arrests,murder_tot_adult,murder_tot_juv,murder_tot_male,murder_tot_female,murder_tot_male_adult,murder_tot_male_juv,murder_tot_female_adult,murder_tot_female_juv,oth_non_traffic_tot_arrests,oth_non_traffic_tot_adult,oth_non_traffic_tot_juv,oth_non_traffic_tot_male,oth_non_traffic_tot_female,oth_non_traffic_tot_male_adult,oth_non_traffic_tot_male_juv,oth_non_traffic_tot_female_adult,oth_non_traffic_tot_female_juv,prostitution_tot_arrests,prostitution_tot_adult,prostitution_tot_juv,prostitution_tot_male,prostitution_tot_female,prostitution_tot_male_adult,prostitution_tot_male_juv,prostitution_tot_female_adult,prostitution_tot_female_juv,rape_tot_arrests,rape_tot_adult,rape_tot_juv,rape_tot_male,rape_tot_female,rape_tot_male_adult,rape_tot_male_juv,rape_tot_female_adult,rape_tot_female_juv,robbery_tot_arrests,robbery_tot_adult,robbery_tot_juv,robbery_tot_male,robbery_tot_female,robbery_tot_male_adult,robbery_tot_male_juv,robbery_tot_female_adult,robbery_tot_female_juv,runaway_tot_arrests,runaway_tot_adult,runaway_tot_juv,runaway_tot_male,runaway_tot_female,runaway_tot_male_adult,runaway_tot_male_juv,runaway_tot_female_adult,runaway_tot_female_juv,oth_sex_off_tot_arrests,oth_sex_off_tot_adult,oth_sex_off_tot_juv,oth_sex_off_tot_male,oth_sex_off_tot_female,oth_sex_off_tot_male_adult,oth_sex_off_tot_male_juv,oth_sex_off_tot_female_adult,oth_sex_off_tot_female_juv,stolen_property_tot_arrests,stolen_property_tot_adult,stolen_property_tot_juv,stolen_property_tot_male,stolen_property_tot_female,stolen_property_tot_male_adult,stolen_property_tot_male_juv,stolen_property_tot_female_adult,stolen_property_tot_female_juv,suspicion_tot_arrests,suspicion_tot_adult,suspicion_tot_juv,suspicion_tot_male,suspicion_tot_female,suspicion_tot_male_adult,suspicion_tot_male_juv,suspicion_tot_female_adult,suspicion_tot_female_juv,theft_tot_arrests,theft_tot_adult,theft_tot_juv,theft_tot_male,theft_tot_female,theft_tot_male_adult,theft_tot_male_juv,theft_tot_female_adult,theft_tot_female_juv,vagrancy_tot_arrests,vagrancy_tot_adult,vagrancy_tot_juv,vagrancy_tot_male,vagrancy_tot_female,vagrancy_tot_male_adult,vagrancy_tot_male_juv,vagrancy_tot_female_adult,vagrancy_tot_female_juv,vandalism_tot_arrests,vandalism_tot_adult,vandalism_tot_juv,vandalism_tot_male,vandalism_tot_female,vandalism_tot_male_adult,vandalism_tot_male_juv,vandalism_tot_female_adult,vandalism_tot_female_juv,weapons_tot_arrests,weapons_tot_adult,weapons_tot_juv,weapons_tot_male,weapons_tot_female,weapons_tot_male_adult,weapons_tot_male_juv,weapons_tot_female_adult,weapons_tot_female_juv
Anaheim Police Department,2016,California,353504,CA03001,905,869,36,632,273,609,23,260,23,989,924,65,724,265,674,50,250,50,9,8,1,7,2,6,1,2,1,346,305,41,281,65,245,36,60,36,0,0,0,0,0,0,0,0,0,26,21,5,20,6,18,2,3,2,2388,2348,40,2002,386,1969,33,379,33,2180,2152,28,1830,350,1808,22,344,22,0,0,0,0,0,0,0,0,0,8,6,2,8,0,6,2,0,2,692,681,11,584,108,577,7,104,7,1480,1465,15,1238,242,1225,13,240,13,208,196,12,172,36,161,11,35,11,0,0,0,0,0,0,0,0,0,14,9,5,12,2,8,4,1,4,58,57,1,51,7,50,1,7,1,136,130,6,109,27,103,6,27,6,367,365,2,307,60,305,2,60,2,442,435,7,366,76,359,7,76,7,11,11,0,7,4,7,0,4,0,0,0,0,0,0,0,0,0,0,50,48,2,32,18,31,1,17,1,39,39,0,30,9,30,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,41,13,50,4,40,10,1,10,1,1,0,1,0,1,0,0,0,103,93,10,76,27,67,9,26,9,10,10,0,8,2,8,0,2,0,2211,2136,75,1741,470,1681,60,455,60,44,44,0,26,18,26,0,18,0,28,28,0,26,2,26,0,2,0,150,128,22,127,23,109,18,19,18,0,0,0,0,0,0,0,0,0,84,79,5,80,4,76,4,3,4,203,199,4,153,50,151,2,48,2,0,0,0,0,0,0,0,0,0,504,480,24,328,176,311,17,169,17,10,10,0,9,1,9,0,1,0,226,182,44,191,35,150,41,32,41,215,194,21,206,9,186,20,8,20
Anaheim Police Department,2015,California,349471,CA03001,825,800,25,609,216,587,22,213,22,885,812,73,649,236,595,52,217,52,7,5,2,6,1,4,2,1,2,359,321,38,265,94,237,28,84,28,0,0,0,0,0,0,0,0,0,18,15,3,16,2,13,3,2,3,1966,1926,40,1618,348,1588,30,338,30,1770,1738,32,1451,319,1427,24,311,24,0,0,0,0,0,0,0,0,0,15,7,8,13,2,6,7,1,7,597,586,11,487,110,479,8,107,8,1158,1145,13,951,207,942,9,203,9,196,188,8,167,29,161,6,27,6,0,0,0,0,0,0,0,0,0,28,22,6,22,6,18,4,4,4,41,41,0,37,4,37,0,4,0,127,125,2,108,19,106,2,19,2,407,401,6,345,62,343,2,58,2,478,472,6,389,89,383,6,89,6,3,3,0,1,2,1,0,2,0,2,2,0,1,1,1,0,1,0,25,24,1,15,10,15,0,9,0,50,49,1,31,19,30,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,44,14,49,9,38,11,6,11,0,0,0,0,0,0,0,0,0,93,83,10,72,21,64,8,19,8,19,19,0,17,2,17,0,2,0,1812,1745,67,1402,410,1344,58,401,58,52,52,0,16,36,16,0,36,0,25,20,5,25,0,20,5,0,5,167,155,12,145,22,134,11,21,11,0,0,0,0,0,0,0,0,0,86,76,10,83,3,74,9,2,9,185,174,11,144,41,135,9,39,9,0,0,0,0,0,0,0,0,0,462,433,29,284,178,264,20,169,20,6,6,0,5,1,5,0,1,0,207,155,52,179,28,129,50,26,50,184,155,29,173,11,145,28,10,28
Anaheim Police Department,2014,California,346956,CA03001,738,702,36,540,198,509,31,193,31,837,755,82,606,231,553,53,202,53,2,2,0,2,0,2,0,0,0,323,284,39,234,89,205,29,79,29,2,0,2,1,1,0,1,0,1,18,12,6,16,2,10,6,2,6,1830,1768,62,1461,369,1410,51,358,51,1629,1576,53,1291,338,1248,43,328,43,0,0,0,0,0,0,0,0,0,26,9,17,17,9,7,10,2,10,389,384,5,311,78,306,5,78,5,1214,1183,31,963,251,935,28,248,28,201,192,9,170,31,162,8,30,8,0,0,0,0,0,0,0,0,0,40,31,9,37,3,29,8,2,8,53,53,0,45,8,45,0,8,0,108,108,0,88,20,88,0,20,0,579,571,8,482,97,476,6,95,6,511,510,1,428,83,427,1,83,1,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,23,13,23,0,13,0,66,66,0,44,22,44,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,50,33,71,12,42,29,8,29,2,2,0,2,0,2,0,0,0,87,83,4,65,22,63,2,20,2,20,18,2,16,4,15,1,3,1,1614,1505,109,1287,327,1193,94,312,94,82,79,3,56,26,55,1,24,1,25,23,2,25,0,23,2,0,2,167,154,13,145,22,133,12,21,12,1,0,1,0,1,0,0,0,0,101,92,9,97,4,89,8,3,8,163,151,12,120,43,109,11,42,11,0,0,0,0,0,0,0,0,0,488,451,37,285,203,258,26,193,26,3,3,0,3,0,3,0,0,0,196,122,74,176,20,105,71,17,71,161,131,30,150,11,122,28,9,28
Anaheim Police Department,2013,California,345320,CA03001,728,702,26,524,204,501,23,201,23,794,709,85,576,218,514,60,195,60,5,5,0,5,0,5,0,0,0,436,361,75,308,128,249,59,112,59,0,0,0,0,0,0,0,0,0,17,9,8,15,2,8,7,1,7,1511,1439,72,1179,332,1121,58,318,58,1313,1260,53,1020,293,977,43,283,43,0,0,0,0,0,0,0,0,0,32,13,19,29,3,12,17,1,17,271,265,6,196,75,192,4,73,4,1010,982,28,795,215,773,22,209,22,198,179,19,159,39,144,15,35,15,0,0,0,0,0,0,0,0,0,29,14,15,23,6,10,13,4,13,40,39,1,34,6,33,1,6,1,129,126,3,102,27,101,1,25,1,532,524,8,435,97,429,6,95,6,535,532,3,434,101,433,1,99,1,9,9,0,7,2,7,0,2,0,0,0,0,0,0,0,0,0,0,41,41,0,27,14,27,0,14,0,71,68,3,44,27,43,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,37,15,39,13,28,11,9,11,1,1,0,1,0,1,0,0,0,108,100,8,80,28,75,5,25,5,23,21,2,22,1,20,2,1,2,1505,1407,98,1177,328,1097,80,310,80,145,143,2,63,82,63,0,80,0,15,14,1,15,0,14,1,0,1,186,155,31,151,35,125,26,30,26,1,0,1,1,0,0,1,0,1,88,75,13,84,4,72,11,3,11,199,179,20,158,41,142,16,37,16,0,0,0,0,0,0,0,0,0,523,473,50,314,209,283,28,190,28,6,6,0,4,2,4,0,2,0,203,132,71,175,28,111,64,21,64,158,120,38,145,13,110,35,10,35
Anaheim Police Department,2012,California,344526,CA03001,746,709,37,549,197,518,31,191,31,796,720,76,580,216,522,58,198,58,3,2,1,2,1,1,1,1,1,492,408,84,360,132,290,68,118,68,0,0,0,0,0,0,0,0,0,24,21,3,18,6,16,2,5,2,1241,1200,41,926,315,895,31,305,31,1089,1053,36,811,278,783,28,270,28,0,0,0,0,0,0,0,0,0,11,4,7,9,2,4,5,0,5,289,276,13,221,68,209,12,67,12,789,773,16,581,208,570,11,203,11,152,147,5,115,37,112,3,35,3,0,0,0,0,0,0,0,0,0,21,20,1,19,2,18,1,2,1,36,36,0,29,7,29,0,7,0,95,91,4,67,28,65,2,26,2,635,628,7,533,102,526,7,102,7,551,548,3,438,113,435,3,113,3,6,6,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,42,40,2,24,18,23,1,17,1,68,67,1,47,21,47,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,72,25,79,18,60,19,12,19,0,0,0,0,0,0,0,0,0,109,92,17,87,22,72,15,20,15,38,36,2,34,4,32,2,4,2,1574,1420,154,1269,305,1140,129,280,129,101,97,4,29,72,29,0,68,0,16,12,4,16,0,12,4,0,4,179,144,35,150,29,122,28,22,28,0,0,0,0,0,0,0,0,0,113,105,8,108,5,101,7,4,7,170,154,16,138,32,124,14,30,14,0,0,0,0,0,0,0,0,0,432,380,52,253,179,216,35,164,35,9,3,6,9,0,3,6,0,6,193,118,75,175,18,102,73,16,73,151,113,38,138,13,100,38,13,38
Anaheim Police Department,2011,California,340218,CA03001,720,686,34,538,182,508,30,178,30,750,650,100,553,197,483,70,167,70,4,3,1,2,2,2,0,1,0,454,372,82,338,116,276,59,96,59,0,0,0,0,0,0,0,0,0,22,17,5,16,6,12,4,5,4,1283,1213,70,982,301,924,58,289,58,1107,1047,60,839,268,789,50,258,50,0,0,0,0,0,0,0,0,0,20,7,13,18,2,6,12,1,12,285,274,11,211,74,203,8,71,8,802,766,36,610,192,580,30,186,30,176,166,10,143,33,135,8,31,8,0,0,0,0,0,0,0,0,0,25,24,1,23,2,22,1,2,1,44,43,1,35,9,34,1,9,1,107,99,8,85,22,79,6,20,6,679,671,8,549,130,546,3,125,3,614,610,4,498,116,494,4,116,4,7,7,0,4,3,4,0,3,0,0,0,0,0,0,0,0,0,0,36,36,0,24,12,24,0,12,0,74,71,3,43,31,40,3,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,81,36,101,16,74,27,7,27,1,0,1,1,0,0,1,0,1,81,62,19,63,18,49,14,13,14,10,10,0,10,0,10,0,0,0,1598,1398,200,1327,271,1156,171,242,171,99,97,2,24,75,24,0,73,0,27,22,5,27,0,22,5,0,5,198,142,56,170,28,118,52,24,52,0,0,0,0,0,0,0,0,0,129,111,18,126,3,110,16,1,16,146,121,25,106,40,86,20,35,20,0,0,0,0,0,0,0,0,0,466,400,66,265,201,220,45,180,45,9,9,0,8,1,8,0,1,0,286,146,140,263,23,126,137,20,137,185,141,44,175,10,134,41,7,41
Anaheim Police Department,2010,California,336265,CA03001,723,670,53,554,169,511,43,159,43,742,612,130,579,163,484,94,128,94,16,10,6,14,2,8,3,2,3,503,403,100,366,137,279,87,124,87,0,0,0,0,0,0,0,0,0,23,17,6,16,7,13,3,4,3,1722,1579,143,1354,368,1236,118,343,118,1500,1374,126,1171,329,1065,106,309,106,0,0,0,0,0,0,0,0,0,305,252,53,274,31,228,46,24,46,306,293,13,232,74,225,7,68,7,889,829,60,665,224,612,53,217,53,222,205,17,183,39,171,12,34,12,0,0,0,0,0,0,0,0,0,47,38,9,46,1,37,9,1,9,45,45,0,36,9,36,0,9,0,130,122,8,101,29,98,3,24,3,545,529,16,466,79,455,11,74,11,578,569,9,495,83,488,7,81,7,7,7,0,2,5,2,0,5,0,0,0,0,0,0,0,0,0,0,37,35,2,26,11,24,2,11,2,60,59,1,42,18,41,1,18,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,131,92,39,98,33,65,33,27,33,0,0,0,0,0,0,0,0,0,78,64,14,60,18,48,12,16,12,16,14,2,11,5,9,2,5,2,1703,1295,408,1453,250,1100,353,195,353,76,74,2,15,61,15,0,59,0,15,13,2,15,0,13,2,0,2,206,144,62,175,31,119,56,25,56,1,0,1,1,0,0,1,0,1,168,145,23,158,10,140,18,5,18,156,121,35,119,37,94,25,27,25,0,0,0,0,0,0,0,0,0,502,392,110,305,197,233,72,159,72,9,8,1,9,0,8,1,0,1,339,144,195,310,29,127,183,17,183,209,137,72,194,15,125,69,12,69
Anaheim Police Department,2009,California,335970,CA03001,741,662,79,590,151,521,69,141,69,851,721,130,657,194,559,98,162,98,11,8,3,10,1,7,3,1,3,517,387,130,389,128,274,114,113,114,0,0,0,0,0,0,0,0,0,46,37,9,31,15,26,5,11,5,1812,1613,199,1463,349,1279,184,334,184,1553,1375,178,1253,300,1088,165,287,165,0,0,0,0,0,0,0,0,0,462,338,124,417,45,297,120,41,120,368,360,8,289,79,282,7,78,7,723,677,46,547,176,509,38,168,38,259,238,21,210,49,191,19,47,19,0,0,0,0,0,0,0,0,0,65,50,15,58,7,44,14,6,14,57,56,1,48,9,47,1,9,1,137,132,5,104,33,100,4,32,4,645,631,14,547,98,534,13,97,13,806,803,3,676,130,673,3,130,3,5,5,0,1,4,1,0,4,0,0,0,0,0,0,0,0,0,0,46,46,0,27,19,27,0,19,0,63,57,6,47,16,41,6,16,6,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,172,108,64,149,23,92,57,16,57,0,0,0,0,0,0,0,0,0,77,49,28,49,28,32,17,17,17,19,15,4,18,1,14,4,1,4,1802,1340,462,1530,272,1125,405,215,405,114,112,2,29,85,29,0,83,0,18,17,1,18,0,17,1,0,1,198,129,69,177,21,113,64,16,64,0,0,0,0,0,0,0,0,0,174,140,34,166,8,136,29,4,29,159,121,38,126,33,96,30,25,30,0,0,0,0,0,0,0,0,0,609,439,170,355,254,253,102,186,102,10,8,2,10,0,8,2,0,2,382,153,229,362,20,143,218,10,218,261,164,97,252,9,158,93,6,93
Anaheim Police Department,2008,California,333746,CA03001,722,653,69,570,152,519,51,134,51,764,624,140,617,147,504,113,120,113,10,3,7,9,1,2,7,1,7,515,364,151,374,141,258,111,106,111,8,0,8,7,1,0,7,0,7,23,18,5,18,5,14,4,4,4,1959,1769,190,1533,426,1365,168,404,168,1691,1522,169,1325,366,1174,151,348,151,0,0,0,0,0,0,0,0,0,483,356,127,441,42,326,115,30,115,416,396,20,323,93,307,16,89,16,792,770,22,561,231,541,20,229,20,268,247,21,208,60,191,17,56,17,0,0,0,0,0,0,0,0,0,71,60,11,62,9,53,9,7,9,89,86,3,67,22,64,3,22,3,108,101,7,79,29,74,5,27,5,635,623,12,532,103,524,8,99,8,862,859,3,760,102,757,3,102,3,7,6,1,4,3,4,0,2,0,1,1,0,1,0,1,0,0,0,86,85,1,65,21,64,1,21,1,90,89,1,62,28,61,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,92,39,116,15,81,35,11,35,1,1,0,1,0,1,0,0,0,112,79,33,78,34,54,24,25,24,21,15,6,16,5,12,4,3,4,1832,1379,453,1535,297,1143,392,236,392,205,201,4,27,178,27,0,174,0,14,14,0,14,0,14,0,0,0,206,149,57,183,23,130,53,19,53,0,0,0,0,0,0,0,0,0,144,122,22,140,4,118,22,4,22,180,148,32,136,44,112,24,36,24,0,0,0,0,0,0,0,0,0,604,427,177,335,269,264,70,163,70,9,6,3,9,0,6,3,0,3,417,161,256,390,27,141,249,20,249,300,182,118,290,10,176,114,6,114
Anaheim Police Department,2007,California,335133,CA03001,834,773,61,654,180,604,50,169,50,772,673,99,614,158,534,80,139,80,9,2,7,7,2,2,5,0,5,485,357,128,341,144,246,94,111,94,0,0,0,0,0,0,0,0,0,36,23,13,27,9,16,11,7,11,2272,2107,165,1792,480,1645,147,462,147,2012,1869,143,1583,429,1458,125,411,125,0,0,0,0,0,0,0,0,0,398,301,97,351,47,259,92,42,92,443,423,20,353,90,338,15,85,15,1171,1145,26,879,292,861,18,284,18,260,238,22,209,51,187,22,51,22,0,0,0,0,0,0,0,0,0,59,42,17,52,7,35,17,7,17,41,40,1,35,6,34,1,6,1,160,156,4,122,38,118,4,38,4,671,659,12,560,111,552,8,107,8,921,918,3,806,115,803,3,115,3,20,19,1,11,9,11,0,8,0,0,0,0,0,0,0,0,0,0,76,72,4,45,31,42,3,30,3,90,89,1,66,24,65,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,77,52,116,13,71,45,6,45,2,2,0,1,1,1,0,1,0,155,139,16,122,33,111,11,28,11,45,37,8,44,1,36,8,1,8,1418,969,449,1216,202,847,368,122,368,105,101,4,18,87,18,0,83,0,13,10,3,13,0,10,3,0,3,182,135,47,156,26,116,40,19,40,0,0,0,0,0,0,0,0,0,140,123,17,137,3,121,16,2,16,153,127,26,108,45,84,24,43,24,0,0,0,0,0,0,0,0,0,655,484,171,387,268,294,93,190,93,10,10,0,9,1,9,0,1,0,393,160,233,358,35,137,221,23,221,248,156,92,230,18,146,83,10,83
