agency,year,state,population,ORI,male_employees_officers,female_employees_officers,total_employees_officers,male_employees_civilians,female_employees_civilians,total_employees_civilians,male_employees_total,female_employees_total,total_employees_total,officers_killed_by_felony,officers_killed_by_accident,assaults_with_injury_gun,assaults_with_injury_knife,assaults_with_injury_oth_weap,assaults_with_injury_unarmed,assaults_with_injury_total,assaults_no_injury_gun,assaults_no_injury_knife,assaults_no_injury_oth_weap,assaults_no_injury_unarmed,assaults_no_injury_total,ambush_total_assaults,oth_arrest_total_assaults,burglary_total_assaults,deranged_total_assaults,disturbance_total_assaults,prisoner_total_assaults,riot_total_assaults,robbery_total_assaults,susp_pers_total_assaults,traffic_total_assaults,all_other_total_assaults,total_assaults_total,total_assault_gun,total_assault_knife,total_assault_oth_weap,total_assault_unarmed,ambush_assault_gun,ambush_assault_knife,ambush_assault_oth_weap,ambush_assault_unarmed,oth_arrest_assault_gun,oth_arrest_assault_knife,oth_arrest_assault_oth_weap,oth_arrest_assault_unarmed,burglary_assault_gun,burglary_assault_knife,burglary_assault_oth_weap,burglary_assault_unarmed,deranged_assault_gun,deranged_assault_knife,deranged_assault_oth_weap,deranged_assault_unarmed,disturbance_assault_gun,disturbance_assault_knife,disturbance_assault_oth_weap,disturbance_assault_unarmed,prisoner_assault_gun,prisoner_assault_knife,prisoner_assault_oth_weap,prisoner_assault_unarmed,riot_assault_gun,riot_assault_knife,riot_assault_oth_weap,riot_assault_unarmed,robbery_assault_gun,robbery_assault_knife,robbery_assault_oth_weap,robbery_assault_unarmed,susp_pers_assault_gun,susp_pers_assault_knife,susp_pers_assault_oth_weap,susp_pers_assault_unarmed,traffic_assault_gun,traffic_assault_knife,traffic_assault_oth_weap,traffic_assault_unarmed,all_other_assault_gun,all_other_assault_knife,all_other_assault_oth_weap,all_other_assault_unarmed
Orange Police Department,2017,California,141130,CA03015,140,13,153,16,50,66,156,63,219,0,0,0,0,0,8,8,0,2,7,18,27,1,2,1,0,11,8,0,0,5,3,4,35,0,2,7,26,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,1,0,0,1,3
Orange Police Department,2016,California,141841,CA03015,130,13,143,21,49,70,151,62,213,0,0,0,0,0,7,7,1,0,10,36,47,3,8,0,0,24,12,0,0,3,2,2,54,1,0,10,43,0,0,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,3,21,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,1
Orange Police Department,2015,California,140572,CA03015,137,13,150,10,43,53,147,56,203,0,0,1,0,0,14,15,1,0,2,13,16,0,4,1,0,9,9,0,0,8,0,0,31,2,0,2,27,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,8,0,0,2,7,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0
Orange Police Department,2014,California,140767,CA03015,137,13,150,13,46,59,150,59,209,0,0,0,0,0,6,6,0,0,2,20,22,0,3,2,0,13,3,0,0,4,0,3,28,0,0,2,26,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3
Orange Police Department,2013,California,140304,CA03015,138,14,152,11,49,60,149,63,212,0,0,0,0,0,5,5,0,1,0,15,16,0,1,0,0,12,2,0,0,1,2,3,21,0,1,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3
Orange Police Department,2012,California,139692,CA03015,141,14,155,16,45,61,157,59,216,0,0,0,0,0,5,5,0,0,2,14,16,0,0,0,0,12,3,0,0,4,1,1,21,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1
Orange Police Department,2011,California,138020,CA03015,141,17,158,16,52,68,157,69,226,0,0,0,0,1,12,13,0,0,3,27,30,0,0,0,0,20,4,0,2,4,8,5,43,0,0,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,8,0,0,1,4
Orange Police Department,2010,California,136416,CA03015,141,17,158,15,59,74,156,76,232,0,0,0,0,0,8,8,0,0,2,27,29,0,2,1,3,14,2,0,2,7,2,4,37,0,0,2,35,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,14,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,2,0,0,0,4
Orange Police Department,2009,California,137132,CA03015,142,17,159,15,55,70,157,72,229,0,0,0,0,3,9,12,0,0,5,20,25,0,6,0,0,16,4,0,0,6,2,3,37,0,0,8,29,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,5,0,0,2,0,0,0,1,2
Orange Police Department,2008,California,134852,CA03015,142,17,159,19,55,74,161,72,233,0,0,0,0,0,13,13,0,0,0,13,13,0,10,0,0,12,0,0,0,2,2,0,26,0,0,0,26,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
