agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Opelousas Police Department,1977,Louisiana,21387,LA04902,40,2,38,1,1,0,0,0,2,0,0,2,0,21,0,0,21,0,23,0,0,23,0,0,0,0,1,0,0,0,22,0,0,0
Opelousas Police Department,1978,Louisiana,23500,LA04902,44,2,42,3,2,1,0,0,0,0,0,0,0,26,0,0,26,0,26,0,0,26,0,0,0,0,0,0,0,0,26,0,0,0
Opelousas Police Department,1979,Louisiana,20327,LA04902,42,2,40,2,2,0,0,0,2,0,0,2,0,30,0,0,30,0,32,0,0,32,0,0,0,0,0,0,0,0,32,0,0,0
Opelousas Police Department,1994,Louisiana,18359,LA04902,44,5,39,9,8,1,0,0,1,0,0,1,0,12,0,0,12,0,13,0,0,13,0,0,0,0,0,0,1,0,10,0,0,2
Opelousas Police Department,1995,Louisiana,19425,LA04902,45,6,39,9,8,1,0,0,0,0,0,0,0,15,0,0,15,0,15,0,0,15,0,2,0,0,0,0,1,0,9,0,1,2
Opelousas Police Department,1997,Louisiana,19469,LA04902,46,6,40,9,8,1,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,5,0,3,0,0,0,0,1,0,1,0,0,0
Opelousas Police Department,1999,Louisiana,18997,LA04902,59,5,54,11,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opelousas Police Department,2000,Louisiana,22860,LA04902,50,3,47,17,16,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Opelousas Police Department,2010,Louisiana,16634,LA04902,45,4,41,9,8,1,0,0,2,0,0,1,1,5,0,0,2,3,7,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0
Opelousas Police Department,2012,Louisiana,16767,LA04902,59,10,49,16,14,2,0,0,5,0,0,0,5,27,0,0,1,26,32,0,0,1,31,32,0,0,0,0,0,0,0,0,0,0
Opelousas Police Department,2013,Louisiana,16527,LA04902,45,4,41,9,8,1,0,0,4,0,0,0,4,24,0,0,0,24,28,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0
Opelousas Police Department,2014,Louisiana,16455,LA04902,45,4,41,9,8,1,0,0,5,0,0,0,5,22,0,0,0,22,27,0,0,0,27,20,0,0,0,1,2,0,2,0,0,2
