agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Springfield Township Police Department,1975,Ohio,12450,OH03134,20,0,20,7,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Township Police Department,1976,Ohio,44036,OH03134,21,0,21,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield Township Police Department,1977,Ohio,47149,OH03134,25,0,25,9,6,3,0,0,1,0,0,1,0,3,0,0,3,0,4,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2
Springfield Township Police Department,1978,Ohio,42462,OH03134,25,0,25,9,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Township Police Department,1979,Ohio,42708,OH03134,22,0,22,8,5,3,0,0,0,0,0,0,0,3,0,0,2,1,3,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0
Springfield Township Police Department,1980,Ohio,41958,OH03134,24,0,24,9,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Township Police Department,1981,Ohio,41994,OH03134,26,0,26,10,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Township Police Department,1982,Ohio,42052,OH03134,26,0,26,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield Township Police Department,1983,Ohio,41876,OH03134,25,0,25,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield Township Police Department,1984,Ohio,41834,OH03134,25,0,25,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield Township Police Department,1985,Ohio,41802,OH03134,26,1,25,11,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Township Police Department,1986,Ohio,41403,OH03134,26,1,25,11,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Township Police Department,1987,Ohio,41526,OH03134,26,2,24,11,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Township Police Department,1988,Ohio,42219,OH03134,28,2,26,13,10,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Springfield Township Police Department,1989,Ohio,41853,OH03134,27,2,25,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield Township Police Department,1990,Ohio,38509,OH03134,30,3,27,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield Township Police Department,1991,Ohio,38835,OH03134,30,3,27,13,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Township Police Department,1992,Ohio,39108,OH03134,30,3,27,12,8,4,0,0,3,0,0,3,0,5,0,0,14,0,8,0,0,8,0,0,0,4,0,0,0,2,1,0,0,1
Springfield Township Police Department,1993,Ohio,39356,OH03134,31,3,28,12,9,3,0,0,3,0,0,3,0,7,0,0,7,0,10,0,0,10,0,0,0,0,0,0,2,0,5,0,2,1
Springfield Township Police Department,1994,Ohio,39394,OH03134,32,3,29,6,5,1,0,0,4,1,0,3,0,10,0,0,10,0,14,1,0,13,0,0,0,4,0,0,1,0,8,0,0,1
Springfield Township Police Department,1995,Ohio,39567,OH03134,34,4,30,5,4,1,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,1,0,0,0,0,0,0,1,0,0,1
Springfield Township Police Department,1996,Ohio,39644,OH03134,36,3,33,7,5,2,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0
Springfield Township Police Department,1997,Ohio,39689,OH03134,39,3,36,9,7,2,0,0,3,0,0,3,0,1,0,0,1,0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0
Springfield Township Police Department,1998,Ohio,40130,OH03134,41,1,40,6,5,1,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0
Springfield Township Police Department,1999,Ohio,39444,OH03134,42,2,40,8,7,1,0,0,1,0,0,1,0,2,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0
Springfield Township Police Department,2000,Ohio,37587,OH03134,42,2,40,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield Township Police Department,2001,Ohio,37655,OH03134,43,4,39,9,7,2,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0
Springfield Township Police Department,2002,Ohio,37759,OH03134,43,4,39,7,6,1,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1
Springfield Township Police Department,2003,Ohio,37394,OH03134,44,2,42,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield Township Police Department,2004,Ohio,36783,OH03134,43,2,41,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield Township Police Department,2005,Ohio,36222,OH03134,44,2,42,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield Township Police Department,2006,Ohio,35959,OH03134,49,3,46,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield Township Police Department,2007,Ohio,35051,OH03134,50,3,47,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield Township Police Department,2008,Ohio,40018,OH03134,49,4,45,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Township Police Department,2009,Ohio,40051,OH03134,51,4,47,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Township Police Department,2010,Ohio,36319,OH03134,50,4,46,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Township Police Department,2011,Ohio,36346,OH03134,50,4,46,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Township Police Department,2012,Ohio,36225,OH03134,47,4,43,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
