agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Mount Oliver Borough Police Department,2016,Pennsylvania,3344,PA00279,10,0,10,0,0,0,0,0,0,0,0,0,0,11,1,0,10,0,11,1,0,10,0,3,0,3,0,0,0,0,1,0,3,1
Mount Oliver Borough Police Department,2015,Pennsylvania,3366,PA00279,10,0,10,0,0,0,0,0,3,0,0,3,0,10,2,0,8,0,13,2,0,11,0,2,0,5,0,0,0,1,2,0,2,1
Mount Oliver Borough Police Department,2014,Pennsylvania,3380,PA00279,9,0,9,0,0,0,0,0,3,0,0,3,0,11,0,0,11,0,14,0,0,14,0,4,0,2,0,0,0,0,3,0,5,0
Mount Oliver Borough Police Department,2013,Pennsylvania,3392,PA00279,8,0,8,0,0,0,0,0,8,0,0,6,2,3,0,0,3,0,11,0,0,9,2,2,0,2,0,0,0,0,5,0,2,0
Mount Oliver Borough Police Department,2012,Pennsylvania,3416,PA00279,10,1,9,0,0,0,0,0,3,0,0,3,0,7,0,0,6,1,10,0,0,9,1,0,0,5,0,0,0,0,2,0,3,0
Mount Oliver Borough Police Department,2011,Pennsylvania,3414,PA00279,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,2010,Pennsylvania,3403,PA00279,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,2009,Pennsylvania,3621,PA00279,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,2008,Pennsylvania,3647,PA00279,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,2007,Pennsylvania,3681,PA00279,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,2006,Pennsylvania,3775,PA00279,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,2005,Pennsylvania,3843,PA00279,6,1,5,2,1,1,0,0,2,0,0,0,2,1,0,0,1,0,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2
Mount Oliver Borough Police Department,2004,Pennsylvania,3896,PA00279,9,0,9,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Mount Oliver Borough Police Department,2e3,Pennsylvania,3970,PA00279,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,1999,Pennsylvania,3756,PA00279,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount Oliver Borough Police Department,1998,Pennsylvania,3846,PA00279,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount Oliver Borough Police Department,1997,Pennsylvania,4029,PA00279,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,1996,Pennsylvania,4042,PA00279,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,1995,Pennsylvania,4048,PA00279,4,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount Oliver Borough Police Department,1994,Pennsylvania,4192,PA00279,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,1993,Pennsylvania,4191,PA00279,4,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount Oliver Borough Police Department,1992,Pennsylvania,4203,PA00279,5,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,9,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Mount Oliver Borough Police Department,1991,Pennsylvania,4187,PA00279,5,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount Oliver Borough Police Department,1990,Pennsylvania,4160,PA00279,5,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount Oliver Borough Police Department,1989,Pennsylvania,4053,PA00279,5,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount Oliver Borough Police Department,1988,Pennsylvania,4186,PA00279,6,0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount Oliver Borough Police Department,1987,Pennsylvania,4206,PA00279,7,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mount Oliver Borough Police Department,1986,Pennsylvania,4356,PA00279,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,1985,Pennsylvania,4443,PA00279,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,1984,Pennsylvania,4516,PA00279,7,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,1983,Pennsylvania,4602,PA00279,8,0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount Oliver Borough Police Department,1982,Pennsylvania,4591,PA00279,10,0,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Mount Oliver Borough Police Department,1981,Pennsylvania,4591,PA00279,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,1980,Pennsylvania,4576,PA00279,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,1979,Pennsylvania,4317,PA00279,9,0,9,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,1978,Pennsylvania,5176,PA00279,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,1977,Pennsylvania,5209,PA00279,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,1976,Pennsylvania,5260,PA00279,10,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Mount Oliver Borough Police Department,1975,Pennsylvania,5179,PA00279,11,0,11,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,4,0,0,4,0,0,0,2,0,0,1,0,1,0,0,0
