agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Huntsville Police Department,2016,Texas,41390,TX23601,58,5,53,7,6,1,0,0,7,0,0,7,0,5,0,0,4,1,12,0,0,11,1,3,0,1,0,0,2,0,4,0,0,2
Huntsville Police Department,2015,Texas,40866,TX23601,57,5,52,8,7,1,0,0,4,0,0,3,1,3,0,0,2,1,7,0,0,5,2,0,0,1,0,1,0,0,4,0,0,1
Huntsville Police Department,2014,Texas,40059,TX23601,57,5,52,8,8,0,0,0,6,0,0,5,1,4,1,0,3,0,10,1,0,8,1,3,0,1,0,0,2,0,3,0,0,1
Huntsville Police Department,2013,Texas,39990,TX23601,53,5,48,8,8,0,0,0,2,0,0,2,0,4,0,0,3,1,6,0,0,5,1,0,0,0,0,0,3,0,0,0,3,0
Huntsville Police Department,2012,Texas,39243,TX23601,52,2,50,8,8,0,0,0,9,0,0,6,3,2,0,1,1,0,11,0,1,7,3,1,0,1,0,0,0,0,4,0,5,0
Huntsville Police Department,2011,Texas,39359,TX23601,51,2,49,7,7,0,0,0,11,0,0,10,1,3,0,3,0,0,14,0,3,10,1,6,0,5,0,0,0,0,2,0,0,1
Huntsville Police Department,2010,Texas,38548,TX23601,50,1,49,7,6,1,0,0,5,0,0,5,0,1,0,0,1,0,6,0,0,6,0,0,0,2,0,0,1,0,1,0,1,1
Huntsville Police Department,2009,Texas,38875,TX23601,46,2,44,6,5,1,0,0,2,0,0,2,0,10,0,0,5,5,12,0,0,7,5,3,0,0,0,0,0,0,6,0,3,0
Huntsville Police Department,2008,Texas,38097,TX23601,48,2,46,6,5,1,0,0,7,0,0,6,1,3,0,0,2,1,10,0,0,8,2,2,0,0,0,0,0,0,3,0,4,1
Huntsville Police Department,2007,Texas,37906,TX23601,49,3,46,7,5,2,0,0,6,0,0,5,1,1,0,0,0,1,7,0,0,5,2,1,0,2,0,0,0,0,0,0,4,0
Huntsville Police Department,2006,Texas,37739,TX23601,48,3,45,7,5,2,0,0,2,0,0,2,0,1,0,0,1,0,3,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0
Huntsville Police Department,2005,Texas,36430,TX23601,47,2,45,6,5,1,0,0,2,0,0,1,1,6,0,1,1,4,8,0,1,2,5,1,4,0,0,0,0,0,2,0,1,0
Huntsville Police Department,2004,Texas,36164,TX23601,47,1,46,6,5,1,0,0,8,0,1,6,1,1,0,0,1,0,9,0,1,7,1,1,0,1,1,0,2,0,2,0,2,0
Huntsville Police Department,2003,Texas,36286,TX23601,47,0,47,6,5,1,0,0,3,0,0,2,1,2,0,0,0,2,5,0,0,2,3,0,0,1,0,0,1,0,0,0,1,2
Huntsville Police Department,2002,Texas,36639,TX23601,42,0,42,6,6,0,0,0,5,0,1,4,0,2,0,0,0,2,7,0,1,4,2,2,0,0,0,0,1,0,1,0,3,0
Huntsville Police Department,2001,Texas,35874,TX23601,42,1,41,6,6,0,0,0,4,0,0,3,1,3,0,0,3,0,7,0,0,6,1,1,0,2,0,0,0,0,0,0,4,0
Huntsville Police Department,2000,Texas,35078,TX23601,39,1,38,6,6,0,0,0,1,0,0,1,0,4,1,0,3,0,5,1,0,4,0,1,0,0,0,0,3,0,1,0,0,0
Huntsville Police Department,1999,Texas,32163,TX23601,38,2,36,13,13,0,0,0,1,0,0,1,0,2,0,0,1,1,3,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0
Huntsville Police Department,1998,Texas,29665,TX23601,37,2,35,11,11,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
Huntsville Police Department,1997,Texas,30667,TX23601,38,2,36,15,13,2,0,0,6,0,0,5,1,2,0,0,1,1,8,0,0,6,2,0,0,5,0,0,0,2,1,0,0,0
Huntsville Police Department,1996,Texas,30177,TX23601,38,2,36,13,13,0,0,0,2,0,0,2,0,2,0,0,1,1,4,0,0,3,1,0,0,3,0,0,0,0,1,0,0,0
Huntsville Police Department,1995,Texas,29540,TX23601,37,1,36,13,12,1,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
Huntsville Police Department,1994,Texas,29643,TX23601,34,2,32,13,12,1,0,0,3,0,0,2,1,8,1,0,4,3,11,1,0,6,4,0,0,3,0,0,0,0,7,0,0,1
Huntsville Police Department,1993,Texas,29084,TX23601,34,2,32,13,12,1,0,0,5,0,0,5,0,6,0,0,6,0,11,0,0,11,0,2,0,5,0,0,1,0,1,0,2,0
Huntsville Police Department,1992,Texas,29024,TX23601,34,1,33,12,11,1,0,0,5,0,0,4,1,7,0,0,13,3,12,0,0,8,4,3,0,4,0,2,0,0,2,0,1,0
Huntsville Police Department,1991,Texas,28520,TX23601,33,0,33,13,13,0,0,0,3,0,0,3,0,7,0,0,5,2,10,0,0,8,2,2,0,6,0,0,0,0,2,0,0,0
Huntsville Police Department,1990,Texas,27925,TX23601,33,1,32,12,11,1,0,0,4,0,0,3,1,5,0,0,4,1,9,0,0,7,2,2,0,3,0,0,1,0,2,0,1,0
Huntsville Police Department,1989,Texas,33471,TX23601,31,1,30,11,10,1,0,0,6,0,0,3,3,1,0,0,1,0,7,0,0,4,3,1,0,3,0,3,0,0,0,0,0,0
Huntsville Police Department,1988,Texas,32864,TX23601,28,2,26,12,11,1,0,0,3,1,0,2,0,4,0,0,4,0,7,1,0,6,0,0,0,2,0,0,1,0,3,0,1,0
Huntsville Police Department,1987,Texas,33644,TX23601,27,1,26,10,9,1,0,0,3,1,0,2,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0
Huntsville Police Department,1986,Texas,31460,TX23601,30,1,29,11,9,2,0,0,2,0,0,2,0,1,0,0,1,0,3,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1
Huntsville Police Department,1985,Texas,30745,TX23601,25,1,24,11,9,2,0,1,5,0,0,5,0,4,0,0,3,1,9,0,0,8,1,0,0,6,0,0,1,0,1,0,0,1
Huntsville Police Department,1984,Texas,30029,TX23601,27,2,25,11,10,1,0,0,5,0,0,5,0,1,0,0,1,0,6,0,0,6,0,0,0,2,0,0,0,0,4,0,0,0
Huntsville Police Department,1983,Texas,26572,TX23601,28,2,26,11,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntsville Police Department,1982,Texas,25822,TX23601,27,1,26,11,10,1,0,0,9,0,0,9,0,5,0,0,5,0,14,0,0,14,0,1,0,10,0,0,0,0,3,0,0,0
Huntsville Police Department,1981,Texas,24935,TX23601,25,3,22,11,9,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Huntsville Police Department,1980,Texas,23946,TX23601,33,1,32,8,5,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Huntsville Police Department,1979,Texas,22022,TX23601,33,1,32,8,5,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Huntsville Police Department,1977,Texas,21082,TX23601,26,1,25,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huntsville Police Department,1976,Texas,20450,TX23601,26,1,25,10,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntsville Police Department,1975,Texas,22232,TX23601,18,0,18,8,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
