agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Willard Police Dept,2016,Utah,1789,UT00208,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willard Police Dept,2015,Utah,1775,UT00208,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willard Police Dept,2014,Utah,1758,UT00208,2,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willard Police Dept,2013,Utah,1737,UT00208,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willard Police Dept,2012,Utah,1806,UT00208,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willard Police Dept,2011,Utah,1806,UT00208,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willard Police Dept,2010,Utah,1772,UT00208,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willard Police Dept,2009,Utah,1752,UT00208,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willard Police Dept,2008,Utah,1702,UT00208,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willard Police Dept,2007,Utah,1681,UT00208,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willard Police Dept,2006,Utah,1717,UT00208,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willard Police Dept,2005,Utah,1706,UT00208,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willard Police Dept,2004,Utah,1673,UT00208,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willard Police Dept,2003,Utah,1664,UT00208,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willard Police Dept,2002,Utah,1690,UT00208,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0
Willard Police Dept,2001,Utah,1657,UT00208,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willard Police Dept,2000,Utah,1630,UT00208,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willard Police Dept,1999,Utah,1557,UT00208,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Willard Police Dept,1998,Utah,1503,UT00208,3,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willard Police Dept,1997,Utah,1479,UT00208,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Willard Police Dept,1996,Utah,1437,UT00208,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Willard Police Dept,1995,Utah,1402,UT00208,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willard Police Dept,1994,Utah,1349,UT00208,2,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0
Willard Police Dept,1993,Utah,1316,UT00208,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
