agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Monroe County Sheriff's Office,2016,Michigan,113263,MI5815800,227,852,85,341,369,114,55,180,263,0,42,226,279,19,17,4,11,3,5,124,18,43,33,23,108,27,74,5,32,219,0,24,0,2,0,1,0,0,0,0,2,1,16,1,0,0,0,0,0,0,0,0
Monroe County Sheriff's Office,2015,Michigan,113522,MI5815800,289,736,86,422,455,89,42,152,301,3,41,224,243,24,5,5,11,5,3,98,19,52,17,9,96,37,85,1,37,280,0,24,0,2,0,1,0,0,0,0,4,3,12,0,0,0,0,0,0,0,0,0
Monroe County Sheriff's Office,2014,Michigan,114032,MI5815800,268,756,93,485,423,85,55,138,321,2,28,256,272,28,9,3,5,7,1,136,18,51,17,10,92,25,57,4,40,136,0,12,0,0,0,0,0,0,0,1,7,0,13,0,0,0,0,0,0,0,0,0
Monroe County Sheriff's Office,2013,Michigan,114595,MI5815800,391,852,120,597,433,147,48,116,435,7,47,356,304,31,9,4,10,4,1,137,23,33,17,12,164,23,47,3,40,118,0,2,0,0,0,1,0,0,0,1,6,3,9,0,0,0,0,0,0,0,0,0
Monroe County Sheriff's Office,2012,Michigan,115019,MI5815800,503,880,103,709,539,161,61,159,489,3,47,334,331,58,15,9,9,3,4,143,16,53,19,23,120,40,41,7,31,74,0,7,0,1,0,0,0,0,0,1,7,2,16,0,0,0,0,0,0,0,0,0
Monroe County Sheriff's Office,2011,Michigan,115205,MI5815800,395,821,113,711,436,124,51,115,407,2,40,338,261,30,19,4,7,3,2,142,24,49,20,31,101,42,48,3,32,75,0,15,0,1,0,0,0,0,0,1,4,0,13,0,0,0,0,0,0,0,0,0
Monroe County Sheriff's Office,2010,Michigan,114374,MI5815800,494,895,130,648,518,155,37,137,466,3,56,307,269,41,19,1,14,2,2,114,16,55,29,26,88,57,45,3,34,81,0,11,0,1,0,1,0,0,0,1,5,1,6,1,0,0,0,0,0,0,0,0
Monroe County Sheriff's Office,2009,Michigan,115012,MI5815800,621,925,129,623,576,155,51,140,486,5,63,339,260,36,29,2,7,3,5,139,30,46,37,27,93,41,62,5,36,74,0,12,0,2,0,1,0,0,0,0,7,2,13,0,0,0,0,0,0,0,0,0
Monroe County Sheriff's Office,2008,Michigan,119336,MI5815800,546,966,137,661,624,142,62,186,582,6,60,353,301,37,26,7,11,4,2,161,42,61,37,48,102,41,50,6,37,42,0,8,0,0,0,1,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0
Monroe County Sheriff's Office,2007,Michigan,120785,MI5815800,408,840,117,517,567,175,22,147,397,7,18,356,224,33,8,7,7,3,0,168,23,37,36,35,44,42,53,4,32,28,0,1,0,0,0,2,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0
Monroe County Sheriff's Office,2006,Michigan,119091,MI5815800,529,932,106,637,952,232,67,213,559,12,36,366,203,27,15,9,8,7,1,158,28,72,26,48,63,59,57,9,25,57,0,2,1,1,0,1,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0
Monroe County Sheriff's Office,2005,Michigan,117751,MI5815800,494,929,114,593,857,241,30,186,499,7,39,328,259,29,26,18,4,2,2,160,29,59,35,48,52,54,49,6,15,81,1,3,0,2,0,0,0,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0
Monroe County Sheriff's Office,2004,Michigan,117004,MI5815800,494,899,111,556,783,189,32,138,526,16,30,228,317,21,11,2,10,2,0,182,31,30,54,35,43,34,51,4,23,38,0,1,0,2,0,0,0,0,0,0,2,0,44,0,0,0,0,0,0,0,0,0
Monroe County Sheriff's Office,2003,Michigan,115256,MI5815800,606,1014,142,626,953,225,48,198,605,27,53,184,347,28,29,8,15,2,1,217,31,36,51,59,36,34,46,7,31,26,0,2,0,1,0,2,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0
