agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Pawtucket Police Department,2016,Rhode Island,71640,RI0040800,326,813,180,501,811,235,317,285,257,2,34,297,183,62,1,0,5,0,4,18,13,143,50,15,100,129,257,4,40,7,0,7,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
Pawtucket Police Department,2015,Rhode Island,71624,RI0040800,295,813,162,466,737,156,302,269,239,1,43,320,137,64,2,1,3,0,1,22,5,103,50,12,86,115,218,6,38,25,0,6,0,2,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0
Pawtucket Police Department,2014,Rhode Island,71443,RI0040800,273,746,97,570,728,252,333,299,259,4,36,342,129,51,0,1,3,0,3,14,10,64,50,18,80,126,230,2,21,2,2,4,1,10,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
Pawtucket Police Department,2013,Rhode Island,71305,RI0040800,261,660,153,628,714,348,366,285,277,0,38,351,125,78,4,3,4,0,5,10,5,61,51,15,84,130,186,3,33,4,1,3,0,6,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
Pawtucket Police Department,2012,Rhode Island,71085,RI0040800,309,793,145,683,819,383,413,297,273,6,40,320,95,84,2,2,0,3,4,80,4,92,45,23,78,122,206,8,24,19,2,1,0,9,0,1,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0
Pawtucket Police Department,2011,Rhode Island,71062,RI0040800,220,777,137,747,879,278,485,337,213,1,36,323,80,101,3,7,3,3,2,67,9,79,60,14,102,123,143,8,33,7,3,1,0,7,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
Pawtucket Police Department,2010,Rhode Island,71782,RI0040800,242,915,120,724,984,232,409,361,248,5,42,361,85,112,2,3,8,1,5,70,5,103,65,31,84,91,131,12,34,12,0,0,0,11,0,1,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0
Pawtucket Police Department,2009,Rhode Island,71787,RI0040800,327,840,135,609,987,219,407,231,289,4,27,327,118,115,1,6,4,0,1,36,11,53,48,27,76,66,100,5,36,12,0,1,1,5,0,1,0,1,4,0,3,1,8,0,0,0,0,0,0,0,0,0
Pawtucket Police Department,2008,Rhode Island,71712,RI0040800,307,833,115,663,1057,370,443,240,263,2,27,333,134,110,3,6,2,0,3,40,14,65,68,19,84,73,87,5,30,8,0,6,0,8,0,4,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0
Pawtucket Police Department,2007,Rhode Island,72319,RI0040800,250,759,110,486,881,321,524,294,218,4,23,280,125,120,6,7,3,0,0,31,17,54,70,19,96,117,69,4,26,20,0,3,0,9,0,1,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0
Pawtucket Police Department,2006,Rhode Island,73154,RI0040800,222,736,110,548,959,334,484,241,450,1,21,265,131,89,7,1,4,1,4,23,18,54,97,26,107,104,64,3,25,9,1,0,0,20,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Pawtucket Police Department,2005,Rhode Island,73949,RI0040800,67,811,115,522,1124,437,55,233,1619,3,25,1,93,106,0,0,4,0,3,30,13,57,68,22,64,3,51,6,28,12,1,1,0,39,0,1,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0
Pawtucket Police Department,2004,Rhode Island,74639,RI0040800,1,39,12,49,27,8,1,24,53,0,4,0,0,7,0,0,1,0,1,2,1,3,4,0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
