agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Siloam Springs Police Department,2023,Arkansas,19250,AR00403,0,0,0,0,1,19,17,2,5,0,0,1,4,337,5,16,11,28,277,75,15,59,1,276,30,27,2,1,743,0,60,84,381,465,0,0,16,15,1,4,0,1,1,2,287,5,14,12,28,228,17,3,13,1,106,11,11,0,0,441,0,59,79,134,213,0,0,3,3,0,0,0,0,0,0,62,1,1,0,1,59,4,1,2,1,9,0,0,0,0,78,0,3,6,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siloam Springs Police Department,2022,Arkansas,17957,AR00403,0,0,0,0,0,27,27,0,5,1,1,1,2,300,10,11,18,34,227,83,31,52,0,287,38,33,4,1,740,0,73,105,408,513,0,1,21,21,0,5,1,1,1,2,254,10,10,16,26,192,34,14,20,0,122,11,11,0,0,448,0,62,88,167,255,0,0,3,3,0,0,0,0,0,0,47,2,1,2,2,40,4,2,2,0,8,0,0,0,0,62,0,7,10,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siloam Springs Police Department,2021,Arkansas,17877,AR00403,0,0,0,4,1,11,11,0,1,0,0,0,1,259,14,10,12,29,194,84,33,49,2,363,47,44,0,3,770,0,65,81,494,575,4,0,9,9,0,1,0,0,0,1,245,15,8,13,29,180,20,6,12,2,150,17,16,0,1,446,0,65,79,187,266,0,0,3,3,0,0,0,0,0,0,30,0,1,3,5,21,0,0,0,0,1,1,1,0,0,35,0,9,12,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siloam Springs Police Department,2020,Arkansas,17332,AR00403,0,0,0,0,0,23,23,0,11,6,2,2,1,278,10,15,10,19,224,72,21,49,2,332,48,42,2,4,764,0,54,88,452,540,0,0,12,12,0,8,5,1,1,1,221,8,15,4,16,178,22,6,15,1,146,11,9,2,0,420,0,43,63,179,242,0,0,7,7,0,0,0,0,0,0,18,0,0,0,0,18,1,0,1,0,2,0,0,0,0,28,0,0,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siloam Springs Police Department,2019,Arkansas,17235,AR00403,0,0,0,0,1,15,15,0,4,0,0,0,4,262,7,15,10,19,211,96,36,58,2,307,55,48,2,5,740,0,51,70,458,528,0,1,13,13,0,3,0,0,0,3,228,7,16,7,18,180,38,15,23,0,145,16,14,0,2,444,0,48,64,199,263,0,0,2,2,0,0,0,0,0,0,31,0,1,0,1,29,0,0,0,0,8,0,0,0,0,41,0,2,4,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siloam Springs Police Department,2018,Arkansas,17102,AR00403,0,0,0,0,0,19,18,1,3,2,0,0,1,246,8,8,12,28,190,92,38,51,3,269,56,47,3,6,685,0,56,78,417,495,1,0,10,9,1,2,1,0,0,1,212,10,7,10,24,161,22,8,11,2,104,12,12,0,0,363,0,51,64,138,202,0,0,4,3,1,2,1,0,0,1,36,0,0,0,1,35,2,1,1,0,4,0,0,0,0,48,0,1,7,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siloam Springs Police Department,2017,Arkansas,16680,AR00403,0,0,0,2,0,15,15,0,3,3,0,0,0,207,8,11,8,20,160,120,45,72,3,389,34,32,0,2,770,0,47,67,543,610,1,0,16,16,0,1,1,0,0,0,159,2,8,8,11,130,23,5,17,1,140,10,10,0,0,350,0,29,47,173,220,0,0,8,8,0,0,0,0,0,0,20,0,0,0,0,20,4,1,2,1,18,0,0,0,0,50,0,0,8,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siloam Springs Police Department,2016,Arkansas,16277,AR00403,0,0,0,0,0,13,13,0,7,3,0,0,4,245,8,11,5,13,208,118,44,71,3,436,26,23,1,2,845,0,37,57,580,637,0,0,3,3,0,3,1,0,0,2,177,3,10,6,7,151,19,4,15,0,128,3,3,0,0,333,0,26,32,150,182,0,0,0,0,0,1,0,0,0,1,20,0,1,0,0,19,5,3,2,0,15,0,0,0,0,41,0,1,2,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siloam Springs Police Department,2015,Arkansas,16158,AR00403,0,0,0,0,0,13,13,0,5,2,0,2,1,209,2,4,11,28,164,110,56,51,3,370,20,14,4,2,727,0,45,63,500,563,1,0,3,3,0,3,1,0,1,1,147,2,4,7,19,115,15,4,11,0,188,0,0,0,0,357,0,32,39,203,242,0,0,2,2,0,0,0,0,0,0,18,0,0,0,2,16,2,1,1,0,16,0,0,0,0,38,0,2,4,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siloam Springs Police Department,2014,Arkansas,16047,AR00403,0,0,0,1,0,10,10,0,0,0,0,0,0,230,2,8,5,20,195,167,28,136,3,331,9,7,0,2,748,0,35,46,507,553,0,0,4,4,0,0,0,0,0,0,187,1,6,3,15,162,36,9,26,1,133,4,4,0,0,364,0,25,29,173,202,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,16,4,1,2,1,18,0,0,0,0,39,0,1,1,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
