agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,tot_clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,tot_clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,tot_clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,tot_clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,tot_clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,tot_clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,tot_clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,tot_clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,tot_clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,tot_clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,tot_clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,tot_clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,tot_clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,tot_clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,tot_clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,tot_clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,tot_clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,tot_clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,tot_clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,tot_clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,tot_clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,tot_clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,tot_clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,tot_clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,tot_clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,tot_clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Rio Vista Police Department,2017,California,8870,CA04804,137,47,4,0,36,29,4,0,38,31,4,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,34,28,4,0,40,4,0,0,5,0,0,0,18,1,0,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,45,6,0,0,5,3,0,0,2,1,0,0,2,1,0,0
Rio Vista Police Department,2016,California,8554,CA04804,133,34,3,0,29,20,3,0,31,22,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,28,20,3,0,24,1,0,0,2,0,0,0,16,0,0,0,6,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,58,10,0,0,12,1,0,0,4,0,0,0,1,0,0,0
Rio Vista Police Department,2015,California,8250,CA04804,143,33,1,5,32,20,1,1,35,22,1,2,0,0,0,0,2,1,0,0,1,0,0,1,3,2,0,1,29,19,1,0,31,3,0,1,3,1,0,0,15,1,0,0,13,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,8,0,2,10,0,0,0,2,0,0,0,1,0,0,0
Rio Vista Police Department,2014,California,7825,CA04804,156,38,2,7,36,23,2,1,38,23,2,1,0,0,0,0,2,2,1,0,2,1,0,0,2,0,0,0,32,20,1,1,40,4,0,2,3,1,0,0,13,1,0,1,24,2,0,1,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,9,0,4,17,1,0,0,6,1,0,0,0,0,0,0
Rio Vista Police Department,2013,California,7622,CA04804,283,59,7,19,25,13,4,0,31,17,4,0,0,0,0,0,0,0,0,0,4,2,1,0,6,4,0,0,21,11,3,0,113,18,0,3,12,0,0,1,37,5,0,0,64,13,0,2,15,4,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,0,0,3,2,1,0,4,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,117,16,2,16,6,4,0,0,8,0,0,0,1,0,0,0
Rio Vista Police Department,2012,California,7485,CA04804,188,67,9,11,38,25,3,1,42,28,4,1,0,0,0,0,3,1,0,0,9,9,0,0,4,3,1,0,26,15,3,1,41,8,2,0,1,0,0,0,15,2,1,0,25,6,1,0,18,8,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,86,23,2,9,10,6,1,1,6,2,0,0,2,0,0,0
Rio Vista Police Department,2011,California,7447,CA04804,209,64,17,3,43,29,5,0,46,30,6,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,42,29,5,0,58,6,3,2,5,0,0,1,32,4,1,1,21,2,2,0,14,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,89,23,8,1,6,2,0,0,7,2,0,0,1,0,0,0
Rio Vista Police Department,2010,California,7360,CA04804,167,59,8,4,23,21,4,0,25,21,4,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,21,20,4,0,55,11,0,2,2,0,0,1,21,4,0,1,32,7,0,0,9,4,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,74,22,3,2,7,3,0,0,2,1,0,0,0,0,0,0
Rio Vista Police Department,2009,California,8256,CA04804,253,114,29,12,49,39,9,7,52,41,10,8,3,3,0,0,1,1,0,0,3,1,1,1,3,2,1,1,42,34,8,6,65,18,4,0,3,0,0,0,23,7,1,0,39,11,3,0,10,4,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,125,50,14,3,6,3,0,0,3,1,0,1,1,0,0,0
Rio Vista Police Department,2008,California,7980,CA04804,187,133,23,1,38,36,8,0,46,44,8,0,0,0,0,0,2,2,2,0,0,0,0,0,8,8,0,0,36,34,6,0,56,30,3,1,3,3,1,1,25,8,0,0,28,19,2,0,10,8,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,70,49,11,0,6,5,0,0,3,2,0,0,1,1,0,0
