agency,year,state,population,ORI,officers_killed_by_accident,officers_killed_by_felony,officers_assaulted,act_murder,act_manslaughter,act_rape_total,act_force_rape,act_attempted_rape,act_robbery_total,act_gun_robbery,act_knife_robbery,act_other_weapon_robbery,act_strong_arm_robbery,act_assault_total,act_aggravated_assault,act_gun_assault,act_knife_assault,act_other_weapon_assault,act_hand_feet_assault,act_simple_assault,act_burglary_total,act_burg_force_entry,act_burg_no_force_entry,act_attempted_burglary,act_theft_total,act_mtr_vhc_theft_total,act_auto_theft,act_truck_bus_theft,act_other_vhc_theft,act_all_fields,clr_murder,clr_18_murder,clr_manslaughter,clr_18_manslaughter,clr_rape_total,clr_18_rape_total,clr_force_rape,clr_18_force_rape,clr_attempted_rape,clr_18_attempted_rape,clr_robbery_total,clr_18_robbery_total,clr_gun_robbery,clr_18_gun_robbery,clr_knife_robbery,clr_18_knife_robbery,clr_other_weapon_robbery,clr_18_other_weapon_robbery,clr_strong_arm_robbery,clr_18_strong_arm_robbery,clr_assault_total,clr_18_assault_total,clr_aggravated_assault,clr_18_aggravated_assault,clr_gun_assault,clr_18_gun_assault,clr_knife_assault,clr_18_knife_assault,clr_other_weapon_assault,clr_18_other_weapon_assault,clr_hand_feet_assault,clr_18_hand_feet_assault,clr_simple_assault,clr_18_simple_assault,clr_burglary_total,clr_18_burglary_total,clr_burg_force_entry,clr_18_burg_force_entry,clr_burg_no_force_entry,clr_18_burg_no_force_entry,clr_attempted_burglary,clr_18_attempted_burglary,clr_theft_total,clr_18_theft_total,clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_auto_theft,clr_18_auto_theft,clr_truck_bus_theft,clr_18_truck_bus_theft,clr_other_vhc_theft,clr_18_other_vhc_theft,clr_all_fields,clr_18_all_fields,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_force_rape,unfound_attempted_rape,unfound_robbery_total,unfound_gun_robbery,unfound_knife_robbery,unfound_other_weapon_robbery,unfound_strong_arm_robbery,unfound_assault_total,unfound_aggravated_assault,unfound_gun_assault,unfound_knife_assault,unfound_other_weapon_assault,unfound_hand_feet_assault,unfound_simple_assault,unfound_burglary_total,unfound_burg_force_entry,unfound_burg_no_force_entry,unfound_attempted_burglary,unfound_theft_total,unfound_mtr_vhc_theft_total,unfound_auto_theft,unfound_truck_bus_theft,unfound_other_vhc_theft,unfound_all_fields
Shasta County Sheriff's Office,1960,California,42203,CA04500,0,0,0,0,0,7,0,0,8,0,0,0,0,4,0,0,0,0,0,0,119,0,0,0,707,1,1,0,0,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shasta County Sheriff's Office,1961,California,42203,CA04500,0,0,0,2,0,7,0,0,7,0,0,0,0,6,0,0,0,0,0,0,156,0,0,0,790,7,7,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shasta County Sheriff's Office,1962,California,48897,CA04500,0,0,0,2,0,2,0,0,5,0,0,0,0,5,0,0,0,0,0,0,133,0,0,0,779,1,1,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shasta County Sheriff's Office,1963,California,50500,CA04500,0,0,0,3,0,4,0,0,5,0,0,0,0,9,0,0,0,0,0,0,140,0,0,0,764,5,5,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shasta County Sheriff's Office,1964,California,52239,CA04500,0,0,0,3,0,3,2,1,2,2,0,0,0,8,8,2,2,2,2,0,172,98,57,17,782,11,11,0,0,981,3,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,8,2,8,0,2,0,2,0,2,0,2,0,0,0,56,24,9,6,9,2,3,0,346,1,4,2,4,2,0,0,0,0,422,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shasta County Sheriff's Office,1965,California,53500,CA04500,0,0,0,3,0,9,8,1,8,8,0,0,0,6,6,1,3,1,1,1,204,121,55,28,927,7,7,0,0,1164,3,0,0,0,3,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,3,0,3,0,1,0,1,0,0,0,1,0,2,1,70,46,33,25,23,15,14,6,397,0,2,2,2,2,0,0,0,0,480,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shasta County Sheriff's Office,1966,California,55950,CA04500,0,0,0,2,1,1,1,0,8,8,0,0,0,18,18,4,7,5,2,0,284,185,68,31,1187,6,6,0,0,1507,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,15,5,15,5,4,2,7,2,4,1,0,0,0,0,120,75,63,41,45,31,12,3,512,0,0,0,0,0,0,0,0,0,650,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shasta County Sheriff's Office,1967,California,54450,CA04500,0,0,0,3,0,13,10,2,8,6,0,0,2,14,14,4,4,3,3,0,267,149,70,22,990,11,11,0,0,1306,2,0,0,0,2,2,1,1,0,0,4,0,3,0,0,0,0,0,1,0,13,0,13,0,5,0,4,0,1,0,3,0,0,0,66,44,34,22,22,15,4,3,357,0,3,0,3,0,0,0,0,0,447,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shasta County Sheriff's Office,1968,California,53586,CA04500,0,0,0,0,0,5,4,1,7,3,0,0,2,11,11,3,1,4,3,0,473,283,134,27,785,10,10,0,0,1291,0,0,0,0,5,1,4,1,1,0,4,0,1,0,0,0,0,0,1,0,8,0,8,0,3,0,1,0,3,0,1,0,0,0,76,30,58,20,13,10,1,0,10,1,4,0,4,0,0,0,0,0,107,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shasta County Sheriff's Office,1969,California,54486,CA04500,0,0,0,2,1,7,2,0,7,1,0,0,1,16,13,4,4,3,2,142,418,119,79,4,1044,4,4,0,0,1499,2,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,31,2,27,1,6,0,3,0,3,1,15,0,0,0,77,34,0,0,0,0,0,0,42,18,3,3,3,3,0,0,0,0,161,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
