agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,tot_clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,tot_clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,tot_clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,tot_clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,tot_clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,tot_clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,tot_clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,tot_clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,tot_clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,tot_clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,tot_clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,tot_clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,tot_clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,tot_clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,tot_clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,tot_clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,tot_clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,tot_clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,tot_clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,tot_clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,tot_clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,tot_clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,tot_clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,tot_clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,tot_clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,tot_clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Kit Carson County Sheriff's Office,2017,Colorado,3326,CO03200,50,23,4,0,2,2,1,0,16,17,4,0,0,0,0,0,0,0,0,0,2,2,1,0,14,15,3,0,0,0,0,0,10,0,0,0,1,0,0,0,7,0,0,0,2,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,9,3,0,0,0,0,0,0,0,0,0,0
Kit Carson County Sheriff's Office,2016,Colorado,3377,CO03200,73,42,1,0,5,4,0,0,37,34,1,0,3,2,0,0,0,0,0,0,0,0,0,0,32,30,1,0,2,2,0,0,11,3,0,0,0,0,0,0,9,2,0,0,2,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,2,2,0,0,2,1,0,0,0,0,0,0
Kit Carson County Sheriff's Office,2015,Colorado,3437,CO03200,80,47,9,0,7,6,1,0,34,30,8,0,4,4,0,0,1,1,0,0,1,0,0,0,27,24,7,0,1,1,1,0,17,8,1,0,3,1,0,0,5,2,0,0,9,5,1,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,8,6,0,0,0,0,0,0,0,0,0,0
Kit Carson County Sheriff's Office,2014,Colorado,3421,CO03200,71,28,1,0,4,3,0,0,30,24,0,0,2,1,0,0,1,1,0,0,1,1,0,0,26,21,0,0,0,0,0,0,10,2,1,0,0,0,0,0,8,1,0,0,2,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0
Kit Carson County Sheriff's Office,2013,Colorado,3482,CO03200,52,30,1,0,7,6,0,0,25,23,1,0,4,4,0,0,0,0,0,0,0,0,0,0,18,17,1,0,3,2,0,0,9,2,0,0,0,0,0,0,5,1,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Kit Carson County Sheriff's Office,2012,Colorado,3449,CO03200,39,19,1,0,1,1,0,0,13,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,2,1,1,0,1,0,0,0,0,0,0,0
Kit Carson County Sheriff's Office,2011,Colorado,3417,CO03200,38,24,1,0,3,2,0,0,22,21,1,0,2,1,0,0,0,0,0,0,0,0,0,0,19,19,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0
Kit Carson County Sheriff's Office,2010,Colorado,3358,CO03200,45,20,2,0,1,2,1,0,15,16,2,0,0,0,0,0,1,1,1,0,0,0,0,0,14,14,1,0,0,1,0,0,8,1,0,0,0,0,0,0,5,0,0,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0
Kit Carson County Sheriff's Office,2009,Colorado,3342,CO03200,58,30,0,0,9,8,0,0,28,27,0,0,0,0,0,0,1,1,0,0,1,1,0,0,19,19,0,0,7,6,0,0,9,1,0,0,1,0,0,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kit Carson County Sheriff's Office,2008,Colorado,3376,CO03200,47,18,3,0,6,5,0,0,18,17,3,0,0,0,0,0,0,0,0,0,1,1,0,0,12,12,3,0,5,4,0,0,10,1,0,0,0,0,0,0,7,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
