agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Belleview Police Department,1971,Florida,10038,FL04202,76,17,10,0,6,5,1,0,6,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,25,1,0,0,0,0,0,0,21,1,0,0,4,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,6,0,5,4,3,0,0,0,0,0,0,0,0,0
Belleview Police Department,1972,Florida,10325,FL04202,47,9,4,0,3,3,0,0,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,23,2,2,0,2,0,0,0,17,1,1,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Belleview Police Department,1973,Florida,1200,FL04202,31,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,8,1,1,0,0,0,0,0,7,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,7,0,0,2,0,0,0,0,0,0,0,0,0,0
Belleview Police Department,1974,Florida,1164,FL04202,53,36,14,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,20,10,3,0,1,0,0,0,18,9,3,0,1,1,0,0,4,3,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,11,0,2,1,0,0,1,1,0,0,1,1,0,0
Belleview Police Department,1975,Florida,1192,FL04202,100,25,6,0,2,2,0,0,5,5,0,0,1,1,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0,21,5,4,0,1,1,1,0,18,4,3,0,2,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,12,1,0,4,2,1,0,2,0,0,0,0,0,0,0
Belleview Police Department,1976,Florida,1224,FL04202,60,13,4,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,18,4,2,0,2,0,0,0,15,4,2,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4,1,0,1,1,0,0,1,1,1,0,1,0,0,0
Belleview Police Department,1977,Florida,1259,FL04202,44,15,4,0,2,1,0,0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,4,1,0,2,2,0,0,4,2,1,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,29,6,3,0,0,0,0,0,1,0,0,0,3,3,0,0
Belleview Police Department,1978,Florida,1303,FL04202,50,14,8,0,3,3,0,0,6,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,2,0,0,1,1,0,0,5,1,1,0,0,0,0,0,3,0,0,0,2,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7,6,0,3,1,1,0,0,0,0,0,0,0,0,0
Belleview Police Department,1979,Florida,1455,FL04202,70,26,16,0,4,3,0,0,9,5,1,0,1,1,0,0,0,0,0,0,1,0,0,0,5,2,1,0,2,2,0,0,27,12,11,0,0,0,0,0,15,7,7,0,12,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,9,4,0,2,0,0,0,0,0,0,0,3,0,0,0
Belleview Police Department,1980,Florida,1816,FL04202,178,42,15,0,18,10,1,0,34,24,10,0,1,1,0,0,1,1,0,0,0,0,0,0,16,14,9,0,16,8,1,0,48,5,3,0,8,1,0,0,25,2,1,0,15,2,2,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,76,7,2,0,9,2,0,0,1,1,0,0,4,1,0,0
