agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,actual_arson_single_occupancy,actual_arson_other_residential,actual_arson_storage,actual_arson_industrial,actual_arson_other_commercial,actual_arson_community_public,actual_arson_all_oth_structures,actual_arson_total_structures,actual_arson_motor_vehicles,actual_arson_other_mobile,actual_arson_total_mobile,actual_arson_all_other,actual_arson_grand_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,tot_clr_arson_single_occupancy,tot_clr_arson_other_residential,tot_clr_arson_storage,tot_clr_arson_industrial,tot_clr_arson_other_commercial,tot_clr_arson_community_public,tot_clr_arson_all_oth_structures,tot_clr_arson_total_structures,tot_clr_arson_motor_vehicles,tot_clr_arson_other_mobile,tot_clr_arson_total_mobile,tot_clr_arson_all_other,tot_clr_arson_grand_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,clr_18_arson_single_occupancy,clr_18_arson_other_residential,clr_18_arson_storage,clr_18_arson_industrial,clr_18_arson_other_commercial,clr_18_arson_community_public,clr_18_arson_all_oth_structures,clr_18_arson_total_structures,clr_18_arson_motor_vehicles,clr_18_arson_other_mobile,clr_18_arson_total_mobile,clr_18_arson_all_other,clr_18_arson_grand_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total,unfound_arson_single_occupancy,unfound_arson_other_residential,unfound_arson_storage,unfound_arson_industrial,unfound_arson_other_commercial,unfound_arson_community_public,unfound_arson_all_oth_structures,unfound_arson_total_structures,unfound_arson_motor_vehicles,unfound_arson_other_mobile,unfound_arson_total_mobile,unfound_arson_all_other,unfound_arson_grand_total
Jackson County Sheriff's Office,2017,Florida,33943,FL03200,0,0,0,6,0,30,28,2,3,3,0,0,0,263,32,18,37,21,155,117,61,45,11,565,25,17,5,3,1012,108,147,710,857,1,0,0,0,0,1,0,2,0,0,0,1,3,6,0,16,15,1,2,0,0,0,0,205,0,0,0,0,123,13,2,9,2,118,12,9,2,1,375,82,106,146,252,1,0,0,0,0,1,0,2,0,0,0,1,3,4,0,8,8,0,1,0,0,0,0,93,0,0,0,0,55,6,1,5,0,49,7,6,1,0,169,38,51,63,114,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County Sheriff's Office,2016,Florida,34163,FL03200,0,0,2,0,1,16,15,1,6,5,0,1,0,258,19,8,25,20,186,167,104,56,7,474,40,23,9,8,964,72,94,683,777,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,9,9,0,0,0,0,0,0,219,0,0,0,0,166,45,23,19,3,152,22,13,7,2,449,53,62,221,283,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,8,8,0,0,0,0,0,0,90,0,0,0,0,72,17,4,12,1,61,12,6,4,2,188,18,26,90,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County Sheriff's Office,2015,Florida,34235,FL03200,0,0,5,1,0,15,15,0,7,4,0,1,2,250,21,13,36,17,163,152,98,51,3,459,30,17,8,5,919,87,110,646,756,4,0,0,0,0,1,0,5,0,0,0,0,5,1,0,12,12,0,1,0,0,0,0,222,0,0,0,0,145,22,14,8,0,143,17,10,5,2,423,77,91,187,278,4,0,0,0,0,1,0,5,0,0,0,0,5,0,0,8,8,0,0,0,0,0,0,93,0,0,0,0,64,14,9,5,0,53,9,4,3,2,177,29,37,76,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County Sheriff's Office,2014,Florida,34397,FL03200,0,0,4,1,0,12,10,2,11,11,0,0,0,263,11,18,42,20,172,121,71,43,7,441,13,5,5,3,864,91,115,577,692,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0,7,6,1,0,0,0,0,0,231,0,0,0,0,152,35,15,18,2,166,7,2,5,0,449,79,87,210,297,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,3,2,1,0,0,0,0,0,93,0,0,0,0,61,17,6,10,1,58,3,2,1,0,174,32,35,78,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County Sheriff's Office,2013,Florida,34353,FL03200,0,0,10,1,0,12,12,0,6,4,1,0,1,274,7,16,42,28,181,117,87,24,6,362,26,14,6,6,798,93,112,505,617,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,0,4,0,0,0,0,242,0,0,0,0,162,36,24,12,0,130,13,9,3,1,432,80,91,179,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,76,0,0,0,0,47,15,11,4,0,52,9,7,2,0,156,29,33,76,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County Sheriff's Office,2012,Florida,38760,FL03200,0,0,5,0,0,13,13,0,12,6,5,1,0,283,26,16,42,28,171,162,107,50,5,406,22,13,8,1,898,112,137,590,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,7,0,0,0,0,254,0,0,0,0,154,54,31,21,2,140,16,11,5,0,482,100,118,210,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,101,0,0,0,0,65,21,13,8,0,68,3,3,0,0,200,36,43,92,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County Sheriff's Office,2011,Florida,39110,FL03200,0,0,6,0,0,17,16,1,4,0,0,0,4,285,17,22,26,38,182,170,101,60,9,525,20,12,7,1,1021,103,124,715,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1,4,0,0,0,0,237,0,0,0,0,151,40,26,13,1,124,8,5,2,1,422,86,99,172,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,3,0,0,0,0,98,0,0,0,0,62,19,13,6,0,54,6,3,2,1,187,36,46,79,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County Sheriff's Office,2010,Florida,38584,FL03200,0,0,9,1,0,19,19,0,18,10,3,2,3,369,31,29,59,47,203,206,138,56,12,537,28,17,8,3,1182,166,204,775,979,3,0,0,0,0,0,0,3,0,0,0,1,4,0,0,7,7,0,12,0,0,0,0,216,0,0,0,0,103,40,29,8,3,100,5,3,2,0,384,113,132,149,281,3,0,0,0,0,0,0,3,0,0,0,1,4,0,0,2,2,0,1,0,0,0,0,48,0,0,0,0,20,14,8,6,0,39,0,0,0,0,105,28,31,54,85,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County Sheriff's Office,2009,Florida,38011,FL03200,0,0,1,1,0,15,15,0,16,7,2,2,5,416,35,18,35,91,237,203,133,66,4,347,36,17,12,7,1038,179,211,590,801,1,1,0,0,0,0,0,2,0,0,0,2,4,1,0,2,2,0,4,0,0,0,0,180,0,0,0,0,108,11,5,6,0,66,3,0,1,2,268,72,79,81,160,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,14,0,0,0,0,7,0,0,0,0,33,12,12,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County Sheriff's Office,2008,Florida,37577,FL03200,0,0,4,6,0,13,12,1,11,5,1,2,3,430,16,33,48,66,267,221,148,70,3,300,44,29,13,2,1027,163,193,567,760,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,3,3,0,4,0,0,0,0,216,0,0,0,0,117,30,24,6,0,72,16,8,8,0,347,99,112,118,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,40,0,0,0,0,23,11,8,3,0,12,5,3,2,0,69,17,18,28,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
