agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Lynn Haven Police Department,2017,Florida,21262,FL00307,0,0,5,5,0,1,0,0,0,1,200,3,8,2,21,166,66,24,39,3,360,32,25,3,4,664,34,0,0,5,5,0,0,0,0,0,0,170,0,0,0,0,140,21,10,11,0,118,18,14,2,2,332,30,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,21,1,0,1,0,4,5,3,2,0,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynn Haven Police Department,2016,Florida,20496,FL00307,0,0,4,4,0,8,5,0,1,2,244,3,9,4,25,203,55,17,36,2,361,23,15,7,1,695,41,0,0,3,3,0,3,0,0,0,0,207,0,0,0,0,171,15,8,6,1,135,12,7,4,1,375,36,0,0,0,0,0,1,0,0,0,0,34,0,0,0,0,31,1,0,1,0,9,1,1,0,0,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynn Haven Police Department,2015,Florida,20117,FL00307,0,0,3,2,1,8,4,0,2,2,173,4,5,8,23,133,46,16,29,1,460,24,14,4,6,714,40,0,0,2,1,1,6,0,0,0,0,149,0,0,0,0,112,20,5,15,0,181,13,9,2,2,371,37,0,0,0,0,0,2,0,0,0,0,19,0,0,0,0,16,2,0,2,0,18,0,0,0,0,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynn Haven Police Department,2014,Florida,19565,FL00307,0,0,4,4,0,1,0,0,0,1,167,3,5,14,23,122,41,16,24,1,430,16,14,1,1,659,45,0,0,3,3,0,1,0,0,0,0,155,0,0,0,0,110,18,6,11,1,162,9,8,0,1,348,45,0,0,1,1,0,0,0,0,0,0,23,0,0,0,0,19,1,1,0,0,24,1,0,0,1,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynn Haven Police Department,2013,Florida,19112,FL00307,0,0,3,3,0,4,4,0,0,0,249,1,11,11,33,193,61,20,41,0,460,14,11,1,2,791,56,0,0,2,2,0,3,0,0,0,0,221,0,0,0,0,173,16,2,14,0,206,12,10,1,1,460,48,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,24,6,0,6,0,16,1,1,0,0,53,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynn Haven Police Department,2012,Florida,18861,FL00307,1,0,3,3,0,2,0,0,0,2,198,1,7,11,34,145,64,31,32,1,483,13,6,4,3,764,53,1,0,3,2,1,2,0,0,0,0,172,0,0,0,0,128,17,7,10,0,213,6,2,4,0,414,44,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,13,3,1,2,0,14,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynn Haven Police Department,2011,Florida,18745,FL00307,0,0,2,1,1,6,1,1,0,4,224,3,4,26,25,166,91,30,52,9,399,9,7,1,1,731,58,0,0,2,1,1,3,0,0,0,0,175,0,0,0,0,135,45,11,32,2,193,5,4,1,0,423,40,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,18,8,2,5,1,27,2,2,0,0,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynn Haven Police Department,2010,Florida,18493,FL00307,0,0,1,1,0,9,8,1,0,0,280,4,6,8,30,232,67,30,31,6,512,13,6,2,5,882,48,0,0,1,1,0,5,0,0,0,0,191,0,0,0,0,163,18,7,11,0,217,2,1,1,0,434,28,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,24,1,0,1,0,62,0,0,0,0,95,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynn Haven Police Department,2009,Florida,15606,FL00307,0,0,4,3,1,11,1,0,1,9,302,4,4,7,38,249,158,27,127,4,356,4,4,0,0,835,53,0,0,2,2,0,5,0,0,0,0,298,0,0,0,0,254,52,13,39,0,117,3,3,0,0,477,44,0,0,0,0,0,1,0,0,0,0,26,0,0,0,0,21,1,0,1,0,11,2,2,0,0,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynn Haven Police Department,2008,Florida,15369,FL00307,2,0,3,3,0,2,2,0,0,0,310,2,4,36,0,268,112,41,69,2,342,21,16,0,5,792,42,2,0,1,1,0,1,0,0,0,0,170,0,0,0,0,151,28,10,18,0,59,10,9,0,1,271,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,15,2,1,1,0,4,2,2,0,0,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynn Haven Police Department,2007,Florida,16110,FL00307,0,0,10,10,0,4,0,1,0,3,265,5,7,23,0,230,181,44,128,9,255,24,22,0,2,739,35,0,0,10,10,0,3,0,0,0,0,164,0,0,0,0,140,74,17,54,3,57,12,12,0,0,320,24,0,0,2,2,0,0,0,0,0,0,31,0,0,0,0,27,3,1,2,0,4,2,2,0,0,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
