agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Manatee County Sheriff's Office,2020,Florida,329213,FL04100,0,0,94,8,2,187,180,7,178,70,13,9,86,3853,360,161,451,129,2752,611,179,390,42,3331,400,205,118,77,8570,0,1101,1474,4342,5816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manatee County Sheriff's Office,2019,Florida,321034,FL04100,0,0,96,10,1,179,178,1,173,56,11,13,93,3790,265,168,453,120,2784,648,202,395,51,3659,343,179,98,66,8803,0,1006,1368,4650,6018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manatee County Sheriff's Office,2018,Florida,,FL04100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manatee County Sheriff's Office,2017,Florida,307831,FL04100,0,0,85,16,0,148,142,6,195,86,9,13,87,4100,340,147,497,141,2975,941,422,462,57,3594,315,168,84,63,9309,0,1125,1484,4850,6334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manatee County Sheriff's Office,2016,Florida,295667,FL04100,0,0,63,18,1,120,119,1,169,66,14,11,78,4261,258,140,515,129,3219,1070,475,505,90,4086,335,144,90,101,10060,0,1042,1349,5491,6840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manatee County Sheriff's Office,2015,Florida,286291,FL04100,0,0,78,12,3,173,167,6,213,93,24,12,84,4848,361,186,513,239,3549,1471,780,614,77,4725,297,143,81,73,11742,0,1299,1697,6493,8190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manatee County Sheriff's Office,2014,Florida,276470,FL04100,0,0,73,9,4,180,174,6,216,80,18,20,98,4590,211,204,460,231,3484,1597,564,912,121,5258,333,157,81,95,12187,0,1106,1511,7188,8699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manatee County Sheriff's Office,2013,Florida,267132,FL04100,0,0,86,3,0,174,171,3,247,123,14,24,86,4571,244,216,433,150,3528,2043,699,1200,144,5500,315,155,92,68,12853,0,1043,1467,7858,9325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manatee County Sheriff's Office,2012,Florida,260173,FL04100,0,0,74,18,1,109,108,1,271,115,26,21,109,4684,240,207,464,203,3570,2010,687,1201,122,5812,303,154,89,60,13208,0,1114,1512,8125,9637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manatee County Sheriff's Office,2011,Florida,256728,FL04100,0,0,71,12,0,88,85,3,348,152,25,29,142,4993,221,202,493,154,3923,2532,1131,1200,201,7029,350,174,99,77,15352,0,1070,1518,9911,11429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
