agency,year,state,population,ORI,act_all_crimes,clr_18_all_crimes,clr_all_crimes,unfound_all_crimes,act_aggravated_assault,clr_18_aggravated_assault,clr_aggravated_assault,unfound_aggravated_assault,act_assault_total,clr_18_assault_total,clr_assault_total,unfound_assault_total,act_gun_assault,clr_18_gun_assault,clr_gun_assault,unfound_gun_assault,act_knife_assault,clr_18_knife_assault,clr_knife_assault,unfound_knife_assault,act_other_weapon_assault,clr_18_other_weapon_assault,clr_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,clr_18_simple_assault,clr_simple_assault,unfound_simple_assault,act_hand_feet_assault,clr_18_hand_feet_assault,clr_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,clr_18_burglary_total,clr_burglary_total,unfound_burglary_total,act_attempted_burglary,clr_18_attempted_burglary,clr_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,clr_18_burg_force_entry,clr_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,clr_18_burg_no_force_entry,clr_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,clr_18_manslaughter,clr_manslaughter,unfound_manslaughter,act_murder,clr_18_murder,clr_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,clr_18_rape_total,clr_rape_total,unfound_rape_total,act_attempted_rape,clr_18_attempted_rape,clr_attempted_rape,unfound_attempted_rape,act_force_rape,clr_18_force_rape,clr_force_rape,unfound_force_rape,act_robbery_total,clr_18_robbery_total,clr_robbery_total,unfound_robbery_total,act_gun_robbery,clr_18_gun_robbery,clr_gun_robbery,unfound_gun_robbery,act_knife_robbery,clr_18_knife_robbery,clr_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,clr_18_other_weapon_robbery,clr_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,clr_18_strong_arm_robbery,clr_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,clr_18_theft_total,clr_theft_total,unfound_theft_total,act_auto_theft,clr_18_auto_theft,clr_auto_theft,unfound_auto_theft,act_other_vhc_theft,clr_18_other_vhc_theft,clr_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,clr_18_truck_bus_theft,clr_truck_bus_theft,unfound_truck_bus_theft
Parker Police Department,1971,Florida,4278,FL00326,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Parker Police Department,1972,Florida,4343,FL00326,60,0,8,0,0,0,0,0,9,0,5,0,1,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,4,0,3,0,16,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Parker Police Department,1973,Florida,4367,FL00326,140,15,16,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,37,11,11,0,3,0,0,0,31,11,11,0,3,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,3,4,0,5,1,1,0,0,0,0,0,0,0,0,0
Parker Police Department,1974,Florida,4328,FL00326,111,2,9,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,1,0,32,1,2,0,2,0,0,0,21,1,2,0,9,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1,2,0,2,0,1,0,0,0,0,0,1,0,0,0
Parker Police Department,1975,Florida,4296,FL00326,157,2,21,0,0,0,0,0,13,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,33,1,1,0,2,1,1,0,19,0,0,0,12,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,7,0,1,1,1,0,1,0,0,0,2,0,2,0
Parker Police Department,1976,Florida,4338,FL00326,112,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4,9,0,0,0,0,0,29,4,9,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0
Parker Police Department,1977,Florida,4387,FL00326,75,5,21,0,0,0,0,0,7,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,4,0,1,1,1,0,26,2,4,0,0,0,0,0,23,2,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Parker Police Department,1978,Florida,4230,FL00326,109,24,49,0,0,0,0,0,10,2,10,0,3,1,3,0,0,0,0,0,0,0,0,0,7,1,7,0,0,0,0,0,39,16,18,0,0,0,0,0,37,16,18,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,6,19,0,1,0,1,0,1,0,1,0,0,0,0,0
Parker Police Department,1979,Florida,4526,FL00326,114,24,54,0,0,0,0,0,13,0,12,0,1,0,1,0,1,0,1,0,1,0,1,0,10,0,9,0,0,0,0,0,39,9,13,0,0,0,0,0,29,7,10,0,10,2,3,0,4,0,2,0,0,0,0,0,1,0,1,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15,26,0,2,0,2,0,1,0,0,0,1,0,0,0
Parker Police Department,1980,Florida,4283,FL00326,156,9,38,0,0,0,0,0,8,3,6,0,0,0,0,0,2,1,1,0,0,0,0,0,5,1,4,0,1,1,1,0,38,2,7,0,0,0,0,0,22,1,5,0,16,1,2,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,4,23,0,2,0,2,0,2,0,0,0,2,0,0,0
Parker Police Department,1981,Florida,4551,FL00326,144,17,37,0,0,0,0,0,12,1,8,0,2,0,2,0,1,0,1,0,1,1,1,0,8,0,4,0,0,0,0,0,19,3,4,0,0,0,0,0,13,2,3,0,6,1,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,12,24,0,1,0,0,0,3,1,1,0,1,0,0,0
Parker Police Department,1982,Florida,4663,FL00326,99,7,38,0,0,0,0,0,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,7,0,1,0,1,0,25,0,9,0,1,0,1,0,20,0,6,0,4,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,6,19,0,0,0,0,0,2,0,1,0,0,0,0,0
Parker Police Department,1983,Florida,4781,FL00326,96,23,60,1,0,0,0,0,13,2,13,0,1,0,1,0,1,0,1,0,2,0,2,0,9,2,9,0,0,0,0,0,25,4,7,0,0,0,0,0,15,3,5,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,17,38,1,0,0,0,0,0,0,0,0,0,0,0,0
Parker Police Department,1984,Florida,4768,FL00326,91,16,60,0,0,0,0,0,6,1,6,0,1,0,1,0,1,0,1,0,0,0,0,0,3,1,3,0,1,0,1,0,23,3,11,0,1,0,0,0,18,3,9,0,4,0,2,0,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,9,36,0,3,1,3,0,4,2,3,0,0,0,0,0
Parker Police Department,1985,Florida,4938,FL00326,153,20,44,2,0,0,0,0,6,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,0,0,37,2,7,0,0,0,0,0,20,1,6,0,17,1,1,0,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,103,15,31,1,4,2,2,1,0,0,0,0,1,0,0,0
Parker Police Department,1986,Florida,4476,FL00326,104,9,35,1,0,0,0,0,7,0,7,0,4,0,4,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,42,8,14,0,1,0,0,0,26,5,9,0,15,3,5,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,44,1,7,1,4,0,3,0,3,0,2,0,3,0,1,0
Parker Police Department,1987,Florida,4881,FL00326,62,7,15,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,7,0,0,0,0,0,17,4,5,0,17,2,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,23,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Parker Police Department,1989,Florida,4489,FL00326,56,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parker Police Department,1993,Florida,5015,FL00326,97,5,25,0,0,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,9,0,0,0,0,0,30,0,0,0,0,0,0,0,27,0,0,0,3,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,5,13,0,3,0,2,0,3,0,0,0,2,0,1,0
Parker Police Department,1994,Florida,5115,FL00326,157,43,91,0,0,0,0,0,28,3,28,0,0,0,0,0,1,0,1,0,5,1,5,0,22,2,22,0,0,0,0,0,21,1,4,0,0,0,0,0,15,1,2,0,6,0,2,0,11,4,8,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,2,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94,33,49,0,3,2,3,0,1,0,0,0,7,2,5,0
Parker Police Department,1995,Florida,5644,FL00326,189,50,114,0,0,0,0,0,38,2,37,0,2,0,2,0,0,0,0,0,2,0,2,0,34,2,33,0,0,0,0,0,19,2,2,0,0,0,0,0,18,2,2,0,1,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,46,73,0,7,0,2,0,3,0,0,0,1,0,0,0
Parker Police Department,1997,Florida,5838,FL00326,199,19,199,0,0,0,0,0,55,3,14,0,5,0,0,0,5,0,0,0,1,0,0,0,41,0,0,0,3,0,0,0,79,8,79,0,0,0,0,0,79,0,0,0,0,0,0,0,13,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3,52,0,11,0,0,0,1,0,0,0,1,0,0,0
Parker Police Department,1998,Florida,5021,FL00326,206,40,206,0,0,0,0,0,36,15,36,0,0,0,0,0,0,0,0,0,0,0,0,0,35,15,35,0,1,0,0,0,49,5,49,0,0,0,0,0,49,5,49,0,0,0,0,0,28,4,28,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89,16,89,0,17,3,17,0,6,0,6,0,5,1,5,0
Parker Police Department,1999,Florida,5447,FL00326,180,25,180,0,0,0,0,0,57,5,57,0,0,0,0,0,1,0,0,0,1,0,0,0,50,5,50,0,5,0,0,0,43,8,43,0,0,0,0,0,43,8,43,0,0,0,0,0,19,1,19,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,55,11,55,0,13,0,13,0,1,0,1,0,5,1,5,0
Parker Police Department,2000,Florida,4623,FL00326,217,4,217,0,0,0,0,0,48,1,48,0,1,0,0,0,0,0,0,0,1,0,0,0,45,1,45,0,1,0,0,0,52,0,52,0,0,0,0,0,52,0,52,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,3,91,0,12,0,12,0,7,0,7,0,5,0,5,0
Parker Police Department,2001,Florida,4743,FL00326,225,6,225,0,0,0,0,0,69,2,69,0,3,0,0,0,2,0,0,0,0,0,0,0,63,2,63,0,1,0,0,0,53,1,53,0,0,0,0,0,53,1,53,0,0,0,0,0,18,0,18,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,3,82,0,9,0,9,0,5,0,5,0,4,0,4,0
Parker Police Department,2002,Florida,4834,FL00326,252,26,252,0,0,0,0,0,76,8,76,0,0,0,0,0,0,0,0,0,5,0,0,0,65,8,65,0,6,0,0,0,63,7,63,0,1,0,1,0,30,5,30,0,32,2,32,0,19,3,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,8,91,0,18,3,18,0,1,0,1,0,0,0,0,0
Parker Police Department,2003,Florida,4748,FL00326,149,1,89,0,0,0,0,0,63,0,62,0,2,0,0,0,2,0,0,0,10,0,0,0,43,0,42,0,6,0,0,0,47,0,11,0,0,0,0,0,3,0,1,0,44,0,10,0,16,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,20,0,7,0,16,1,9,0,0,0,0,0,0,0,0,0
Parker Police Department,2004,Florida,4818,FL00326,199,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,53,0,0,0,4,0,0,0,39,0,0,0,0,0,0,0,5,0,0,0,34,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,20,0,0,0,2,0,0,0,0,0,0,0
Parker Police Department,2005,Florida,4794,FL00326,160,8,106,0,0,0,0,0,56,4,56,0,0,0,0,0,1,0,0,0,4,0,0,0,48,4,48,0,3,0,0,0,22,0,6,0,0,0,0,0,5,0,3,0,17,0,3,0,23,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,53,1,21,0,18,1,16,0,4,0,1,0,1,0,1,0
Parker Police Department,2006,Florida,4751,FL00326,192,43,138,0,0,0,0,0,63,8,63,0,2,0,0,0,0,0,0,0,9,0,0,0,52,7,52,0,0,0,0,0,38,16,25,0,2,2,2,0,10,9,9,0,26,5,14,0,15,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74,16,36,0,15,3,13,0,0,0,0,0,0,0,0,0
Parker Police Department,2007,Florida,4613,FL00326,248,30,187,0,0,0,0,0,67,4,67,0,0,0,0,0,3,0,0,0,0,0,0,0,60,3,60,0,4,0,0,0,37,5,27,0,0,0,0,0,31,5,23,0,6,0,4,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,2,1,2,0,9,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,124,15,75,0,8,0,7,0,1,0,0,0,0,0,0,0
Parker Police Department,2008,Florida,4503,FL00326,306,26,165,0,0,0,0,0,89,4,78,0,1,0,0,0,1,0,0,0,1,0,0,0,78,3,69,0,8,0,0,0,42,4,22,0,2,0,1,0,32,4,18,0,8,0,3,0,18,0,4,0,1,1,1,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,148,17,53,0,14,0,3,0,3,0,1,0,1,0,0,0
Parker Police Department,2009,Florida,4532,FL00326,283,28,194,0,0,0,0,0,66,8,59,0,2,0,0,0,3,0,0,0,2,0,0,0,52,5,46,0,7,0,0,0,42,10,29,0,1,0,1,0,35,9,23,0,6,1,5,0,16,1,13,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,2,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,154,9,88,0,11,0,10,0,5,1,3,0,0,0,0,0
Parker Police Department,2010,Florida,4317,FL00326,288,37,205,0,0,0,0,0,76,8,73,0,4,0,0,0,0,0,0,0,3,0,0,0,67,6,64,0,2,0,0,0,73,15,46,0,0,0,0,0,51,12,30,0,22,3,16,0,17,2,13,0,0,0,0,0,1,0,1,0,3,0,0,4,0,4,0,1,0,1,0,3,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,12,68,0,8,1,8,0,9,1,5,0,0,0,0,0
Parker Police Department,2011,Florida,4376,FL00326,357,29,253,0,31,0,0,0,86,4,73,0,2,0,0,0,0,0,0,0,5,0,0,0,55,4,45,0,24,0,0,0,68,2,53,0,3,0,5,0,40,1,29,0,25,1,19,0,9,1,7,0,0,0,0,0,1,1,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,21,118,0,7,1,7,0,2,0,0,0,0,0,0,0
Parker Police Department,2012,Florida,4402,FL00326,204,14,180,0,0,0,0,0,78,9,77,0,6,0,0,0,0,0,0,0,9,0,0,0,59,6,59,0,4,0,0,0,47,0,51,0,0,0,0,0,9,0,9,0,38,0,42,0,7,1,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,2,42,0,6,1,6,0,1,0,1,0,0,0,0,0
Parker Police Department,2013,Florida,4416,FL00326,215,23,153,0,0,0,0,0,63,10,55,0,2,0,0,0,0,0,0,0,5,0,0,0,46,4,41,0,10,0,0,0,47,3,39,0,0,0,0,0,12,0,12,0,35,3,27,0,8,2,7,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,94,6,49,0,8,2,7,0,0,0,0,0,0,0,0,0
Parker Police Department,2014,Florida,4503,FL00326,205,72,177,0,0,0,0,0,55,9,53,0,1,0,0,0,0,0,0,0,3,0,0,0,47,8,45,0,4,0,0,0,43,29,39,0,0,0,0,0,25,21,25,0,18,8,14,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,2,3,4,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,94,28,71,0,4,0,3,0,1,0,0,0,2,2,2,0
Parker Police Department,2015,Florida,4612,FL00326,207,42,167,0,0,0,0,0,69,9,65,0,3,0,0,0,0,0,0,0,2,0,0,0,58,8,57,0,6,0,0,0,28,8,25,0,0,0,0,0,15,5,17,0,13,3,8,0,13,6,12,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,19,63,0,11,6,11,0,1,0,1,0,1,0,0,0
Parker Police Department,2016,Florida,4661,FL00326,211,29,197,0,0,0,0,0,51,5,51,0,1,0,0,0,2,0,0,0,4,0,0,0,35,3,35,0,9,0,0,0,31,2,26,0,0,0,0,0,17,0,14,0,14,2,12,0,9,1,9,0,0,0,0,0,1,0,2,0,2,0,0,2,0,2,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,115,21,105,0,7,1,7,0,0,0,0,0,2,0,2,0
