agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Columbia County Sheriff's Office,2017,Georgia,134836,GA03600,0,0,11,11,0,19,8,2,0,9,711,14,10,9,4,674,166,65,94,7,1717,80,60,15,5,2704,37,1,0,3,3,0,10,5,1,0,4,111,3,6,4,0,98,32,20,9,3,354,10,3,5,2,521,13,1,0,0,0,0,1,0,0,0,1,10,0,0,0,0,10,5,2,2,1,23,1,0,1,0,41,0,0,0,6,6,0,0,0,0,0,0,11,0,2,0,0,9,9,0,9,0,86,6,5,0,1,118,2
Columbia County Sheriff's Office,2016,Georgia,131551,GA03600,8,0,9,9,0,17,12,0,0,5,923,10,7,12,2,892,202,95,102,5,1680,70,42,20,8,2909,31,12,0,1,1,0,5,4,0,0,1,150,6,1,5,1,137,27,16,11,0,347,10,4,3,3,552,13,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,2,0,2,0,19,1,0,1,0,33,0,0,0,5,5,0,0,0,0,0,0,15,1,0,1,0,13,6,3,3,0,137,12,12,0,0,175,2
Columbia County Sheriff's Office,2015,Georgia,127241,GA03600,2,0,11,11,0,8,5,0,0,3,905,10,12,19,3,861,243,107,120,16,1614,76,54,20,2,2859,44,2,0,5,5,0,3,2,0,0,1,162,5,3,4,2,148,53,25,28,0,369,16,14,2,0,610,14,0,0,0,0,0,1,1,0,0,0,12,0,0,0,0,12,5,2,3,0,37,1,1,0,0,56,0,0,0,7,6,1,11,4,1,1,5,11,1,0,1,0,9,16,4,12,0,135,22,17,4,1,202,2
Columbia County Sheriff's Office,2014,Georgia,123057,GA03600,1,0,13,13,0,10,9,0,0,1,926,13,11,14,4,884,251,116,121,14,1662,82,53,23,6,2945,42,1,0,4,3,1,6,6,0,0,0,239,3,5,11,1,219,38,19,19,0,375,15,11,4,0,678,20,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,3,2,1,0,25,1,1,0,0,48,0,0,0,12,7,5,5,0,0,0,5,9,0,0,0,0,9,14,2,12,0,173,15,8,5,2,228,0
Columbia County Sheriff's Office,2013,Georgia,118618,GA03600,1,0,11,11,0,17,11,0,0,6,946,9,7,13,0,917,287,113,149,25,1695,72,49,15,8,3029,29,1,0,1,1,0,8,6,0,0,2,333,4,3,8,0,318,39,14,23,2,430,14,9,4,1,826,15,0,0,0,0,0,2,2,0,0,0,16,0,0,1,0,15,4,0,4,0,26,2,1,1,0,50,1,0,0,3,3,0,3,3,0,0,0,5,0,0,0,0,5,8,2,5,1,70,2,2,0,0,91,0
Columbia County Sheriff's Office,2012,Georgia,114984,GA03600,1,1,10,9,1,20,15,2,1,2,944,6,19,9,3,907,396,196,159,41,1804,97,57,22,18,3273,37,1,1,7,7,0,7,5,1,1,0,386,12,16,9,1,348,50,27,19,4,460,22,19,3,0,934,38,0,0,3,3,0,1,1,0,0,0,40,0,1,1,1,37,4,2,2,0,27,3,2,1,0,78,3,0,0,7,7,0,2,2,0,0,0,22,0,0,2,0,20,9,2,6,1,65,8,6,2,0,113,2
Columbia County Sheriff's Office,2011,Georgia,111621,GA03600,4,0,19,18,1,20,16,0,1,3,982,14,18,19,0,931,452,263,153,36,1900,86,57,17,12,3463,51,3,0,9,8,1,11,7,0,1,3,350,9,12,14,0,315,84,50,31,3,435,20,15,5,0,912,35,0,0,0,0,0,1,1,0,0,0,45,0,0,0,0,45,5,1,4,0,31,1,0,1,0,83,0,0,0,5,5,0,0,0,0,0,0,18,0,0,0,0,18,10,1,8,1,53,3,1,2,0,89,0
Columbia County Sheriff's Office,2010,Georgia,110171,GA03600,1,0,10,9,1,15,4,1,2,8,961,15,14,14,3,915,376,207,134,35,1860,87,60,19,8,3310,46,1,0,8,8,0,8,2,1,1,4,409,12,7,15,2,373,67,39,22,6,446,25,16,8,1,964,36,0,0,0,0,0,0,0,0,0,0,95,0,0,1,0,94,2,2,0,0,39,4,3,1,0,140,1,0,0,1,1,0,0,0,0,0,0,23,0,0,1,0,22,4,1,3,0,39,2,1,0,1,69,1
Columbia County Sheriff's Office,2009,Georgia,101e3,GA03600,4,0,14,14,0,42,25,3,1,13,932,19,12,25,3,873,353,198,125,30,1795,121,54,48,19,3261,59,4,0,8,8,0,11,7,0,0,4,473,18,8,20,2,425,84,44,36,4,445,28,18,9,1,1053,48,0,0,0,0,0,1,1,0,0,0,84,0,4,0,0,80,5,2,2,1,65,3,3,0,0,158,4,0,0,4,4,0,0,0,0,0,0,26,2,0,2,0,22,9,1,8,0,59,6,4,2,0,104,4
Columbia County Sheriff's Office,2008,Georgia,100195,GA03600,0,0,21,20,1,25,13,2,0,10,841,6,15,18,8,794,346,173,156,17,1831,101,51,26,24,3165,47,0,0,3,3,0,3,2,0,0,1,346,3,4,8,7,324,18,9,9,0,287,10,5,2,3,667,22,0,0,0,0,0,0,0,0,0,0,108,2,1,0,0,105,1,1,0,0,75,1,1,0,0,185,3,0,0,5,5,0,1,0,0,1,0,13,2,1,0,0,10,9,2,7,0,70,13,9,2,2,111,3
Columbia County Sheriff's Office,2007,Georgia,NA,GA03600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
