agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,tot_clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,tot_clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,tot_clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,tot_clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,tot_clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,tot_clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,tot_clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,tot_clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,tot_clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,tot_clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,tot_clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,tot_clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,tot_clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,tot_clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,tot_clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,tot_clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,tot_clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,tot_clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,tot_clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,tot_clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,tot_clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,tot_clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,tot_clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,tot_clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,tot_clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,tot_clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Fort Oglethorpe Police Dept,2017,Georgia,9935,GA02301,791,417,26,9,45,14,1,1,137,82,6,2,3,1,0,0,5,3,0,1,6,4,0,0,92,68,5,1,31,6,1,0,57,13,1,1,8,0,0,0,15,3,0,1,34,10,1,0,22,10,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,8,3,0,0,2,2,0,0,0,0,0,0,3,0,0,0,3,1,0,0,564,308,19,6,19,10,0,0,1,0,0,0,2,0,0,0
Fort Oglethorpe Police Dept,2016,Georgia,9911,GA02301,822,386,16,7,51,18,4,1,174,94,10,2,10,8,0,0,6,3,0,1,6,1,0,0,123,76,6,1,29,6,4,0,34,5,0,0,3,0,0,0,17,1,0,0,14,4,0,0,30,9,0,0,1,1,0,0,0,1,0,0,0,0,0,3,4,2,2,2,0,0,1,1,4,2,1,9,1,0,0,7,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,571,271,4,3,28,7,0,0,2,2,0,0,0,0,0,0
Fort Oglethorpe Police Dept,2015,Georgia,9670,GA02301,874,525,27,3,49,12,1,0,137,73,8,0,2,2,1,0,5,5,0,0,7,3,0,0,88,61,7,0,35,2,0,0,47,10,1,0,6,0,0,0,19,4,0,0,22,6,1,0,18,5,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,3,0,0,0,11,3,0,0,4,1,0,0,2,0,0,0,1,0,0,0,4,2,0,0,656,434,17,3,15,5,1,0,3,0,0,0,0,0,0,0
Fort Oglethorpe Police Dept,2014,Georgia,9573,GA02301,985,590,35,9,37,8,1,1,169,79,5,1,3,0,0,0,12,7,1,0,5,0,0,1,132,71,4,0,17,1,0,0,50,25,1,2,6,0,0,1,32,20,0,0,12,5,1,1,16,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,6,2,0,0,742,478,29,4,13,6,0,1,3,0,0,0,0,0,0,0
Fort Oglethorpe Police Dept,2013,Georgia,9504,GA02301,822,479,46,13,26,3,1,1,125,69,7,4,0,0,0,0,0,0,0,1,4,1,0,0,99,66,6,3,22,2,1,0,58,12,1,2,3,0,0,0,33,1,0,0,22,11,1,2,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,618,394,38,7,15,3,0,0,1,0,0,0,3,1,0,0
Fort Oglethorpe Police Dept,2012,Georgia,9442,GA02301,862,465,50,18,28,6,2,0,161,71,8,0,1,1,0,0,6,4,2,0,5,1,0,0,133,65,6,0,16,0,0,0,63,25,4,4,8,0,0,0,34,10,0,0,21,15,4,4,24,8,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1,1,1,0,4,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,606,359,36,14,23,8,1,0,1,0,0,0,0,0,0,0
Fort Oglethorpe Police Dept,2011,Georgia,9385,GA02301,765,430,50,5,33,18,1,0,121,66,2,0,4,2,0,0,6,4,0,0,6,3,0,0,88,48,1,0,17,9,1,0,62,19,6,0,4,0,0,0,33,11,3,0,25,8,3,0,13,8,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,1,1,0,6,2,0,0,3,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,561,334,41,4,11,7,0,1,1,0,0,0,1,1,0,0
Fort Oglethorpe Police Dept,2010,Georgia,9263,GA02301,703,309,33,27,18,14,0,0,163,68,8,4,4,4,0,0,6,3,0,0,4,3,0,0,145,54,8,4,4,4,0,0,62,24,4,6,5,0,0,1,29,16,3,3,28,8,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,10,4,1,0,6,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,459,212,20,17,6,1,0,0,1,0,0,0,0,0,0,0
Fort Oglethorpe Police Dept,2009,Georgia,1e4,GA02301,975,522,48,25,21,9,0,0,162,71,4,0,5,4,0,0,4,2,0,0,7,2,0,0,141,62,4,0,5,1,0,0,83,29,0,3,20,4,0,1,36,16,0,2,27,9,0,0,23,9,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,1,0,0,1,9,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,696,412,44,21,20,7,0,0,1,0,0,0,2,2,0,0
Fort Oglethorpe Police Dept,2008,Georgia,9921,GA02301,855,394,55,12,19,8,0,0,167,83,10,2,2,2,0,0,4,1,0,0,9,3,0,0,148,75,10,2,4,2,0,0,91,31,4,2,15,0,0,1,40,16,4,0,36,15,0,1,22,11,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,568,266,35,8,21,11,3,0,1,0,0,0,0,0,0,0
