agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Fremont County Sheriff's Office,2017,Idaho,9507,ID02200,0,0,3,3,0,0,0,0,0,0,55,1,0,3,1,50,7,3,3,1,57,7,6,1,0,129,5,0,0,2,2,0,0,0,0,0,0,49,1,0,3,1,44,3,0,3,0,25,3,3,0,0,82,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2016,Idaho,9393,ID02200,0,0,3,3,0,0,0,0,0,0,40,0,0,3,0,37,9,2,7,0,50,3,1,1,1,105,3,0,0,3,3,0,0,0,0,0,0,38,0,0,3,0,35,8,1,7,0,8,1,1,0,0,58,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,1,0,1,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2015,Idaho,9372,ID02200,0,0,0,0,0,0,0,0,0,0,53,1,0,4,5,43,19,4,14,1,58,13,9,4,0,143,10,0,0,0,0,0,0,0,0,0,0,52,1,0,4,5,42,10,1,9,0,16,6,6,0,0,84,10,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,8,1,0,1,0,5,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2014,Idaho,9496,ID02200,0,0,3,3,0,0,0,0,0,0,32,0,0,0,0,32,20,10,10,0,40,4,4,0,0,99,0,0,0,3,3,0,0,0,0,0,0,26,0,0,0,0,26,15,6,9,0,9,4,4,0,0,57,0,0,0,1,1,0,0,0,0,0,0,11,0,0,0,0,11,1,0,1,0,5,1,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2013,Idaho,9480,ID02200,0,0,0,0,0,0,0,0,0,0,43,3,0,2,0,38,13,3,10,0,62,7,6,0,1,125,5,0,0,0,0,0,0,0,0,0,0,36,3,0,2,0,31,3,1,2,0,17,0,0,0,0,56,5,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,6,1,0,1,0,7,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2012,Idaho,9679,ID02200,0,0,2,2,0,0,0,0,0,0,48,2,0,2,1,43,20,11,9,0,56,3,2,1,0,129,5,0,0,2,2,0,0,0,0,0,0,45,2,0,2,1,40,7,4,3,0,14,0,0,0,0,68,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,2,0,2,0,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2011,Idaho,9807,ID02200,0,0,0,0,0,0,0,0,0,0,51,0,2,4,0,45,9,4,5,0,55,4,4,0,0,119,6,0,0,0,0,0,0,0,0,0,0,48,0,2,1,0,45,3,0,3,0,11,2,2,0,0,64,3,0,0,0,0,0,0,0,0,0,0,29,0,2,1,0,26,0,0,0,0,4,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2010,Idaho,9700,ID02200,0,0,0,0,0,0,0,0,0,0,65,0,0,2,2,61,3,1,2,0,58,5,2,2,1,131,4,0,0,0,0,0,0,0,0,0,0,65,0,0,2,2,61,0,0,0,0,31,3,3,0,0,99,4,0,0,0,0,0,0,0,0,0,0,33,0,0,1,0,32,0,0,0,0,6,2,2,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2009,Idaho,9178,ID02200,0,0,1,1,0,0,0,0,0,0,55,2,2,1,0,50,14,5,9,0,80,4,2,2,0,154,5,0,0,1,1,0,0,0,0,0,0,48,2,2,0,0,44,6,2,4,0,20,0,0,0,0,75,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,1,0,1,0,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2008,Idaho,9170,ID02200,0,0,1,1,0,0,0,0,0,0,46,0,3,0,0,43,20,8,11,1,79,1,0,1,0,147,3,0,0,1,1,0,0,0,0,0,0,34,0,2,0,0,32,7,2,5,0,14,0,0,0,0,56,2,0,0,1,1,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2007,Idaho,9125,ID02200,0,0,0,0,0,0,0,0,0,0,43,0,0,7,0,36,13,2,11,0,39,4,1,2,1,99,7,0,0,0,0,0,0,0,0,0,0,40,0,0,7,0,33,2,1,1,0,3,2,1,0,1,47,7,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,9,0,0,0,0,0,1,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2006,Idaho,9126,ID02200,0,0,1,1,0,0,0,0,0,0,32,0,2,6,1,23,15,3,12,0,70,7,3,1,3,125,9,0,0,1,1,0,0,0,0,0,0,31,0,2,6,1,22,0,0,0,0,25,0,0,0,0,57,9,0,0,0,0,0,0,0,0,0,0,7,0,2,1,0,4,0,0,0,0,2,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2005,Idaho,9076,ID02200,1,0,2,2,0,0,0,0,0,0,31,1,2,3,1,24,15,5,10,0,67,15,6,4,5,131,7,1,0,2,2,0,0,0,0,0,0,30,1,2,3,1,23,2,1,1,0,15,4,2,2,0,54,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2004,Idaho,8904,ID02200,0,0,5,5,0,0,0,0,0,0,36,0,0,3,0,33,10,5,5,0,72,2,2,0,0,125,3,0,0,0,0,0,0,0,0,0,0,23,0,0,3,0,20,2,1,1,0,5,1,1,0,0,31,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2003,Idaho,8708,ID02200,0,0,2,2,0,0,0,0,0,0,51,0,2,6,0,43,12,6,6,0,48,3,1,1,1,116,8,0,0,1,1,0,0,0,0,0,0,36,0,2,6,0,28,8,3,5,0,5,0,0,0,0,50,8,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,4,4,0,4,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County Sheriff's Office,2002,Idaho,8786,ID02200,0,0,2,2,0,0,0,0,0,0,25,0,0,7,0,18,8,8,0,0,34,10,1,8,1,79,7,0,0,0,0,0,0,0,0,0,0,16,0,0,7,0,9,3,3,0,0,1,1,1,0,0,21,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,2,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
