agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Coal Valley Police Dept,1971,Illinois,3068,IL08103,65,12,6,0,6,6,1,0,6,6,1,0,2,2,1,0,0,0,0,0,1,1,0,0,3,3,0,0,3,3,0,0,14,1,1,0,0,0,0,0,11,1,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0
Coal Valley Police Dept,1972,Illinois,3126,IL08103,33,10,0,0,4,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,10,1,0,0,1,0,0,0,2,0,0,0,7,1,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
Coal Valley Police Dept,1973,Illinois,3010,IL08103,31,6,3,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19,4,3,0,2,0,0,0,16,4,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Coal Valley Police Dept,1974,Illinois,3111,IL08103,83,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,3,0,5,0,0,0,21,8,3,0,10,0,0,0,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,36,6,1,0,3,2,2,0,5,3,0,0,0,0,0,0
Coal Valley Police Dept,1975,Illinois,3111,IL08103,162,40,14,0,4,3,1,0,9,7,3,0,3,2,0,0,0,0,0,0,1,1,1,0,5,4,2,0,0,0,0,0,68,11,2,0,11,1,1,0,50,10,1,0,7,0,0,0,13,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,69,12,7,0,8,6,1,0,4,1,1,0,1,1,0,0
Coal Valley Police Dept,1976,Illinois,3463,IL08103,145,26,9,0,2,1,0,0,10,7,0,0,1,1,0,0,1,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,61,8,4,0,11,1,0,0,45,6,4,0,5,1,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63,8,4,0,5,1,0,0,3,0,0,0,1,1,1,0
Coal Valley Police Dept,1977,Illinois,3049,IL08103,123,31,12,0,1,1,1,0,23,20,5,0,0,0,0,0,1,1,1,0,0,0,0,0,22,19,4,0,0,0,0,0,37,2,0,0,9,0,0,0,15,1,0,0,13,1,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,6,4,0,5,3,3,0,0,0,0,0,0,0,0,0
Coal Valley Police Dept,1979,Illinois,3656,IL08103,194,48,13,0,4,3,0,0,37,31,6,0,2,1,0,0,1,1,0,0,1,1,0,0,33,28,6,0,0,0,0,0,61,4,0,0,16,0,0,0,30,4,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,91,12,7,0,2,0,0,0,1,0,0,0,0,0,0,0
Coal Valley Police Dept,1980,Illinois,3786,IL08103,237,84,18,0,7,6,1,0,48,45,2,0,2,1,0,0,4,4,1,0,1,1,0,0,41,39,1,0,0,0,0,0,57,13,5,0,18,2,2,0,27,10,3,0,12,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,23,11,0,1,1,0,0,1,0,0,0,0,0,0,0
Coal Valley Police Dept,1981,Illinois,3819,IL08103,254,83,18,0,12,11,1,0,59,53,5,0,3,3,0,0,5,4,0,0,0,0,0,0,47,42,4,0,4,4,1,0,48,5,3,0,11,1,1,0,24,3,1,0,13,1,1,0,9,7,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,16,7,0,4,3,1,0,2,2,1,0,3,2,1,0
