agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Carter Lake Police Department,2023,Iowa,3745,IA07804,0,0,0,0,0,3,3,0,3,1,0,0,2,65,1,0,4,12,48,24,8,16,0,119,25,19,4,2,239,0,17,23,168,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2022,Iowa,3768,IA07804,0,0,0,0,0,2,2,0,1,0,0,1,0,61,3,8,11,22,17,18,5,13,0,95,11,10,0,1,188,0,44,47,124,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2021,Iowa,3793,IA07804,0,0,0,0,0,4,4,0,0,0,0,0,0,83,6,2,11,9,55,16,3,13,0,94,19,18,0,1,216,0,28,32,129,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2020,Iowa,3784,IA07804,0,0,1,0,0,4,4,0,2,0,0,1,1,80,13,1,9,15,42,16,1,15,0,75,21,17,3,1,198,0,38,44,112,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2019,Iowa,3783,IA07804,0,0,0,0,0,6,6,0,5,2,0,1,2,46,0,0,1,13,32,14,2,12,0,78,11,11,0,0,160,0,14,25,103,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2018,Iowa,,IA07804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carter Lake Police Department,2017,Iowa,3783,IA07804,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1,0,1,0,3,4,4,0,0,13,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2016,Iowa,3791,IA07804,0,0,0,0,0,3,3,0,4,2,0,0,2,33,1,0,3,13,16,21,7,10,4,72,22,21,0,1,155,0,17,24,115,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2015,Iowa,3759,IA07804,0,0,0,0,0,4,4,0,0,0,0,0,0,21,0,3,2,8,8,17,7,7,3,68,12,12,0,0,122,0,13,17,97,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2014,Iowa,3737,IA07804,0,0,0,0,0,3,3,0,3,2,0,1,0,45,1,1,6,17,20,25,11,11,3,102,21,19,1,1,199,0,25,31,148,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2013,Iowa,3755,IA07804,0,0,0,0,0,3,3,0,0,0,0,0,0,40,1,1,0,14,24,40,10,27,3,96,25,25,0,0,204,0,16,19,161,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2012,Iowa,3816,IA07804,0,0,0,0,0,4,4,0,1,0,0,0,1,41,0,4,3,11,23,49,24,24,1,105,31,31,0,0,231,0,18,23,185,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2011,Iowa,3805,IA07804,0,0,0,0,0,4,4,0,0,0,0,0,0,42,1,0,2,14,25,27,14,13,0,90,18,17,1,0,181,0,17,21,135,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2010,Iowa,3785,IA07804,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,3,2,2,0,0,9,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2009,Iowa,,IA07804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carter Lake Police Department,2008,Iowa,3227,IA07804,0,0,0,0,0,2,2,0,2,1,0,0,1,34,0,0,5,6,23,34,19,15,0,120,12,11,1,0,204,0,11,15,166,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2007,Iowa,3304,IA07804,0,0,0,1,0,3,3,0,2,0,1,0,1,46,1,2,4,8,31,41,20,20,1,162,22,22,0,0,277,0,15,21,225,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter Lake Police Department,2006,Iowa,3422,IA07804,0,0,0,1,0,0,0,0,2,1,0,0,1,42,2,2,4,4,30,46,25,19,2,239,19,18,1,0,349,0,12,15,304,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
