agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,tot_clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,tot_clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,tot_clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,tot_clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,tot_clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,tot_clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,tot_clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,tot_clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,tot_clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,tot_clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,tot_clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,tot_clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,tot_clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,tot_clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,tot_clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,tot_clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,tot_clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,tot_clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,tot_clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,tot_clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,tot_clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,tot_clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,tot_clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,tot_clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,tot_clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,tot_clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Lexington Division Of Police,2017,Kentucky,322332,KY03402,17064,7118,561,0,355,189,7,0,4097,3100,261,0,110,29,0,0,89,61,3,0,117,75,2,0,3742,2911,254,0,39,24,2,0,2087,470,29,0,53,13,0,0,1024,235,14,0,1010,222,15,0,1273,410,77,0,0,0,0,0,29,23,3,0,0,0,0,200,53,11,0,8,5,0,0,192,48,11,0,547,173,19,0,230,70,13,0,51,11,0,0,64,16,1,0,202,76,5,0,8831,2889,161,0,1244,405,76,0,22,5,1,0,7,0,0,0
Lexington Division Of Police,2016,Kentucky,317853,KY03402,17543,6051,528,0,280,138,5,0,3686,2298,211,0,78,23,2,0,56,38,1,0,121,64,2,0,3406,2160,206,0,25,13,0,0,2435,466,44,0,83,14,2,0,1155,228,28,0,1197,224,14,0,1158,391,91,0,0,0,0,0,24,14,1,0,0,0,0,200,75,28,0,8,4,2,0,192,71,26,0,575,153,14,0,285,67,5,0,55,15,2,0,74,21,1,0,161,50,6,0,9465,2654,139,0,1129,390,90,0,19,1,1,0,10,0,0,0
Lexington Division Of Police,2015,Kentucky,314077,KY03402,16666,5733,409,0,356,172,8,0,3488,2334,170,0,101,17,2,0,87,52,4,0,127,75,1,0,3132,2162,162,0,41,28,1,0,2519,359,29,0,65,7,3,0,1372,177,15,0,1082,175,11,0,1008,215,49,0,0,1,0,0,15,17,1,0,0,0,0,171,53,13,0,5,1,0,0,166,52,13,0,510,145,13,0,252,70,7,0,59,12,0,0,60,15,2,0,139,48,4,0,8955,2609,134,0,970,212,49,0,24,2,0,0,14,1,0,0
Lexington Division Of Police,2014,Kentucky,311848,KY03402,16426,5877,384,0,334,196,7,0,3509,2468,176,0,94,29,1,0,74,55,0,0,137,93,6,0,3175,2272,169,0,29,19,0,0,2400,365,36,0,69,5,0,0,1252,193,24,0,1079,167,12,0,936,225,36,0,0,0,0,0,20,12,1,0,0,0,0,142,50,3,0,6,0,0,0,136,50,3,0,554,166,15,0,295,78,6,0,46,14,1,0,64,26,3,0,149,48,5,0,8865,2591,117,0,907,224,36,0,25,1,0,0,4,0,0,0
Lexington Division Of Police,2013,Kentucky,308712,KY03402,16639,6115,387,0,323,203,8,0,3489,2629,168,0,72,26,1,0,98,66,3,0,112,82,4,0,3166,2426,160,0,41,29,0,0,2585,440,25,0,94,7,1,0,1278,229,21,0,1213,204,3,0,836,199,15,0,3,3,0,0,18,18,0,0,0,0,0,138,34,2,0,4,3,0,0,134,31,2,0,467,141,6,0,213,58,2,0,44,9,0,0,41,10,1,0,169,64,3,0,9103,2651,171,0,796,196,15,0,28,1,0,0,12,2,0,0
Lexington Division Of Police,2012,Kentucky,302332,KY03402,17720,6060,354,0,345,180,8,0,3528,2498,131,0,68,22,2,0,88,51,1,0,149,78,3,0,3183,2318,123,0,40,29,2,0,2859,421,35,0,102,15,0,0,1439,196,20,0,1318,210,15,0,913,251,22,0,0,0,0,0,12,11,0,0,0,0,0,104,28,3,0,4,2,0,0,100,26,3,0,607,181,11,0,256,74,7,0,65,19,0,0,62,14,1,0,224,74,3,0,9697,2670,152,0,887,247,22,0,23,4,0,0,3,0,0,0
Lexington Division Of Police,2011,Kentucky,297847,KY03402,16141,5354,335,102,744,471,16,9,3058,2056,84,19,170,74,2,4,134,94,2,1,351,254,5,4,2314,1585,68,10,89,49,7,0,2729,456,32,21,77,10,0,4,1118,194,18,8,1534,252,14,9,673,161,18,7,2,1,0,0,14,12,0,0,85,0,0,107,21,5,8,4,1,0,0,103,20,5,8,496,115,4,0,225,34,2,0,52,11,1,0,41,12,1,0,178,58,0,0,9062,2532,192,47,484,125,8,5,79,12,4,0,110,24,6,2
Lexington Division Of Police,2010,Kentucky,295803,KY03402,14684,4520,469,50,1026,521,20,5,2962,1664,95,11,207,79,1,1,186,112,7,3,551,293,11,1,1936,1143,75,6,82,37,1,0,2679,464,32,5,98,8,0,1,1313,290,16,0,1268,166,16,4,641,129,26,4,0,0,0,0,18,12,2,0,147,0,0,87,25,6,20,6,3,0,0,81,22,6,20,593,162,15,2,241,48,2,1,61,22,2,0,54,16,1,0,237,76,10,1,7704,2064,293,8,309,70,10,4,146,23,9,0,186,36,7,0
Lexington Division Of Police,2009,Kentucky,296406,KY03402,13826,6132,526,89,1062,894,60,12,3003,2869,173,35,215,147,7,0,181,164,11,2,566,503,36,7,1941,1975,113,23,100,80,6,3,2427,475,30,7,82,16,3,0,1223,224,18,2,1122,235,9,5,543,153,35,6,1,1,0,0,13,12,0,4,143,0,0,107,64,4,21,10,8,0,1,97,56,4,20,578,200,15,6,229,50,1,3,51,16,4,1,65,21,1,2,233,113,9,0,7154,2358,269,10,282,89,19,4,106,22,12,0,155,42,4,2
Lexington Division Of Police,2008,Kentucky,281473,KY03402,13613,4878,525,99,1102,702,47,6,3210,2311,167,18,233,121,4,1,196,134,9,1,581,381,28,3,2108,1609,120,12,92,66,6,1,2259,364,42,10,75,13,1,0,1158,187,15,2,1026,164,26,8,587,130,15,36,1,1,0,0,12,11,1,3,121,0,0,137,45,4,10,10,3,0,1,127,42,4,9,529,144,11,0,210,38,3,0,60,14,0,0,51,14,1,0,208,78,7,0,6878,1872,285,22,330,79,4,22,88,11,3,1,169,40,8,13
