agency,year,state,population,ORI,officers_killed_by_accident,officers_killed_by_felony,officers_assaulted,act_murder,act_manslaughter,act_rape_total,act_force_rape,act_attempted_rape,act_robbery_total,act_gun_robbery,act_knife_robbery,act_other_weapon_robbery,act_strong_arm_robbery,act_assault_total,act_aggravated_assault,act_gun_assault,act_knife_assault,act_other_weapon_assault,act_hand_feet_assault,act_simple_assault,act_burglary_total,act_burg_force_entry,act_burg_no_force_entry,act_attempted_burglary,act_theft_total,act_mtr_vhc_theft_total,act_auto_theft,act_truck_bus_theft,act_other_vhc_theft,act_all_fields,clr_murder,clr_18_murder,clr_manslaughter,clr_18_manslaughter,clr_rape_total,clr_18_rape_total,clr_force_rape,clr_18_force_rape,clr_attempted_rape,clr_18_attempted_rape,clr_robbery_total,clr_18_robbery_total,clr_gun_robbery,clr_18_gun_robbery,clr_knife_robbery,clr_18_knife_robbery,clr_other_weapon_robbery,clr_18_other_weapon_robbery,clr_strong_arm_robbery,clr_18_strong_arm_robbery,clr_assault_total,clr_18_assault_total,clr_aggravated_assault,clr_18_aggravated_assault,clr_gun_assault,clr_18_gun_assault,clr_knife_assault,clr_18_knife_assault,clr_other_weapon_assault,clr_18_other_weapon_assault,clr_hand_feet_assault,clr_18_hand_feet_assault,clr_simple_assault,clr_18_simple_assault,clr_burglary_total,clr_18_burglary_total,clr_burg_force_entry,clr_18_burg_force_entry,clr_burg_no_force_entry,clr_18_burg_no_force_entry,clr_attempted_burglary,clr_18_attempted_burglary,clr_theft_total,clr_18_theft_total,clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_auto_theft,clr_18_auto_theft,clr_truck_bus_theft,clr_18_truck_bus_theft,clr_other_vhc_theft,clr_18_other_vhc_theft,clr_all_fields,clr_18_all_fields,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_force_rape,unfound_attempted_rape,unfound_robbery_total,unfound_gun_robbery,unfound_knife_robbery,unfound_other_weapon_robbery,unfound_strong_arm_robbery,unfound_assault_total,unfound_aggravated_assault,unfound_gun_assault,unfound_knife_assault,unfound_other_weapon_assault,unfound_hand_feet_assault,unfound_simple_assault,unfound_burglary_total,unfound_burg_force_entry,unfound_burg_no_force_entry,unfound_attempted_burglary,unfound_theft_total,unfound_mtr_vhc_theft_total,unfound_auto_theft,unfound_truck_bus_theft,unfound_other_vhc_theft,unfound_all_fields
Sp: Barren County,1971,Kentucky,0,KY005SP,0,0,0,0,0,1,1,0,3,1,0,0,2,4,4,0,2,0,2,0,7,6,1,0,6,3,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1972,Kentucky,0,KY005SP,0,0,0,0,2,0,0,0,3,3,0,0,0,2,2,1,0,0,1,0,2,2,0,0,2,4,4,0,0,15,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1973,Kentucky,0,KY005SP,0,0,0,2,2,0,0,0,3,3,0,0,0,5,5,4,0,0,1,0,21,18,3,0,6,1,1,0,0,40,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,3,0,2,0,0,0,0,0,1,0,0,0,8,2,7,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1974,Kentucky,0,KY005SP,0,0,0,2,0,1,1,0,3,3,0,0,0,7,7,2,1,1,3,0,18,13,5,0,6,4,1,1,2,41,2,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,6,0,6,0,1,0,1,0,1,0,3,0,0,0,3,1,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1975,Kentucky,0,KY005SP,0,0,0,0,0,0,0,0,2,2,0,0,0,17,5,4,0,1,0,12,31,26,5,0,9,8,8,0,0,67,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,16,0,5,0,4,0,0,0,1,0,0,0,11,0,3,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1976,Kentucky,0,KY005SP,0,0,2,1,1,1,1,0,0,0,0,0,0,12,6,5,0,1,0,6,23,20,3,0,14,3,3,0,0,55,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,4,0,0,0,0,0,0,0,6,0,5,4,3,3,2,1,0,0,1,1,1,1,1,1,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1977,Kentucky,0,KY005SP,0,0,1,1,0,1,1,0,4,2,1,0,1,10,6,1,0,5,0,4,17,16,1,0,10,2,2,0,0,45,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,10,1,6,1,1,0,0,0,5,1,0,0,4,0,2,1,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1978,Kentucky,0,KY005SP,0,0,1,1,0,1,1,0,1,0,1,0,0,13,10,2,2,6,0,3,14,12,2,0,12,4,4,0,0,46,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,4,0,3,0,2,0,0,0,1,0,0,0,1,0,2,1,1,0,1,1,0,0,2,1,3,2,3,2,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1979,Kentucky,0,KY005SP,NA,NA,NA,0,0,0,0,0,2,1,1,0,0,9,9,5,0,2,2,0,23,14,9,0,11,9,5,3,1,54,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,6,0,6,0,2,0,0,0,2,0,2,0,0,0,6,0,2,0,4,0,0,0,6,1,6,2,4,1,2,1,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1980,Kentucky,0,KY005SP,0,0,0,1,0,0,0,0,2,1,0,0,1,5,4,0,0,4,0,1,22,19,3,0,14,5,3,1,1,49,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1981,Kentucky,0,KY005SP,0,0,0,3,0,0,0,0,3,3,0,0,0,5,4,1,0,3,0,1,18,14,3,1,11,4,3,0,1,44,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,2,0,0,0,1,0,3,2,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1982,Kentucky,0,KY005SP,0,0,0,1,0,0,0,0,2,1,1,0,0,9,8,3,0,1,4,1,11,11,0,0,23,8,4,2,2,54,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,0,6,0,2,0,0,0,0,0,4,0,1,0,2,1,2,1,0,0,0,0,5,0,1,0,1,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1983,Kentucky,0,KY005SP,0,0,2,3,0,0,0,0,1,1,0,0,0,8,8,0,0,2,6,0,19,17,2,0,30,4,2,2,0,65,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,1,0,4,0,0,0,3,0,2,0,1,0,0,0,2,0,2,0,2,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1984,Kentucky,0,KY005SP,0,0,0,2,0,1,1,0,2,0,2,0,0,8,8,0,1,6,1,0,12,11,1,0,29,2,1,0,1,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,3,1,3,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1985,Kentucky,0,KY005SP,0,0,2,1,0,0,0,0,0,0,0,0,0,4,4,3,0,0,1,0,9,7,2,0,20,4,1,3,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Sp: Barren County,1986,Kentucky,0,KY005SP,0,0,2,0,0,0,0,0,0,0,0,0,0,12,12,3,1,4,4,0,12,10,2,0,15,4,4,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,3,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1989,Kentucky,0,KY005SP,0,0,0,1,1,0,0,0,1,0,0,0,1,20,11,2,0,3,6,9,47,31,16,0,23,4,3,0,1,97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12,0,7,0,2,0,0,0,2,0,3,0,5,0,6,1,5,1,1,0,0,0,3,0,3,1,2,1,0,0,1,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1990,Kentucky,NA,KY005SP,0,0,1,4,0,3,3,0,1,0,0,0,0,22,16,4,1,3,8,6,18,9,3,0,14,2,1,0,0,64,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,6,0,2,0,1,0,0,0,3,0,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1991,Kentucky,0,KY005SP,0,0,0,1,0,1,1,0,1,1,0,0,0,12,11,4,0,0,7,1,25,22,3,0,13,3,2,1,0,56,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9,0,8,0,2,0,0,0,0,0,6,0,1,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1992,Kentucky,0,KY005SP,0,0,0,2,0,1,1,0,1,1,0,0,0,17,15,3,0,4,8,2,17,12,4,1,14,3,2,1,0,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,2,0,0,0,4,0,8,0,1,0,1,0,1,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1993,Kentucky,0,KY005SP,0,0,1,2,1,0,0,0,0,0,0,0,0,17,6,2,0,1,3,11,21,18,3,0,14,3,2,1,0,58,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,6,0,2,0,0,0,1,0,3,0,9,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Barren County,1994,Kentucky,0,KY005SP,0,0,2,0,0,0,0,0,2,1,0,0,1,26,21,2,1,6,12,5,22,15,6,1,14,3,2,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,13,0,0,0,1,0,2,0,10,0,3,1,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Sp: Barren County,1995,Kentucky,0,KY005SP,0,0,2,0,0,3,3,0,1,1,0,0,0,28,1,1,0,0,0,27,20,15,5,0,9,7,6,1,0,68,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,19,1,3,0,2,0,1,0,0,0,3,1,4,0,3,0,1,0,0,0,31,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
