agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,tot_clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,tot_clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,tot_clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,tot_clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,tot_clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,tot_clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,tot_clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,tot_clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,tot_clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,tot_clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,tot_clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,tot_clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,tot_clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,tot_clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,tot_clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,tot_clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,tot_clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,tot_clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,tot_clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,tot_clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,tot_clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,tot_clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,tot_clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,tot_clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,tot_clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,tot_clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Flint Township Police Department,2017,Michigan,30284,MI25399,2490,1231,100,0,198,130,10,0,834,588,36,0,53,28,6,0,35,31,3,0,61,36,1,0,636,458,26,0,49,35,0,0,230,34,9,0,20,2,0,0,191,30,8,0,19,2,1,0,95,10,2,0,0,0,0,0,3,3,1,0,0,0,0,37,17,5,0,1,0,0,0,36,17,5,0,68,27,0,0,21,7,0,0,3,0,0,0,3,2,0,0,41,18,0,0,1223,552,47,0,90,10,2,0,1,0,0,0,4,0,0,0
Flint Township Police Department,2016,Michigan,30460,MI25399,2406,1068,162,0,206,113,21,0,662,393,33,0,53,22,13,0,39,28,3,0,79,40,5,0,456,280,12,0,35,23,0,0,374,25,2,0,17,2,0,0,333,19,2,0,24,4,0,0,103,11,3,0,0,0,0,0,0,0,0,0,0,0,0,25,5,1,0,1,0,0,0,24,5,1,0,63,23,5,0,17,4,0,0,7,3,1,0,5,0,0,0,34,16,4,0,1179,611,118,0,98,10,3,0,2,1,0,0,3,0,0,0
Flint Township Police Department,2015,Michigan,30654,MI25399,2504,897,117,0,129,70,5,0,685,273,21,0,23,15,0,0,34,22,5,0,55,24,0,0,556,203,16,0,17,9,0,0,298,19,2,0,21,2,0,0,253,16,2,0,24,1,0,0,80,7,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,2,0,0,0,29,4,0,0,62,16,1,0,24,3,0,0,2,1,0,0,4,2,1,0,32,10,0,0,1348,578,93,0,58,3,0,0,19,4,0,0,3,0,0,0
Flint Township Police Department,2014,Michigan,30898,MI25399,2472,1170,132,0,134,100,8,0,614,373,29,0,29,15,0,0,32,28,5,0,49,39,3,0,480,273,21,0,24,18,0,0,331,63,2,0,20,3,1,0,308,60,1,0,3,0,0,0,77,12,2,0,0,0,0,0,1,1,0,0,0,0,0,18,2,0,0,1,0,0,0,17,2,0,0,82,38,4,0,26,6,0,0,5,3,1,0,13,5,0,0,38,24,3,0,1349,681,95,0,63,12,2,0,12,0,0,0,2,0,0,0
Flint Township Police Department,2013,Michigan,31182,MI25399,2874,1271,133,0,193,134,7,0,752,549,33,0,44,25,3,0,40,34,2,0,83,60,2,0,559,415,26,0,26,15,0,0,564,33,7,0,36,5,1,0,518,27,6,0,10,1,0,0,93,12,2,0,0,0,0,0,0,0,0,0,0,0,0,29,7,1,0,3,0,0,0,26,7,1,0,114,46,5,0,37,10,1,0,7,1,0,0,6,1,0,0,64,34,4,0,1322,624,85,0,81,11,1,0,10,1,1,0,2,0,0,0
Flint Township Police Department,2012,Michigan,31677,MI25399,3077,1289,117,0,153,98,7,0,768,488,46,0,53,32,2,0,30,20,0,0,54,38,3,0,615,390,39,0,16,8,2,0,641,169,7,0,12,1,0,0,623,168,7,0,6,0,0,0,122,14,2,0,0,0,0,0,1,1,0,0,0,0,0,24,7,1,0,2,1,0,0,22,6,1,0,127,37,2,0,64,8,1,0,3,2,0,0,9,2,0,0,51,25,1,0,1394,573,59,0,94,8,2,0,28,6,0,0,0,0,0,0
Flint Township Police Department,2011,Michigan,31905,MI25399,3171,1079,122,0,175,97,7,0,915,419,31,0,46,20,0,0,35,26,2,0,69,33,5,0,740,322,24,0,25,18,0,0,525,56,2,0,17,2,0,0,498,53,2,0,10,1,0,0,142,5,0,0,0,0,0,0,7,6,0,0,0,0,0,20,5,0,0,0,0,0,0,20,5,0,0,114,36,4,0,50,9,1,0,3,2,0,0,2,1,0,0,59,24,3,0,1448,552,85,0,127,5,0,0,14,0,0,0,1,0,0,0
Flint Township Police Department,2010,Michigan,31929,MI25399,3198,1020,187,0,138,43,5,0,904,298,38,0,30,4,3,0,23,8,0,0,62,19,2,0,766,255,33,0,23,12,0,0,502,46,7,0,97,14,2,0,390,32,5,0,15,0,0,0,118,3,0,0,0,0,0,0,2,1,0,0,0,0,0,25,0,0,0,2,0,0,0,23,0,0,0,102,23,2,0,56,10,1,0,7,2,0,0,2,0,0,0,37,11,1,0,1545,649,140,0,113,2,0,0,1,1,0,0,4,0,0,0
Flint Township Police Department,2009,Michigan,31391,MI25399,3231,887,171,0,115,15,2,0,970,299,34,0,24,2,0,0,31,6,2,0,45,4,0,0,855,284,32,0,15,3,0,0,454,27,0,0,122,8,0,0,324,17,0,0,8,2,0,0,115,5,2,0,0,0,0,0,2,0,0,0,0,0,0,19,1,0,0,0,0,0,0,19,1,0,0,80,17,4,0,38,9,2,0,1,1,0,0,5,1,0,0,36,6,2,0,1591,538,131,0,112,5,2,0,0,0,0,0,3,0,0,0
Flint Township Police Department,2008,Michigan,31920,MI25399,2888,745,165,0,80,12,3,0,749,227,26,0,23,0,0,0,27,6,3,0,22,3,0,0,669,215,23,0,8,3,0,0,427,35,7,0,139,12,0,0,280,21,7,0,8,2,0,0,192,8,2,0,0,0,0,0,1,1,0,0,0,0,0,17,2,0,0,0,0,0,0,17,2,0,0,82,6,2,0,42,3,1,0,8,2,1,0,4,0,0,0,28,1,0,0,1420,466,128,0,183,8,2,0,4,0,0,0,5,0,0,0
Flint Township Police Department,2007,Michigan,32626,MI25399,2993,749,153,0,94,16,3,0,753,228,19,0,22,2,0,0,23,5,3,0,36,3,0,0,659,212,16,0,13,6,0,0,471,27,4,0,139,8,0,0,328,18,4,0,4,1,0,0,204,6,1,0,0,0,0,0,3,3,0,0,0,0,0,19,4,0,0,0,0,0,0,19,4,0,0,72,13,1,0,28,1,0,0,4,1,0,0,6,1,0,0,34,10,1,0,1471,468,128,0,195,6,1,0,0,0,0,0,9,0,0,0
Flint Township Police Department,2006,Michigan,32941,MI25399,2693,649,193,0,83,22,2,0,665,216,30,0,21,5,0,0,18,5,0,0,23,2,0,0,582,194,28,0,21,10,2,0,402,25,6,0,119,11,1,0,238,11,3,0,45,3,2,0,193,10,3,0,0,0,0,0,2,1,0,0,0,0,0,22,2,1,0,0,0,0,0,22,2,1,0,67,12,3,0,30,2,0,0,6,2,0,0,5,1,0,0,26,7,3,0,1342,383,150,0,185,10,3,0,3,0,0,0,5,0,0,0
Flint Township Police Department,2005,Michigan,33292,MI25399,3033,738,182,0,84,13,0,0,645,238,20,0,14,0,0,0,30,5,0,0,39,8,0,0,561,225,20,0,1,0,0,0,382,20,1,0,102,10,1,0,256,10,0,0,24,0,0,0,287,4,1,0,0,0,0,0,2,1,0,0,0,0,0,24,0,0,0,1,0,0,0,23,0,0,0,66,9,0,0,33,2,0,0,5,2,0,0,3,1,0,0,25,4,0,0,1627,466,160,0,276,3,0,0,4,1,1,0,7,0,0,0
Flint Township Police Department,2004,Michigan,33418,MI25399,3261,826,198,0,132,20,1,0,811,274,33,0,31,3,0,0,42,8,0,0,50,7,0,0,679,254,32,0,9,2,1,0,484,24,0,0,98,8,0,0,350,15,0,0,36,1,0,0,221,11,2,0,0,0,0,0,4,2,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,91,12,0,0,45,6,0,0,3,0,0,0,13,1,0,0,30,5,0,0,1631,503,163,0,201,11,2,0,13,0,0,0,7,0,0,0
Flint Township Police Department,2003,Michigan,33586,MI25399,3348,906,250,0,103,24,4,0,847,295,39,0,15,1,0,0,24,6,1,0,56,13,1,0,744,271,35,0,8,4,2,0,414,42,10,0,119,27,3,0,253,14,7,0,42,1,0,0,223,7,2,0,1,0,0,0,1,0,0,0,0,0,0,18,1,0,0,0,0,0,0,18,1,0,0,65,8,1,0,34,5,1,0,4,0,0,0,3,1,0,0,24,2,0,0,1779,553,198,0,211,7,2,0,4,0,0,0,8,0,0,0
Flint Township Police Department,2002,Michigan,34071,MI25399,3333,775,258,0,114,27,3,0,784,246,36,0,30,9,1,0,26,6,0,0,42,4,0,0,670,219,33,0,16,8,2,0,391,17,8,0,98,9,5,0,247,7,3,0,46,1,0,0,265,11,5,0,0,0,0,0,5,1,0,0,0,0,0,21,3,1,0,0,0,0,0,21,3,1,0,70,15,0,0,22,5,0,0,5,0,0,0,14,3,0,0,29,7,0,0,1797,482,208,0,258,11,5,0,3,0,0,0,4,0,0,0
Flint Township Police Department,2001,Michigan,33869,MI25399,3567,749,187,0,135,21,1,0,806,253,22,0,27,3,0,0,35,9,1,0,54,5,0,0,671,232,21,0,19,4,0,0,314,6,1,0,79,2,0,0,186,3,1,0,49,1,0,0,345,6,2,0,0,0,0,0,1,0,0,0,0,0,0,22,6,1,0,0,0,0,0,22,6,1,0,78,10,2,0,39,3,1,0,6,2,0,0,6,2,0,0,27,3,1,0,2001,468,159,0,336,5,2,0,3,0,0,0,6,1,0,0
Flint Township Police Department,2e3,Michigan,33691,MI25399,3393,764,226,0,123,31,3,0,702,282,25,0,22,8,0,0,35,16,2,0,59,7,1,0,579,251,22,0,7,0,0,0,311,26,8,0,54,6,1,0,223,18,6,0,34,2,1,0,372,8,4,0,0,0,0,0,5,2,0,0,0,0,0,9,1,0,0,0,0,0,0,9,1,0,0,77,10,0,0,35,3,0,0,6,2,0,0,5,0,0,0,31,5,0,0,1917,435,189,0,366,8,4,0,2,0,0,0,4,0,0,0
Flint Township Police Department,1999,Michigan,33787,MI25399,3636,833,263,0,90,29,4,0,627,225,17,0,18,4,1,0,19,7,1,0,35,10,2,0,537,196,13,0,18,8,0,0,356,15,5,0,21,0,0,0,298,15,5,0,37,0,0,0,405,15,5,0,0,0,0,0,1,0,0,0,0,0,0,21,5,0,0,0,0,0,0,21,5,0,0,72,5,1,0,40,1,0,0,2,0,0,0,4,0,0,0,26,4,1,0,2154,568,235,0,401,15,5,0,3,0,0,0,1,0,0,0
Flint Township Police Department,1998,Michigan,34082,MI25399,3879,977,299,0,79,24,4,0,694,274,15,0,20,6,1,0,14,7,0,0,23,5,2,0,615,250,11,0,22,6,1,0,364,12,5,0,16,0,0,0,330,12,5,0,18,0,0,0,443,9,2,0,0,0,0,0,2,2,0,0,0,0,0,30,1,0,0,0,0,0,0,30,1,0,0,70,13,0,0,14,1,0,0,3,2,0,0,14,2,0,0,39,8,0,0,2276,666,277,0,440,9,2,0,1,0,0,0,2,0,0,0
Flint Township Police Department,1997,Michigan,35845,MI25399,3609,957,245,0,91,32,2,0,727,275,16,0,13,4,0,0,14,7,0,0,32,12,0,0,636,243,14,0,32,9,2,0,346,15,1,0,11,0,0,0,324,13,1,0,11,2,0,0,470,8,2,0,0,0,0,0,0,0,0,0,0,0,0,20,2,1,0,0,0,0,0,20,2,1,0,68,9,1,0,28,5,0,0,5,0,0,0,10,0,0,0,25,4,1,0,1978,648,224,0,461,8,2,0,3,0,0,0,6,0,0,0
Flint Township Police Department,1996,Michigan,35185,MI25399,2849,852,280,0,67,28,4,0,517,227,14,0,14,4,2,0,16,7,0,0,27,13,0,0,450,199,10,0,10,4,2,0,275,12,7,0,22,0,0,0,246,12,7,0,7,0,0,0,332,6,3,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,9,1,0,0,39,8,2,0,16,2,0,0,2,0,0,0,8,2,0,0,13,4,2,0,1676,598,254,0,324,6,3,0,5,0,0,0,3,0,0,0
Flint Township Police Department,1995,Michigan,35021,MI25399,2580,518,149,0,59,17,4,0,474,161,8,0,10,3,0,0,14,6,2,0,29,7,2,0,415,144,4,0,6,1,0,0,250,5,0,0,19,0,0,0,212,5,0,0,19,0,0,0,244,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,3,0,0,0,29,3,1,0,16,1,0,0,2,0,0,0,9,1,0,0,2,1,1,0,1579,347,138,0,235,2,2,0,6,0,0,0,3,0,0,0
Flint Township Police Department,1994,Michigan,34827,MI25399,3659,836,291,6,119,32,4,0,565,161,13,1,8,9,1,0,13,4,0,0,64,5,0,0,446,129,9,1,34,14,3,0,316,12,1,0,27,0,0,0,269,11,1,0,20,1,0,0,313,7,3,5,1,0,0,0,1,0,0,0,0,0,0,20,1,0,0,1,0,0,0,19,1,0,0,88,10,3,0,35,3,0,0,4,1,0,0,31,5,2,0,18,1,1,0,2355,645,271,0,276,7,3,5,10,0,0,0,27,0,0,0
Flint Township Police Department,1993,Michigan,34761,MI25399,3103,637,154,4,107,42,8,0,482,141,17,0,20,7,3,0,15,12,2,0,51,13,2,0,375,99,9,0,21,10,1,0,247,15,4,0,24,1,0,0,205,12,4,0,18,2,0,0,216,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,5,1,0,19,1,0,0,1,0,0,0,20,2,1,0,13,2,0,0,2088,467,127,0,194,5,3,4,12,0,0,0,10,0,0,0
Flint Township Police Department,1992,Michigan,34600,MI25399,3216,529,95,3,117,37,12,0,389,129,18,0,24,12,4,0,11,2,1,0,53,13,5,0,272,92,6,0,29,10,2,0,341,15,1,1,38,0,0,0,282,13,1,1,21,2,0,0,236,5,1,1,1,1,0,0,0,0,0,0,0,0,0,28,3,0,0,6,0,0,0,22,3,0,0,62,12,2,0,26,5,1,0,6,2,1,0,21,5,0,0,9,0,0,0,2159,364,73,1,206,3,1,1,11,0,0,0,19,2,0,0
Flint Township Police Department,1991,Michigan,34347,MI25399,3070,496,90,1,106,36,0,0,364,112,8,0,12,4,0,0,11,7,0,0,54,18,0,0,258,76,8,0,29,7,0,0,440,16,2,0,51,1,0,0,357,12,2,0,32,3,0,0,200,12,4,0,0,0,0,0,1,0,0,0,0,0,0,27,5,1,0,2,0,0,0,25,5,1,0,64,8,0,1,21,3,0,1,4,1,0,0,28,3,0,0,11,1,0,0,1974,343,75,0,170,12,4,0,6,0,0,0,24,0,0,0
Flint Township Police Department,1990,Michigan,34081,MI25399,3016,541,107,1,98,36,2,0,417,146,5,0,10,1,0,0,9,5,1,0,48,16,1,0,319,110,3,0,31,14,0,0,369,27,5,0,26,2,0,0,309,21,4,0,34,4,1,0,269,16,4,0,0,0,0,0,1,0,0,0,0,0,0,17,2,1,0,0,0,0,0,17,2,1,0,70,8,0,1,16,3,0,1,8,2,0,0,35,3,0,0,11,0,0,0,1873,342,92,0,240,16,4,0,7,0,0,0,22,0,0,0
Flint Township Police Department,1989,Michigan,32928,MI25399,2729,417,151,3,78,18,6,0,248,49,9,0,11,2,0,0,4,2,1,0,45,9,3,0,170,31,3,0,18,5,2,0,360,14,3,1,38,0,0,0,291,14,3,1,31,0,0,0,252,9,6,1,0,0,0,0,0,1,0,0,0,0,0,21,7,3,0,0,0,0,0,21,7,3,0,76,13,2,1,25,1,0,0,7,2,0,0,40,9,2,1,4,1,0,0,1772,324,128,0,221,7,4,1,8,2,2,0,23,0,0,0
