agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Grand Traverse County Sheriff's Office,2023,Michigan,81824,MI28128,0,0,0,0,1,35,35,0,1,0,0,0,1,750,14,14,24,41,657,41,31,10,0,311,22,22,0,0,1161,0,93,129,374,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2022,Michigan,81137,MI28128,0,0,0,0,1,65,64,1,3,0,0,0,3,865,19,11,30,52,753,57,45,12,0,332,31,25,1,5,1354,0,112,180,420,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2021,Michigan,79332,MI28128,0,0,0,2,1,49,49,0,1,0,0,0,1,847,18,26,16,80,707,33,23,10,0,352,20,18,2,0,1305,0,140,192,405,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2020,Michigan,77813,MI28128,0,0,0,0,0,32,32,0,3,1,0,0,2,681,2,16,16,65,582,76,66,10,0,353,21,21,0,0,1166,0,99,134,450,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2019,Michigan,77482,MI28128,0,0,0,2,0,57,57,0,4,0,0,1,3,597,12,5,14,51,515,65,53,12,0,430,15,15,0,0,1170,0,82,145,510,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2018,Michigan,77264,MI28128,0,0,0,1,0,36,36,0,3,0,0,1,2,623,8,23,17,46,529,51,34,17,0,425,18,16,1,1,1157,0,94,134,494,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2017,Michigan,77763,MI28128,0,0,0,2,1,40,40,0,4,0,0,0,4,700,12,22,13,50,603,103,76,27,0,465,30,29,0,1,1345,0,97,143,598,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2016,Michigan,77420,MI28128,0,0,0,2,0,37,37,0,5,2,2,0,1,646,9,17,20,39,561,102,66,36,0,469,33,28,4,1,1294,0,85,129,604,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2015,Michigan,76848,MI28128,0,0,0,0,0,46,44,2,1,0,0,0,1,685,8,14,30,72,561,122,87,31,4,548,20,16,3,1,1422,0,124,171,690,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2014,Michigan,75917,MI28128,0,0,0,1,0,39,39,0,2,0,0,1,1,546,8,12,21,50,455,93,69,24,0,550,19,16,1,2,1250,0,91,133,662,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2013,Michigan,75107,MI28128,0,0,0,0,0,34,34,0,1,0,0,0,1,515,8,10,27,24,446,95,62,31,2,550,21,14,4,3,1216,0,69,104,666,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2012,Michigan,73698,MI28128,0,0,0,0,0,36,35,1,8,1,2,3,2,632,6,16,25,15,570,194,148,42,4,622,33,28,2,3,1525,0,62,106,849,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2011,Michigan,72449,MI28128,0,0,0,0,0,26,26,0,3,0,0,0,3,557,18,13,16,20,490,130,76,43,11,607,16,15,0,1,1339,0,67,96,753,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2010,Michigan,72504,MI28128,0,0,0,1,1,17,17,0,8,3,1,1,3,610,5,9,20,10,566,120,66,37,17,621,23,16,1,6,1401,0,44,70,764,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2009,Michigan,72424,MI28128,0,0,0,0,0,47,46,1,3,2,0,0,1,648,7,10,33,24,574,185,103,62,20,759,36,30,0,6,1678,0,74,124,980,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2008,Michigan,71569,MI28128,0,0,0,1,0,29,29,0,9,2,0,4,3,732,5,14,14,20,679,179,112,52,15,770,37,25,3,9,1757,0,53,92,986,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2007,Michigan,71323,MI28128,0,0,0,1,0,29,29,0,5,1,0,0,4,852,6,10,41,27,768,199,134,45,20,787,40,34,1,5,1913,0,84,119,1026,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2006,Michigan,69433,MI28128,0,0,0,0,0,28,28,0,2,1,0,0,1,754,6,7,34,22,685,275,216,59,0,750,36,32,1,3,1845,0,69,99,1061,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2005,Michigan,68449,MI28128,0,0,0,0,0,35,35,0,2,1,0,0,1,740,10,13,36,24,657,195,134,59,2,816,30,25,1,4,1818,0,83,120,1041,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2004,Michigan,67914,MI28128,0,0,0,0,0,38,38,0,5,2,0,2,1,768,6,16,24,21,701,203,152,50,1,753,40,35,2,3,1807,0,67,110,996,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2003,Michigan,67140,MI28128,0,0,0,0,0,27,27,0,6,3,0,1,2,771,4,13,18,18,718,189,128,61,0,887,46,34,3,9,1926,0,53,86,1122,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2002,Michigan,63984,MI28128,0,0,0,2,0,20,20,0,2,0,1,0,1,786,16,18,32,13,707,209,165,43,1,990,48,39,3,6,2057,0,79,103,1247,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2001,Michigan,63604,MI28128,0,0,0,1,0,23,22,1,3,1,0,0,2,735,4,14,30,16,671,207,163,42,2,1069,66,55,10,1,2104,0,64,91,1342,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Traverse County Sheriff's Office,2000,Michigan,63271,MI28128,0,0,0,0,0,20,20,0,4,1,1,1,1,664,4,10,23,14,613,206,156,47,3,977,58,37,10,11,1929,0,51,75,1241,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
