agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Caruthersville Police Department,2023,Missouri,5178,MO07801,0,0,0,0,0,1,1,0,4,1,0,0,3,160,6,4,19,15,116,30,9,21,0,68,8,7,0,1,271,0,44,49,106,155,0,0,0,0,0,2,1,0,0,1,68,5,2,12,6,43,9,2,7,0,16,3,1,1,1,98,0,25,27,28,55,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caruthersville Police Department,2022,Missouri,5288,MO07801,0,0,0,2,0,1,1,0,7,4,1,0,2,276,13,5,21,18,219,65,16,38,11,150,22,20,1,1,523,0,57,67,237,304,1,0,1,1,0,4,3,1,0,0,146,8,5,10,8,115,19,3,13,3,23,9,9,0,0,203,0,31,37,51,88,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,2,1,1,0,2,1,1,0,0,17,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caruthersville Police Department,2021,Missouri,5212,MO07801,0,0,0,1,0,6,6,0,9,3,1,1,4,319,25,11,14,9,260,58,25,27,6,117,21,20,0,1,531,0,59,75,196,271,0,0,0,0,0,1,1,0,0,0,135,9,3,8,2,113,12,6,6,0,16,9,9,0,0,173,0,22,23,37,60,0,0,0,0,0,0,0,0,0,0,17,1,2,0,2,12,2,1,1,0,2,1,1,0,0,22,0,5,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caruthersville Police Department,2020,Missouri,5268,MO07801,0,0,0,2,0,4,4,0,3,0,1,0,2,57,7,6,13,25,6,48,28,14,6,83,16,12,0,4,213,0,51,60,147,207,2,0,1,1,0,0,0,0,0,0,28,5,2,6,13,2,9,4,3,2,11,11,8,0,3,62,0,26,29,31,60,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,5,0,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caruthersville Police Department,2019,Missouri,5451,MO07801,0,0,0,0,0,5,4,1,5,2,1,0,2,62,6,3,12,34,7,78,43,32,3,129,14,9,0,5,293,0,55,65,221,286,0,0,1,1,0,1,0,0,0,1,24,3,2,4,13,2,12,6,6,0,12,5,2,0,3,55,0,22,24,29,53,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caruthersville Police Department,2018,Missouri,5640,MO07801,0,0,0,2,0,3,3,0,8,5,0,0,3,73,10,2,15,30,16,82,45,27,10,177,11,8,0,3,356,0,57,70,270,340,1,0,0,0,0,0,0,0,0,0,24,2,1,6,12,3,12,7,4,1,21,1,1,0,0,59,0,21,22,34,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caruthersville Police Department,2017,Missouri,5745,MO07801,0,0,0,1,0,2,2,0,8,2,0,0,6,81,8,8,17,37,11,99,59,27,13,179,16,13,0,3,386,0,70,81,294,375,1,0,0,0,0,0,0,0,0,0,19,3,5,3,7,1,8,8,0,0,22,2,1,0,1,52,0,18,19,32,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
Caruthersville Police Department,2016,Missouri,5887,MO07801,0,0,0,0,0,4,3,1,6,3,0,0,3,87,3,4,20,46,14,94,44,38,12,153,13,8,2,3,357,0,73,83,260,343,0,0,0,0,0,4,1,0,0,3,10,0,1,3,5,1,4,4,0,0,26,7,4,2,1,51,0,9,13,37,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,1,1,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
Caruthersville Police Department,2015,Missouri,5931,MO07801,0,0,0,0,0,3,3,0,14,2,1,1,10,83,5,9,18,35,16,94,41,43,10,116,11,7,3,1,321,0,67,84,221,305,0,0,1,1,0,0,0,0,0,0,17,2,2,4,6,3,10,6,1,3,17,3,2,1,0,48,0,14,15,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,2
Caruthersville Police Department,2014,Missouri,6003,MO07801,0,0,0,1,0,8,8,0,7,1,0,0,6,102,4,11,13,38,36,100,58,32,10,128,14,11,1,2,360,0,66,82,242,324,1,0,2,2,0,1,0,0,0,1,16,0,2,1,5,8,18,9,6,3,20,6,6,0,0,64,0,8,12,44,56,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
