agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
St. Charles Police Department,2023,Missouri,71408,MO09203,0,0,0,2,1,18,18,0,13,8,1,0,4,619,36,19,36,24,504,86,29,54,3,492,110,81,16,13,1341,0,115,148,688,836,1,1,7,7,0,10,6,1,0,3,505,22,17,24,21,421,35,9,25,1,159,46,30,11,5,764,0,84,102,240,342,1,0,0,0,0,1,1,0,0,0,35,1,1,2,0,31,4,0,4,0,17,14,13,1,0,72,0,4,6,35,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Charles Police Department,2022,Missouri,71079,MO09203,0,0,0,1,0,17,17,0,20,8,4,0,8,736,38,12,45,19,622,198,82,105,11,885,171,98,42,31,2028,0,114,152,1254,1406,1,0,6,6,0,16,6,3,0,7,590,24,11,30,15,510,119,58,53,8,261,67,47,14,6,1060,0,80,103,447,550,0,0,1,1,0,3,2,0,0,1,35,5,0,0,0,30,5,2,3,0,29,10,7,1,2,83,0,5,9,44,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Charles Police Department,2021,Missouri,72323,MO09203,0,0,0,0,0,23,22,1,30,17,1,2,10,739,53,19,47,24,596,127,44,78,5,1046,189,118,40,31,2154,0,143,196,1362,1558,0,0,9,8,1,18,12,1,0,5,585,40,14,38,17,476,30,16,12,2,267,63,44,12,7,972,0,109,136,360,496,0,0,0,0,0,2,2,0,0,0,51,0,2,2,1,46,1,0,1,0,26,13,12,0,1,93,0,5,7,40,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Charles Police Department,2020,Missouri,71563,MO09203,0,0,0,3,0,20,20,0,27,17,1,4,5,598,58,17,37,31,455,146,61,75,10,1045,213,154,27,32,2052,0,143,193,1404,1597,3,0,12,12,0,10,6,0,3,1,395,40,13,16,13,313,27,11,16,0,217,59,43,8,8,723,0,82,107,303,410,0,0,4,4,0,1,1,0,0,0,28,4,1,1,0,22,1,0,1,0,12,6,5,1,0,52,0,6,11,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Charles Police Department,2019,Missouri,71341,MO09203,0,0,0,0,0,20,20,0,10,7,0,0,3,261,8,8,19,11,215,92,42,39,11,402,43,32,11,0,828,0,46,76,537,613,0,0,1,1,0,2,2,0,0,0,67,3,6,2,4,52,4,1,2,1,29,1,1,0,0,104,0,15,18,34,52,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,1,1,0,0,10,0,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Charles Police Department,2018,Missouri,70925,MO09203,0,0,0,7,0,34,34,0,19,11,2,1,5,712,31,16,22,19,624,134,17,99,18,1323,155,117,17,21,2384,0,88,148,1612,1760,0,0,1,1,0,0,0,0,0,0,45,0,3,2,0,40,1,1,0,0,20,8,8,0,0,75,0,5,6,29,35,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Charles Police Department,2017,Missouri,69804,MO09203,0,0,0,2,0,24,24,0,35,20,1,6,8,643,31,17,28,22,545,181,61,99,21,1457,133,86,16,31,2475,0,98,159,1771,1930,1,0,1,1,0,6,2,0,1,3,166,12,4,8,3,139,15,4,10,1,158,24,16,3,5,371,0,27,35,197,232,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4,2,1,1,0,2,1,1,0,0,10,0,1,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Charles Police Department,2016,Missouri,69364,MO09203,0,0,0,0,0,22,22,0,35,16,2,2,15,779,12,12,29,28,698,155,42,91,22,1479,129,94,10,25,2599,0,81,138,1763,1901,0,1,7,7,0,14,6,0,0,8,348,10,8,12,15,303,24,5,18,1,288,22,18,2,2,704,0,45,66,334,400,0,0,1,1,0,1,0,0,0,1,7,0,0,0,0,7,4,1,2,1,9,2,2,0,0,24,0,0,2,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Charles Police Department,2015,Missouri,68624,MO09203,0,0,0,1,1,20,20,0,32,13,1,4,14,703,15,15,28,15,630,192,42,124,26,1454,81,60,9,12,2484,0,73,126,1727,1853,1,0,3,3,0,15,6,0,2,7,351,13,9,16,11,302,32,7,25,0,350,20,20,0,0,772,0,49,68,402,470,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,16,1,1,0,0,27,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Charles Police Department,2014,Missouri,67970,MO09203,0,0,0,1,0,19,17,2,31,5,3,13,10,613,21,14,25,14,539,178,31,113,34,1456,78,58,4,16,2376,0,74,125,1712,1837,1,0,5,4,1,13,2,1,8,2,349,16,7,16,10,300,28,11,15,2,304,19,16,0,3,719,0,49,68,351,419,0,0,0,0,0,2,0,0,2,0,9,0,0,1,0,8,3,1,2,0,16,0,0,0,0,30,0,1,3,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
