agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
St. Clair County Sheriff's Office,2023,Missouri,7020,MO09300,0,0,0,0,0,4,4,0,0,0,0,0,0,60,2,0,3,3,52,25,17,7,1,33,11,9,1,1,133,0,8,12,69,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Clair County Sheriff's Office,2022,Missouri,6827,MO09300,0,0,0,0,0,3,3,0,0,0,0,0,0,55,0,1,0,4,50,5,5,0,0,24,6,6,0,0,93,0,5,8,35,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Clair County Sheriff's Office,2021,Missouri,7001,MO09300,0,0,0,0,0,7,6,1,0,0,0,0,0,96,6,2,3,10,75,20,13,7,0,41,11,7,4,0,175,0,21,28,72,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Clair County Sheriff's Office,2020,Missouri,6759,MO09300,0,0,0,0,0,3,2,1,0,0,0,0,0,39,6,0,5,11,17,70,39,30,1,38,25,20,2,3,175,0,22,25,133,158,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
St. Clair County Sheriff's Office,2019,Missouri,6752,MO09300,0,0,0,0,0,2,2,0,2,1,0,0,1,16,1,0,1,9,5,32,14,17,1,64,15,14,1,0,131,0,11,15,111,126,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,1,0,0,0,0,4,0,1,1,1,2
St. Clair County Sheriff's Office,2018,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,2017,Missouri,6624,MO09300,0,0,0,0,0,1,1,0,1,1,0,0,0,26,0,1,2,6,17,47,25,21,1,67,18,12,2,4,160,0,9,11,132,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Clair County Sheriff's Office,2016,Missouri,6739,MO09300,0,0,1,1,0,3,2,1,0,0,0,0,0,32,2,0,3,13,14,67,31,31,5,70,11,3,7,1,184,0,18,22,148,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Clair County Sheriff's Office,2015,Missouri,6758,MO09300,0,0,2,0,0,0,0,0,0,0,0,0,0,26,3,0,2,8,13,58,30,26,2,90,13,5,4,4,187,0,13,13,161,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Clair County Sheriff's Office,2014,Missouri,6790,MO09300,0,0,0,0,0,1,1,0,0,0,0,0,0,45,1,2,6,18,18,35,24,11,0,85,11,11,0,0,177,0,27,28,131,159,0,0,2,2,0,0,0,0,0,0,7,0,0,0,5,2,0,0,0,0,4,1,1,0,0,14,0,5,7,5,12
St. Clair County Sheriff's Office,2013,Missouri,6777,MO09300,0,0,0,0,0,2,2,0,0,0,0,0,0,25,0,1,2,14,8,33,19,13,1,49,10,8,0,2,119,0,17,19,92,111,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,1,0,1,0,1,0,0,0,0,7,0,2,2,2,4
St. Clair County Sheriff's Office,2012,Missouri,6982,MO09300,0,0,0,0,0,0,0,0,1,0,0,0,1,82,3,0,4,1,74,65,40,19,6,112,2,2,0,0,262,0,8,9,179,188,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,6,0,0,0,4,4
St. Clair County Sheriff's Office,2011,Missouri,7118,MO09300,0,0,0,1,0,1,1,0,1,0,1,0,0,70,1,0,2,0,67,48,30,17,1,120,0,0,0,0,241,0,3,6,168,174,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,4,4
St. Clair County Sheriff's Office,2010,Missouri,7091,MO09300,0,0,0,2,0,0,0,0,0,0,0,0,0,47,3,0,4,2,38,45,29,15,1,79,1,1,0,0,174,0,9,11,125,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
St. Clair County Sheriff's Office,2009,Missouri,6467,MO09300,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,3,6,74,52,29,22,1,68,0,0,0,0,203,0,9,9,120,129,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,2,1,1,0,6,1,1,0,0,12,0,2,2,9,11
St. Clair County Sheriff's Office,2008,Missouri,6574,MO09300,0,0,0,2,0,0,0,0,1,1,0,0,0,80,0,0,1,2,77,50,24,23,3,86,2,1,1,0,221,0,3,6,138,144,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,1,1,0,2,0,0,0,0,6,0,2,2,4,6
St. Clair County Sheriff's Office,2007,Missouri,6725,MO09300,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,1,4,52,60,42,17,1,96,0,0,0,0,213,0,5,5,156,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2
St. Clair County Sheriff's Office,2006,Missouri,6862,MO09300,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,1,9,4,44,38,26,10,2,92,0,0,0,0,188,0,14,14,130,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
St. Clair County Sheriff's Office,2005,Missouri,6784,MO09300,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2,0,6,4,61,84,59,21,4,116,0,0,0,0,273,0,12,12,200,212,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
St. Clair County Sheriff's Office,2004,Missouri,6882,MO09300,0,0,0,1,0,1,0,1,0,0,0,0,0,105,2,1,6,5,91,106,72,30,4,143,2,2,0,0,358,0,14,16,251,267,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
St. Clair County Sheriff's Office,2003,Missouri,7670,MO09300,0,0,0,0,0,0,0,0,2,1,0,0,1,97,4,0,7,1,85,78,49,26,3,113,4,3,0,1,294,0,12,14,195,209,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,9,0,0,0,0,3,2,0,2,0,15,0,1,1,5,6
St. Clair County Sheriff's Office,2002,Missouri,7608,MO09300,0,0,0,0,0,3,3,0,0,0,0,0,0,84,2,0,6,4,72,62,25,31,6,110,2,1,1,0,261,0,12,15,174,189,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
St. Clair County Sheriff's Office,2001,Missouri,9712,MO09300,0,0,0,2,0,6,6,0,1,1,0,0,0,49,2,1,1,21,24,42,24,18,0,80,5,3,1,1,185,0,25,34,127,161,0,0,0,0,0,0,0,0,0,0,9,1,0,0,5,3,3,3,0,0,7,0,0,0,0,19,0,6,6,10,16
St. Clair County Sheriff's Office,2000,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1999,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1998,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1997,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1996,Missouri,8864,MO09300,0,0,0,0,0,2,2,0,0,0,0,0,0,54,5,0,1,4,44,73,54,19,0,120,19,9,1,9,268,0,10,12,212,224,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,3,0,0,0,0,6,0,1,2,4,6
St. Clair County Sheriff's Office,1995,Missouri,8807,MO09300,0,0,0,2,0,2,2,0,1,1,0,0,0,64,10,2,3,23,26,56,47,6,3,111,12,9,0,3,248,0,38,43,179,222,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,1,2,0,2,0,4,2,2,0,0,12,0,3,3,8,11
St. Clair County Sheriff's Office,1994,Missouri,8653,MO09300,0,0,1,0,0,1,0,1,2,0,0,0,2,64,7,0,4,2,51,75,57,15,3,89,12,9,2,1,243,0,13,16,176,192,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,6,3,2,1,0,11,0,1,1,10,11
St. Clair County Sheriff's Office,1993,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1992,Missouri,8581,MO09300,0,0,0,0,0,0,0,0,0,0,0,0,0,44,5,1,3,35,0,77,68,9,0,88,10,6,2,2,219,0,44,44,175,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,0,0,0,3,3
St. Clair County Sheriff's Office,1991,Missouri,8524,MO09300,0,0,0,0,0,3,2,1,2,0,0,0,2,50,7,7,6,14,16,75,67,7,1,95,6,2,1,3,231,0,34,39,176,215,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,6,0,0,0,4,4
St. Clair County Sheriff's Office,1990,Missouri,8457,MO09300,0,0,0,0,0,1,1,0,1,0,1,0,0,46,4,0,2,0,40,104,76,25,3,95,6,5,0,1,253,0,6,8,205,213,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,10,2,2,0,0,14,0,0,0,12,12
St. Clair County Sheriff's Office,1989,Missouri,8428,MO09300,0,0,3,0,0,6,6,0,0,0,0,0,0,61,4,2,4,5,46,85,62,22,1,116,14,6,6,2,282,0,15,21,215,236,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,1,2,2,0,0,6,0,0,0,5,5
St. Clair County Sheriff's Office,1988,Missouri,8459,MO09300,0,0,3,0,0,1,1,0,0,0,0,0,0,36,6,1,0,3,26,78,46,32,0,117,7,7,0,0,239,0,10,11,202,213,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,6,3,3,0,0,13,0,0,0,11,11
St. Clair County Sheriff's Office,1987,Missouri,8461,MO09300,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,2,0,0,9,66,53,13,0,73,4,2,1,1,156,0,4,4,143,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,3,0,0,0,3,3
St. Clair County Sheriff's Office,1986,Missouri,8766,MO09300,0,0,0,0,0,1,1,0,1,1,0,0,0,21,3,0,1,6,11,72,51,21,0,93,9,4,3,2,197,0,10,12,174,186,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,5,0,0,1,4,5
St. Clair County Sheriff's Office,1985,Missouri,8737,MO09300,0,0,0,1,0,2,2,0,1,1,0,0,0,18,3,1,0,3,11,79,58,18,3,84,13,7,4,2,198,0,7,11,176,187,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,8,0,0,1,7,8
St. Clair County Sheriff's Office,1984,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1983,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1982,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1981,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1980,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1979,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1978,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1977,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1976,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1975,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1974,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1973,Missouri,8106,MO09300,0,0,0,0,0,2,2,0,0,0,0,0,0,9,3,0,4,1,1,30,29,0,1,35,1,1,0,0,76,2,8,10,66,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Clair County Sheriff's Office,1972,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1971,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1970,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1969,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1968,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1967,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1966,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1965,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1964,Missouri,,MO09300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair County Sheriff's Office,1963,Missouri,7725,MO09300,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,38,0,0,0,20,2,2,0,0,65,9,2,5,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
