agency,year,state,population,ORI,act_all_crimes,clr_18_all_crimes,clr_all_crimes,unfound_all_crimes,act_aggravated_assault,clr_18_aggravated_assault,clr_aggravated_assault,unfound_aggravated_assault,act_assault_total,clr_18_assault_total,clr_assault_total,unfound_assault_total,act_gun_assault,clr_18_gun_assault,clr_gun_assault,unfound_gun_assault,act_knife_assault,clr_18_knife_assault,clr_knife_assault,unfound_knife_assault,act_other_weapon_assault,clr_18_other_weapon_assault,clr_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,clr_18_simple_assault,clr_simple_assault,unfound_simple_assault,act_hand_feet_assault,clr_18_hand_feet_assault,clr_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,clr_18_burglary_total,clr_burglary_total,unfound_burglary_total,act_attempted_burglary,clr_18_attempted_burglary,clr_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,clr_18_burg_force_entry,clr_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,clr_18_burg_no_force_entry,clr_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,clr_18_manslaughter,clr_manslaughter,unfound_manslaughter,act_murder,clr_18_murder,clr_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,clr_18_rape_total,clr_rape_total,unfound_rape_total,act_attempted_rape,clr_18_attempted_rape,clr_attempted_rape,unfound_attempted_rape,act_force_rape,clr_18_force_rape,clr_force_rape,unfound_force_rape,act_robbery_total,clr_18_robbery_total,clr_robbery_total,unfound_robbery_total,act_gun_robbery,clr_18_gun_robbery,clr_gun_robbery,unfound_gun_robbery,act_knife_robbery,clr_18_knife_robbery,clr_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,clr_18_other_weapon_robbery,clr_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,clr_18_strong_arm_robbery,clr_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,clr_18_theft_total,clr_theft_total,unfound_theft_total,act_auto_theft,clr_18_auto_theft,clr_auto_theft,unfound_auto_theft,act_other_vhc_theft,clr_18_other_vhc_theft,clr_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,clr_18_truck_bus_theft,clr_truck_bus_theft,unfound_truck_bus_theft
Elizabeth Police,1960,New Jersey,107698,NJ02004,2556,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,4,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0
Elizabeth Police,1961,New Jersey,107698,NJ02004,3278,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,8,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1814,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0
Elizabeth Police,1962,New Jersey,107120,NJ02004,3664,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,15,0,0,0,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0
Elizabeth Police,1963,New Jersey,105757,NJ02004,4167,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,0,12,0,0,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2393,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0
Elizabeth Police,1964,New Jersey,113216,NJ02004,4371,314,737,0,212,9,165,0,212,9,165,0,14,0,4,0,93,2,68,0,68,6,60,0,638,64,633,0,37,1,33,0,1201,110,203,0,176,4,14,0,700,81,133,0,325,25,56,0,563,53,73,0,9,0,5,0,4,0,3,0,0,0,0,8,0,4,0,2,0,1,0,6,0,3,0,151,5,41,0,63,0,22,0,0,0,0,0,0,0,0,0,88,5,19,0,2223,137,243,0,563,53,73,0,0,0,0,0,0,0,0,0
Elizabeth Police,1965,New Jersey,116520,NJ02004,4308,306,751,0,247,26,155,0,247,26,155,0,21,0,9,0,122,9,70,0,51,10,39,0,524,76,508,0,53,7,37,0,1390,115,226,0,143,11,22,0,965,68,135,0,282,36,69,0,620,48,74,0,17,0,9,0,4,0,6,0,0,0,0,10,2,5,0,5,1,1,0,5,1,4,0,170,16,48,0,75,5,14,0,0,0,0,0,0,0,0,0,95,11,34,0,1850,99,228,0,620,48,74,0,0,0,0,0,0,0,0,0
Elizabeth Police,1966,New Jersey,110561,NJ02004,4761,255,696,0,318,15,151,0,318,15,151,0,24,0,2,0,129,8,77,0,66,4,42,0,732,63,686,0,99,3,30,0,1486,87,190,0,189,4,12,0,1047,56,119,0,250,27,59,0,650,52,97,0,6,0,4,0,8,0,2,0,0,0,0,26,2,19,0,12,0,7,0,14,2,12,0,153,6,33,0,71,2,12,0,0,0,0,0,0,0,0,0,82,4,21,0,2114,93,200,0,650,52,97,0,0,0,0,0,0,0,0,0
Elizabeth Police,1967,New Jersey,117058,NJ02004,5046,264,779,0,288,15,192,0,288,15,192,0,21,0,2,0,104,6,93,0,65,7,61,0,571,80,571,0,98,2,36,0,1514,85,164,0,222,8,18,0,1062,52,96,0,230,25,50,0,862,70,137,0,9,0,8,0,4,0,3,0,0,0,0,19,0,15,0,6,0,8,0,13,0,7,0,160,5,51,0,66,1,22,0,0,0,0,0,0,0,0,0,94,4,29,0,2190,89,209,0,862,70,137,0,0,0,0,0,0,0,0,0
Elizabeth Police,1968,New Jersey,116602,NJ02004,6149,271,726,0,318,21,141,0,318,21,141,0,34,2,7,0,107,11,68,0,72,5,31,0,631,77,565,0,105,3,35,0,1828,62,150,0,247,7,16,0,1379,41,101,0,202,14,33,0,1137,51,114,0,20,0,20,0,12,0,10,0,0,0,0,30,0,19,0,8,0,9,0,22,0,10,0,239,17,67,0,111,3,21,0,0,0,0,0,0,0,0,0,128,14,46,0,2565,120,205,0,1137,51,114,0,0,0,0,0,0,0,0,0
Elizabeth Police,1969,New Jersey,116953,NJ02004,6199,296,785,0,299,27,161,0,299,27,161,0,43,0,5,0,117,15,82,0,73,8,42,0,724,84,588,0,66,4,32,0,1882,93,201,0,292,14,32,0,1293,57,127,0,297,22,42,0,1324,53,119,0,9,0,9,0,7,1,5,0,0,0,0,38,2,17,0,12,0,5,0,26,2,12,0,192,14,61,0,101,4,30,0,0,0,0,0,0,0,0,0,91,10,31,0,2448,106,212,0,1324,53,119,0,0,0,0,0,0,0,0,0
