agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Elsinboro Twp Pd Salem,1984,New Jersey,1311,NJ01703,38,19,0,2,4,4,0,0,9,9,0,0,1,1,0,0,1,1,0,0,2,2,0,0,5,5,0,0,0,0,0,0,11,3,0,1,0,0,0,0,8,2,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elsinboro Twp Pd Salem,1985,New Jersey,1319,NJ01703,36,21,0,0,1,1,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Elsinboro Twp Pd Salem,1986,New Jersey,1323,NJ01703,41,24,1,1,8,8,0,0,20,18,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,10,0,0,7,7,0,0,7,2,1,0,0,0,0,0,3,0,0,0,4,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Elsinboro Twp Pd Salem,1987,New Jersey,1248,NJ01703,32,21,2,1,2,2,1,0,14,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,2,2,1,0,2,2,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Elsinboro Twp Pd Salem,1988,New Jersey,1248,NJ01703,17,11,2,0,0,0,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Elsinboro Twp Pd Salem,1989,New Jersey,1272,NJ01703,22,14,0,1,1,1,0,0,8,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,4,2,0,0,1,0,0,0,2,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Elsinboro Twp Pd Salem,1990,New Jersey,,NJ01703,27,15,1,0,2,2,0,0,12,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,8,0,0,1,1,0,0,5,3,1,0,1,0,0,0,2,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elsinboro Twp Pd Salem,1991,New Jersey,1174,NJ01703,26,5,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Elsinboro Twp Pd Salem,1992,New Jersey,1178,NJ01703,26,15,1,0,2,2,0,0,6,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,3,0,0,1,1,0,0,7,6,0,0,0,0,0,0,4,3,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Elsinboro Twp Pd Salem,1993,New Jersey,1186,NJ01703,38,17,7,0,1,1,0,0,9,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,4,1,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0
