agency,year,state,population,ORI,act_all_crimes,clr_18_all_crimes,clr_all_crimes,unfound_all_crimes,act_aggravated_assault,clr_18_aggravated_assault,clr_aggravated_assault,unfound_aggravated_assault,act_assault_total,clr_18_assault_total,clr_assault_total,unfound_assault_total,act_gun_assault,clr_18_gun_assault,clr_gun_assault,unfound_gun_assault,act_knife_assault,clr_18_knife_assault,clr_knife_assault,unfound_knife_assault,act_other_weapon_assault,clr_18_other_weapon_assault,clr_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,clr_18_simple_assault,clr_simple_assault,unfound_simple_assault,act_hand_feet_assault,clr_18_hand_feet_assault,clr_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,clr_18_burglary_total,clr_burglary_total,unfound_burglary_total,act_attempted_burglary,clr_18_attempted_burglary,clr_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,clr_18_burg_force_entry,clr_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,clr_18_burg_no_force_entry,clr_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,clr_18_manslaughter,clr_manslaughter,unfound_manslaughter,act_murder,clr_18_murder,clr_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,clr_18_rape_total,clr_rape_total,unfound_rape_total,act_attempted_rape,clr_18_attempted_rape,clr_attempted_rape,unfound_attempted_rape,act_force_rape,clr_18_force_rape,clr_force_rape,unfound_force_rape,act_robbery_total,clr_18_robbery_total,clr_robbery_total,unfound_robbery_total,act_gun_robbery,clr_18_gun_robbery,clr_gun_robbery,unfound_gun_robbery,act_knife_robbery,clr_18_knife_robbery,clr_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,clr_18_other_weapon_robbery,clr_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,clr_18_strong_arm_robbery,clr_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,clr_18_theft_total,clr_theft_total,unfound_theft_total,act_auto_theft,clr_18_auto_theft,clr_auto_theft,unfound_auto_theft,act_other_vhc_theft,clr_18_other_vhc_theft,clr_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,clr_18_truck_bus_theft,clr_truck_bus_theft,unfound_truck_bus_theft
Lindenwold Police,1961,New Jersey,7335,NJ00422,84,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Lindenwold Police,1962,New Jersey,8904,NJ00422,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Lindenwold Police,1963,New Jersey,9669,NJ00422,175,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
Lindenwold Police,1965,New Jersey,8460,NJ00422,120,8,22,0,16,1,13,0,22,2,19,0,1,0,1,0,2,0,1,0,2,1,0,0,6,1,6,0,11,0,11,0,55,1,1,0,16,0,0,0,31,1,1,0,8,0,0,0,12,5,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,1,0,12,5,5,0,0,0,0,0,0,0,0,0
Lindenwold Police,1968,New Jersey,9217,NJ00422,148,12,17,0,2,0,1,0,33,4,30,0,0,0,0,0,1,0,0,0,1,0,1,0,31,4,29,0,0,0,0,0,40,2,4,0,4,0,0,0,35,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,8,10,0,1,0,0,0,0,0,0,0,0,0,0,0
Lindenwold Police,1969,New Jersey,9421,NJ00422,265,12,20,0,1,0,1,0,59,8,52,0,1,0,1,0,0,0,0,0,0,0,0,0,58,8,51,0,0,0,0,0,62,8,12,0,6,0,0,0,56,7,11,0,0,1,1,0,33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,2,5,0,33,2,2,0,0,0,0,0,0,0,0,0
Lindenwold Police,1970,New Jersey,12199,NJ00422,351,16,25,0,1,1,1,0,58,6,54,0,0,0,0,0,1,1,1,0,0,0,0,0,57,5,53,0,0,0,0,0,94,7,11,0,2,0,0,0,89,7,11,0,3,0,0,0,88,4,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,4,6,0,88,4,4,0,0,0,0,0,0,0,0,0
Lindenwold Police,1971,New Jersey,12375,NJ00422,316,6,18,0,4,0,4,0,57,3,36,0,1,0,1,0,1,0,1,0,1,0,1,0,53,3,32,0,1,0,1,0,87,1,4,0,12,0,0,0,74,1,4,0,1,0,0,0,47,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,175,1,3,0,47,4,4,0,0,0,0,0,0,0,0,0
Lindenwold Police,1972,New Jersey,13785,NJ00422,452,17,51,0,10,0,10,0,117,14,104,0,0,0,0,0,2,0,2,0,0,0,0,0,107,14,94,0,8,0,8,0,122,4,7,0,11,1,2,0,109,3,5,0,2,0,0,0,94,3,5,0,1,0,1,0,0,0,0,0,0,0,0,6,1,5,0,3,0,2,0,3,1,3,0,6,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,213,9,20,0,94,3,5,0,0,0,0,0,0,0,0,0
Lindenwold Police,1973,New Jersey,16065,NJ00422,645,19,74,0,28,2,25,0,136,6,128,0,8,1,8,0,2,1,2,0,3,0,2,0,108,4,103,0,15,0,13,0,243,3,14,0,18,0,0,0,216,3,13,0,9,0,1,0,95,5,15,0,0,0,0,0,0,0,0,0,0,0,0,7,1,5,0,2,0,0,0,5,1,5,0,7,1,2,0,5,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,265,7,13,0,95,5,15,0,0,0,0,0,0,0,0,0
