agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Vernon Township Police,1975,New Jersey,7839,NJ01922,604,99,42,0,7,5,0,0,36,34,6,0,1,1,0,0,3,1,0,0,3,3,0,0,29,29,6,0,0,0,0,0,201,36,26,0,25,2,1,0,159,33,24,0,17,1,1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,28,10,0,10,0,0,0,5,0,0,0,0,0,0,0
Vernon Township Police,1976,New Jersey,8092,NJ01922,841,140,55,0,17,17,6,0,66,65,13,0,0,0,0,0,3,3,1,0,2,2,1,0,49,48,7,0,12,12,4,0,197,22,14,0,37,1,0,0,147,19,13,0,13,2,1,0,16,7,6,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,560,44,21,0,8,2,2,0,7,5,4,0,1,0,0,0
Vernon Township Police,1977,New Jersey,9605,NJ01922,929,183,79,0,26,25,6,0,91,89,20,0,1,1,0,0,3,3,1,0,6,6,2,0,65,64,14,0,16,15,3,0,199,52,45,0,35,0,0,0,138,49,44,0,26,3,1,0,14,4,2,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,623,37,12,0,11,4,2,0,3,0,0,0,0,0,0,0
Vernon Township Police,1978,New Jersey,11237,NJ01922,964,165,45,0,20,19,2,0,105,99,18,0,4,4,0,0,5,4,1,0,7,7,0,0,85,80,16,0,4,4,1,0,173,10,5,0,15,0,0,0,121,6,4,0,37,4,1,0,31,6,4,0,0,0,0,0,0,0,0,0,11,0,0,2,1,0,0,0,0,0,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,650,48,18,0,18,1,0,0,9,1,0,0,4,4,4,0
Vernon Township Police,1979,New Jersey,11612,NJ01922,917,149,44,0,14,13,1,0,73,61,5,0,3,2,0,0,5,5,0,0,2,2,0,0,59,48,4,0,4,4,1,0,194,20,15,0,13,0,0,0,126,14,11,0,55,6,4,0,24,4,3,0,0,0,0,0,1,0,0,0,,,,6,5,0,0,0,0,0,0,6,5,0,0,3,2,2,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,616,57,19,0,14,3,2,0,7,1,1,0,3,0,0,0
Vernon Township Police,1980,New Jersey,16279,NJ01922,907,148,51,0,17,14,3,0,84,64,7,0,5,4,1,0,3,2,1,0,1,0,0,0,67,50,4,0,8,8,1,0,182,20,13,0,27,0,0,0,114,11,7,0,41,9,6,0,29,5,5,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,2,1,0,0,1,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,605,57,26,0,19,2,2,0,8,3,3,0,2,0,0,0
Vernon Township Police,1981,New Jersey,16410,NJ01922,918,220,70,0,19,13,3,0,154,109,16,0,3,3,1,0,2,1,0,0,7,5,1,0,135,96,13,0,7,4,1,0,138,14,11,0,21,1,1,0,86,12,9,0,31,1,1,0,40,9,8,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,583,86,33,0,30,6,6,0,6,2,2,0,4,1,0,0
Vernon Township Police,1982,New Jersey,16491,NJ01922,984,154,49,0,11,8,3,0,97,67,15,0,0,0,0,0,2,2,2,0,2,1,0,0,86,59,12,0,7,5,1,0,134,9,8,0,8,0,0,0,78,8,7,0,48,1,1,0,20,8,3,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,729,69,23,0,14,7,3,0,3,0,0,0,3,1,0,0
Vernon Township Police,1983,New Jersey,16557,NJ01922,674,162,42,20,9,9,1,0,101,90,11,0,0,0,0,0,2,2,0,0,3,3,1,0,92,81,10,0,4,4,0,0,98,26,16,17,15,2,1,0,55,15,11,16,28,9,4,1,33,6,4,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,441,39,11,1,18,6,4,1,12,0,0,0,3,0,0,0
Vernon Township Police,1984,New Jersey,17248,NJ01922,728,179,24,7,13,12,4,0,137,115,13,0,2,2,1,0,3,3,3,0,1,1,0,0,124,103,9,0,7,6,0,0,96,21,2,4,21,0,0,0,57,16,1,3,18,5,1,1,35,14,4,1,0,0,0,0,0,0,0,0,4,0,0,2,1,0,1,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,457,28,5,1,23,10,2,1,9,2,1,0,3,2,1,0
