agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Havelock Public Safety,2017,North Carolina,20157,NC02501,0,0,4,4,0,3,1,0,1,1,438,13,3,2,0,420,160,38,109,13,316,10,7,0,3,931,18,0,0,2,2,0,2,1,0,0,1,335,8,1,2,0,324,47,5,40,2,95,4,4,0,0,485,11,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,45,14,1,12,1,13,2,2,0,0,74,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,4,1,0,1,0,10,0,0,0,0,16,1
Havelock Public Safety,2016,North Carolina,20283,NC02501,0,0,0,0,0,6,3,1,1,1,365,8,0,7,6,344,141,33,107,1,341,8,4,3,1,861,21,0,0,0,0,0,2,1,0,0,1,242,5,0,4,4,229,24,5,18,1,118,2,1,0,1,388,13,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,18,4,1,3,0,20,0,0,0,0,43,1,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,7,4,1,3,0,10,3,3,0,0,25,0
Havelock Public Safety,2015,North Carolina,20689,NC02501,0,0,1,1,0,1,1,0,0,0,99,2,0,0,1,96,64,28,34,2,153,1,1,0,0,319,3,0,0,1,1,0,0,0,0,0,0,61,2,0,0,1,58,19,16,3,0,26,0,0,0,0,107,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,8,0,0,0,0,4,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,6,0
Havelock Public Safety,2014,North Carolina,20981,NC02501,0,0,1,1,0,4,0,3,0,1,223,6,0,1,4,212,83,29,52,2,294,6,5,0,1,611,11,0,0,0,0,0,3,1,2,0,0,162,2,0,2,3,155,6,2,4,0,98,1,1,0,0,270,7,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,12,0,0,0,0,11,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,1,0,1,0,9,2,1,1,0,20,0
Havelock Public Safety,2013,North Carolina,20765,NC02501,1,0,6,6,0,6,2,0,0,4,428,8,6,12,5,397,147,42,104,1,348,10,3,1,6,946,31,1,0,4,4,0,1,1,0,0,0,335,4,6,7,4,314,15,4,11,0,112,2,2,0,0,470,21,0,0,2,2,0,0,0,0,0,0,64,0,3,0,1,60,0,0,0,0,8,1,1,0,0,75,4,0,0,1,1,0,0,0,0,0,0,13,1,0,0,1,11,0,0,0,0,16,3,3,0,0,33,2
Havelock Public Safety,2012,North Carolina,21174,NC02501,0,0,6,6,0,5,4,0,0,1,364,7,8,11,5,333,250,66,180,4,331,14,8,1,5,970,31,0,0,3,3,0,2,1,0,0,1,280,7,7,5,6,255,34,12,21,1,124,3,2,0,1,446,25,0,0,0,0,0,0,0,0,0,0,39,1,1,0,0,37,9,1,8,0,21,1,1,0,0,70,2,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,4,2,0,2,0,10,3,3,0,0,20,0
Havelock Public Safety,2011,North Carolina,NA,NC02501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havelock Public Safety,2010,North Carolina,NA,NC02501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havelock Public Safety,2009,North Carolina,NA,NC02501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havelock Public Safety,2008,North Carolina,NA,NC02501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
