agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Louisburg Police Department,2023,North Carolina,3290,NC03501,0,0,0,1,0,3,3,0,1,1,0,0,0,55,14,2,3,2,34,11,8,3,0,145,3,2,0,1,219,0,21,26,159,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisburg Police Department,2022,North Carolina,3098,NC03501,0,0,0,1,0,4,4,0,1,1,0,0,0,47,8,0,2,7,30,10,5,5,0,95,0,0,0,0,158,0,17,23,105,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisburg Police Department,2021,North Carolina,3722,NC03501,0,0,0,1,0,0,0,0,8,5,0,0,3,44,5,0,6,4,29,9,7,2,0,67,5,5,0,0,134,0,15,24,81,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisburg Police Department,2020,North Carolina,3641,NC03501,0,0,0,0,0,1,1,0,4,3,1,0,0,49,15,3,5,2,24,19,12,7,0,93,4,4,0,0,170,0,25,30,116,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisburg Police Department,2019,North Carolina,3549,NC03501,0,0,0,0,0,2,2,0,5,3,1,1,0,54,3,6,5,2,38,30,21,9,0,116,3,3,0,0,210,0,16,23,149,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisburg Police Department,2018,North Carolina,3549,NC03501,0,0,3,0,0,0,0,0,5,4,0,0,1,59,15,1,3,3,37,25,16,7,2,105,7,4,0,3,201,0,22,27,137,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2
Louisburg Police Department,2017,North Carolina,3576,NC03501,0,0,0,0,0,0,0,0,4,3,0,0,1,18,11,0,1,0,6,31,18,10,3,75,4,4,0,0,132,0,12,16,110,126,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,7,2,1,1,0,13,0,0,3,10,13
Louisburg Police Department,2016,North Carolina,3582,NC03501,0,0,0,0,0,0,0,0,4,1,1,1,1,8,5,0,0,2,1,24,18,6,0,63,2,1,1,0,101,0,7,11,89,100,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,1,0,11,0,0,1,10,11
Louisburg Police Department,2015,North Carolina,3582,NC03501,0,0,0,0,0,1,1,0,3,2,0,0,1,3,0,0,3,0,0,30,23,7,0,80,5,3,0,2,122,0,3,7,115,122,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,2,2,0,0,8,0,0,2,5,7
Louisburg Police Department,2014,North Carolina,3518,NC03501,0,0,0,1,0,0,0,0,11,5,0,1,5,10,3,0,5,1,1,33,25,7,1,109,5,3,2,0,169,0,9,21,147,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,3
