agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Idabel Police Department,2023,Oklahoma,7091,OK04502,0,0,0,0,0,1,1,0,0,0,0,0,0,111,0,2,6,0,103,76,52,24,0,154,9,3,3,3,351,0,8,9,239,248,0,0,0,0,0,0,0,0,0,0,36,0,0,2,0,34,5,3,2,0,20,1,0,1,0,62,0,2,2,26,28,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,3,0,0,0,0,8,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idabel Police Department,2022,Oklahoma,7043,OK04502,0,0,0,0,0,1,1,0,2,1,0,0,1,116,4,2,3,0,107,39,23,14,2,241,13,9,4,0,412,0,9,12,293,305,0,0,0,0,0,0,0,0,0,0,39,1,1,3,0,34,3,0,3,0,20,1,1,0,0,63,0,5,5,24,29,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1,0,1,0,4,0,0,0,0,10,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idabel Police Department,2021,Oklahoma,6864,OK04502,0,0,0,1,0,5,5,0,3,2,1,0,0,177,5,4,13,0,155,73,33,35,5,212,15,8,5,2,486,0,22,31,300,331,1,0,2,2,0,2,1,1,0,0,66,3,1,5,0,57,14,4,8,2,19,2,2,0,0,106,0,9,14,35,49,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,9,0,0,0,0,3,0,0,0,0,14,0,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idabel Police Department,2020,Oklahoma,6827,OK04502,0,0,0,3,0,7,7,0,11,6,0,1,4,308,20,12,11,1,264,102,92,10,0,320,14,12,1,1,765,0,44,65,436,501,3,0,1,1,0,0,0,0,0,0,81,9,2,6,1,63,12,8,4,0,65,1,1,0,0,163,0,18,22,78,100,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,2,0,2,0,1,0,0,0,0,6,0,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idabel Police Department,2019,Oklahoma,6816,OK04502,0,0,0,3,0,10,10,0,0,0,0,0,0,226,12,11,7,0,196,78,66,12,0,334,19,18,1,0,670,0,30,43,431,474,2,0,0,0,0,0,0,0,0,0,76,8,8,3,0,57,8,8,0,0,75,2,2,0,0,163,0,19,21,85,106,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,5,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1
Idabel Police Department,2018,Oklahoma,6860,OK04502,0,0,0,3,0,7,6,1,1,0,1,0,0,209,5,6,7,3,188,98,77,20,1,276,10,8,2,0,604,0,21,32,384,416,2,0,1,1,0,0,0,0,0,0,67,1,1,3,0,62,9,9,0,0,58,0,0,0,0,137,0,5,8,67,75,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,9,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Idabel Police Department,2017,Oklahoma,6940,OK04502,0,0,0,2,0,3,3,0,4,2,0,0,2,221,6,2,4,2,207,94,78,16,0,265,14,13,1,0,603,0,14,23,373,396,2,0,1,1,0,0,0,0,0,0,75,0,1,2,0,72,10,8,2,0,57,2,2,0,0,147,0,3,6,69,75,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,5,0,0,1,1,1,0,0,11,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idabel Police Department,2016,Oklahoma,7006,OK04502,0,0,0,1,0,8,8,0,5,3,0,0,2,226,5,5,2,2,212,90,74,15,1,265,7,6,0,1,602,0,14,28,362,390,1,0,3,3,0,2,0,0,0,2,65,1,3,1,0,60,14,14,0,0,51,1,1,0,0,137,0,5,11,66,77,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,6,0,0,0,0,10,0,0,2,7,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,3,3
Idabel Police Department,2015,Oklahoma,7009,OK04502,0,0,0,0,0,1,0,1,1,0,0,0,1,191,6,2,2,2,179,146,109,35,2,337,7,7,0,0,683,0,12,14,490,504,0,0,0,0,0,0,0,0,0,0,66,1,2,2,1,60,15,15,0,0,76,0,0,0,0,157,0,6,6,91,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,5,0,0,0,0,14,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,5,0,0,0,3,3
Idabel Police Department,2014,Oklahoma,,OK04502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
