agency,year,state,population,ORI,act_all_crimes,clr_18_all_crimes,clr_all_crimes,unfound_all_crimes,act_aggravated_assault,clr_18_aggravated_assault,clr_aggravated_assault,unfound_aggravated_assault,act_assault_total,clr_18_assault_total,clr_assault_total,unfound_assault_total,act_gun_assault,clr_18_gun_assault,clr_gun_assault,unfound_gun_assault,act_knife_assault,clr_18_knife_assault,clr_knife_assault,unfound_knife_assault,act_other_weapon_assault,clr_18_other_weapon_assault,clr_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,clr_18_simple_assault,clr_simple_assault,unfound_simple_assault,act_hand_feet_assault,clr_18_hand_feet_assault,clr_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,clr_18_burglary_total,clr_burglary_total,unfound_burglary_total,act_attempted_burglary,clr_18_attempted_burglary,clr_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,clr_18_burg_force_entry,clr_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,clr_18_burg_no_force_entry,clr_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,clr_18_manslaughter,clr_manslaughter,unfound_manslaughter,act_murder,clr_18_murder,clr_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,clr_18_rape_total,clr_rape_total,unfound_rape_total,act_attempted_rape,clr_18_attempted_rape,clr_attempted_rape,unfound_attempted_rape,act_force_rape,clr_18_force_rape,clr_force_rape,unfound_force_rape,act_robbery_total,clr_18_robbery_total,clr_robbery_total,unfound_robbery_total,act_gun_robbery,clr_18_gun_robbery,clr_gun_robbery,unfound_gun_robbery,act_knife_robbery,clr_18_knife_robbery,clr_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,clr_18_other_weapon_robbery,clr_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,clr_18_strong_arm_robbery,clr_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,clr_18_theft_total,clr_theft_total,unfound_theft_total,act_auto_theft,clr_18_auto_theft,clr_auto_theft,unfound_auto_theft,act_other_vhc_theft,clr_18_other_vhc_theft,clr_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,clr_18_truck_bus_theft,clr_truck_bus_theft,unfound_truck_bus_theft
Sp: Juniata County,1964,Pennsylvania,0,PA034SP,41,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,5,0,0,0,0,0,14,2,4,0,3,1,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5,0,4,0,2,0,0,0,0,0,0,0,0,0
Sp: Juniata County,1966,Pennsylvania,0,PA034SP,28,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,10,0,3,0,2,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0
Sp: Juniata County,1967,Pennsylvania,0,PA034SP,129,10,30,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,70,8,10,0,1,0,0,0,56,8,9,0,13,0,1,0,7,1,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,9,0,7,1,8,0,0,0,0,0,0,0,0,0
Sp: Juniata County,1968,Pennsylvania,0,PA034SP,91,9,40,0,2,0,3,0,2,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,42,1,22,0,0,0,0,0,27,1,17,0,15,0,5,0,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,9,0,8,2,4,0,0,0,0,0,0,0,0,0
Sp: Juniata County,1969,Pennsylvania,0,PA034SP,136,7,34,0,5,1,3,0,5,1,3,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,3,0,3,1,1,0,82,1,7,0,0,0,0,0,60,1,5,0,22,0,2,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,4,17,0,11,0,6,0,0,0,0,0,0,0,0,0
Sp: Juniata County,1970,Pennsylvania,0,PA034SP,137,8,34,0,6,0,4,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,82,6,16,0,0,0,0,0,65,5,15,0,17,1,1,0,8,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,11,0,8,0,2,0,0,0,0,0,0,0,0,0
Sp: Juniata County,1971,Pennsylvania,0,PA034SP,121,7,25,0,3,1,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,69,4,14,0,0,0,0,0,66,4,14,0,0,0,0,0,18,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,3,0,18,1,5,0,0,0,0,0,0,0,0,0
Sp: Juniata County,1972,Pennsylvania,0,PA034SP,105,5,40,0,8,0,8,0,8,0,8,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,6,0,7,0,42,1,13,0,1,0,0,0,38,1,13,0,3,0,0,0,11,3,5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,39,1,9,0,11,3,5,0,0,0,0,0,0,0,0,0
Sp: Juniata County,1973,Pennsylvania,0,PA034SP,176,6,43,0,4,0,3,0,4,0,3,0,1,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,87,1,24,0,4,0,0,0,73,0,22,0,10,1,2,0,12,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5,13,0,12,0,3,0,0,0,0,0,0,0,0,0
Sp: Juniata County,1974,Pennsylvania,0,PA034SP,268,13,61,0,3,0,3,0,13,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,9,0,3,0,2,0,144,7,25,0,13,0,0,0,103,6,24,0,28,1,1,0,4,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,104,5,19,0,1,0,1,0,2,0,0,0,1,0,0,0
Sp: Juniata County,1975,Pennsylvania,0,PA034SP,294,10,57,0,3,0,2,0,21,0,14,0,1,0,0,0,1,0,0,0,0,0,0,0,18,0,12,0,1,0,2,0,154,4,18,0,8,0,4,0,116,4,13,0,30,0,1,0,9,1,3,0,1,0,1,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,3,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,103,5,16,0,7,1,2,0,0,0,0,0,2,0,1,0
Sp: Juniata County,1976,Pennsylvania,15698,PA034SP,322,21,103,0,16,2,11,0,46,3,34,0,7,2,5,0,2,0,2,0,7,0,4,0,30,1,23,0,0,0,0,0,174,14,50,0,10,0,0,0,129,11,45,0,35,3,5,0,8,1,4,0,2,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89,2,11,0,4,0,0,0,0,0,1,0,4,1,3,0
