agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Coventry Police Department,2017,Rhode Island,35083,RI00201,0,0,0,0,0,14,14,0,3,1,1,0,1,202,2,3,4,9,184,84,41,30,13,405,20,16,1,3,728,18,0,0,2,2,0,3,1,1,0,1,149,1,2,2,9,135,17,10,5,2,90,0,0,0,0,261,14,0,0,0,0,0,1,0,0,0,1,26,0,0,0,1,25,0,0,0,0,7,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry Police Department,2016,Rhode Island,34967,RI00201,0,0,0,0,0,8,8,0,0,0,0,0,0,252,7,4,8,3,230,8,5,3,0,151,1,1,0,0,420,22,0,0,2,2,0,0,0,0,0,0,186,5,3,8,3,167,0,0,0,0,69,0,0,0,0,257,19,0,0,1,1,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry Police Department,2015,Rhode Island,35046,RI00201,0,0,0,0,0,12,12,0,5,2,0,2,1,184,2,2,8,4,168,81,43,25,13,436,17,14,2,1,735,16,0,0,5,5,0,2,1,0,0,1,137,2,2,7,4,122,17,6,8,3,138,6,5,0,1,305,15,0,0,1,1,0,0,0,0,0,0,29,0,1,1,0,27,3,1,1,1,9,2,1,0,1,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry Police Department,2014,Rhode Island,35053,RI00201,0,0,0,0,0,4,4,0,1,0,0,0,1,179,4,1,7,8,159,93,50,32,11,387,22,17,3,2,686,20,0,0,3,3,0,0,0,0,0,0,133,4,1,5,8,115,15,7,6,2,94,7,5,0,2,252,18,0,0,1,1,0,0,0,0,0,0,27,2,0,1,0,24,1,0,1,0,15,0,0,0,0,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry Police Department,2013,Rhode Island,34971,RI00201,0,0,0,0,0,8,7,1,2,0,0,0,2,220,5,4,13,0,198,99,59,29,11,384,14,13,1,0,727,22,0,0,2,2,0,2,0,0,0,2,166,5,4,6,0,151,9,1,6,2,115,2,2,0,0,296,15,0,0,0,0,0,0,0,0,0,0,36,0,2,1,0,33,1,0,0,1,11,1,1,0,0,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry Police Department,2012,Rhode Island,34850,RI00201,0,0,0,1,0,5,5,0,1,0,0,0,1,192,6,3,5,4,174,150,102,38,10,490,37,27,4,6,876,18,1,0,1,1,0,1,0,0,0,1,145,6,1,3,4,131,21,14,6,1,115,10,10,0,0,294,14,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,20,5,2,2,1,13,1,1,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry Police Department,2011,Rhode Island,34972,RI00201,0,0,0,0,0,8,8,0,1,1,0,0,0,195,1,4,3,5,182,131,85,36,10,555,24,22,1,1,914,13,0,0,1,1,0,0,0,0,0,0,153,1,4,3,4,141,30,18,10,2,166,8,8,0,0,358,12,0,0,0,0,0,0,0,0,0,0,20,0,1,1,2,16,3,2,1,0,18,1,1,0,0,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry Police Department,2010,Rhode Island,35014,RI00201,0,0,0,0,0,4,4,0,4,0,1,0,3,233,3,6,8,1,215,110,67,31,12,522,33,26,4,3,906,18,0,0,0,0,0,3,0,0,0,3,191,3,7,7,1,173,16,9,6,1,129,5,4,0,1,344,18,0,0,0,0,0,0,0,0,0,0,38,0,3,1,0,34,2,1,1,0,18,0,0,0,0,58,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry Police Department,2009,Rhode Island,34837,RI00201,0,0,0,0,0,6,6,0,3,1,1,0,1,266,5,3,8,2,248,112,59,37,16,445,34,17,10,7,866,18,0,0,1,1,0,2,0,1,0,1,196,3,2,8,2,181,25,16,5,4,99,10,7,1,2,333,15,0,0,0,0,0,1,0,0,0,1,35,0,0,1,0,34,1,0,1,0,17,5,3,1,1,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry Police Department,2008,Rhode Island,34342,RI00201,0,0,0,0,0,5,5,0,3,1,0,0,2,249,4,8,3,4,230,121,64,47,10,502,22,17,2,3,902,19,0,0,1,1,0,0,0,0,0,0,183,3,8,3,2,167,25,14,10,1,90,3,3,0,0,302,16,0,0,0,0,0,0,0,0,0,0,46,0,2,0,0,44,3,3,0,0,16,0,0,0,0,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry Police Department,2007,Rhode Island,34353,RI00201,0,0,0,0,0,5,5,0,3,0,1,0,2,190,5,7,7,4,167,120,66,38,16,289,25,19,6,0,632,23,0,0,2,2,0,3,0,1,0,2,153,5,7,5,3,133,43,24,15,4,62,7,6,1,0,270,20,0,0,0,0,0,1,0,1,0,0,21,1,3,0,0,17,9,2,6,1,9,1,1,0,0,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry Police Department,2006,Rhode Island,34800,RI00201,0,0,0,1,0,7,7,0,5,3,0,1,1,209,4,3,9,3,190,112,66,34,12,250,38,31,3,4,622,19,1,0,2,2,0,1,1,0,0,0,168,4,2,8,2,152,15,9,6,0,53,4,3,1,0,244,16,0,0,0,0,0,0,0,0,0,0,37,1,0,1,0,35,3,2,1,0,12,2,2,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry Police Department,2005,Rhode Island,34928,RI00201,0,0,0,0,0,8,8,0,4,1,1,1,1,206,5,6,11,3,181,94,51,38,5,245,33,22,6,5,590,25,0,0,1,1,0,2,1,1,0,0,156,5,6,8,2,135,24,10,13,1,66,6,3,1,2,255,21,0,0,0,0,0,2,1,1,0,0,30,2,3,2,0,23,4,1,3,0,18,1,1,0,0,55,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry Police Department,2004,Rhode Island,35055,RI00201,0,0,27,0,0,8,8,0,6,0,1,1,4,238,13,5,21,5,194,113,62,41,10,258,40,27,3,10,663,44,0,0,2,2,0,6,0,1,1,4,192,12,3,13,4,160,20,11,9,0,75,8,7,0,1,303,32,0,0,2,2,0,0,0,0,0,0,50,5,0,4,2,39,6,3,3,0,26,1,0,0,1,85,11,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,2,2,2,0,0,9,0
Coventry Police Department,2003,Rhode Island,34873,RI00201,0,0,14,0,0,4,4,0,3,2,0,1,0,247,10,3,11,2,221,97,53,38,6,310,31,12,1,18,692,26,0,0,2,2,0,2,1,0,1,0,195,10,3,10,1,171,19,12,7,0,92,4,2,0,2,314,24,0,0,0,0,0,0,0,0,0,0,69,7,1,4,0,57,8,4,4,0,32,3,1,0,2,112,12,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,3,0,0,0,0,6,0
Coventry Police Department,2002,Rhode Island,34355,RI00201,0,0,12,1,0,9,9,0,9,4,0,2,3,256,7,7,14,3,225,135,63,52,20,391,27,21,0,6,828,31,1,0,8,8,0,4,2,0,1,1,209,6,7,11,3,182,25,13,11,1,115,6,6,0,0,368,27,0,0,2,2,0,1,0,0,0,1,49,3,1,5,2,38,14,5,8,1,37,3,3,0,0,106,11,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,7,0
Coventry Police Department,2001,Rhode Island,34008,RI00201,0,0,16,0,0,8,8,0,2,0,0,0,2,292,8,9,16,4,255,137,63,60,14,417,20,7,0,13,876,37,0,0,1,1,0,1,0,0,0,1,197,7,7,12,4,167,49,25,18,6,92,2,2,0,0,342,30,0,0,1,1,0,0,0,0,0,0,47,2,1,5,0,39,26,12,14,0,21,1,1,0,0,96,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,5,0
Coventry Police Department,2000,Rhode Island,33668,RI00201,0,0,12,0,0,7,7,0,2,0,1,0,1,292,3,8,15,3,263,98,54,27,17,429,23,14,3,6,851,29,0,0,4,4,0,1,0,0,0,1,221,0,8,14,3,196,32,23,7,2,99,4,4,0,0,361,25,0,0,2,2,0,0,0,0,0,0,55,0,3,8,0,44,14,9,5,0,44,1,1,0,0,116,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Coventry Police Department,1999,Rhode Island,32474,RI00201,0,0,11,0,0,6,5,1,3,0,1,2,0,243,3,6,10,1,223,79,44,26,9,495,22,15,2,5,848,20,0,0,3,2,1,1,0,0,1,0,177,0,5,6,1,165,8,5,2,1,133,2,2,0,0,324,12,0,0,1,1,0,0,0,0,0,0,39,0,1,0,1,37,6,3,2,1,58,0,0,0,0,104,2,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0
