agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
West Warwick Police Department,2017,Rhode Island,28790,RI00204,0,0,17,17,0,9,1,2,0,6,291,4,10,10,16,251,94,54,27,13,197,28,27,0,1,636,40,0,0,5,5,0,2,0,0,0,2,228,3,9,10,13,193,31,18,9,4,32,4,3,0,1,302,35,0,0,0,0,0,0,0,0,0,0,14,0,1,1,0,12,2,1,1,0,2,1,1,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Warwick Police Department,2016,Rhode Island,28777,RI00204,0,0,16,16,0,10,1,3,1,5,302,6,16,5,7,268,80,45,23,12,225,27,25,0,2,660,34,0,0,0,0,0,6,0,2,1,3,228,4,12,2,4,206,27,19,3,5,43,4,4,0,0,308,22,0,0,0,0,0,3,0,2,1,0,16,0,0,0,0,16,1,1,0,0,2,1,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Warwick Police Department,2015,Rhode Island,28828,RI00204,1,0,15,15,0,12,3,2,3,4,319,2,18,4,15,280,102,53,38,11,270,30,24,3,3,749,39,0,0,1,1,0,1,1,0,0,0,181,1,12,2,11,155,11,5,3,3,24,1,1,0,0,219,26,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,13,2,0,2,0,4,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Warwick Police Department,2014,Rhode Island,28934,RI00204,0,0,11,11,0,11,1,3,0,7,289,1,13,11,14,250,97,52,32,13,259,29,21,7,1,696,39,0,0,2,2,0,5,1,1,0,3,229,1,13,6,11,198,24,18,4,2,51,6,5,0,1,317,31,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,12,2,1,1,0,7,4,3,0,1,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Warwick Police Department,2013,Rhode Island,28817,RI00204,0,0,23,23,0,11,3,2,2,4,301,3,4,4,8,282,128,80,33,15,332,24,19,2,3,819,19,0,0,8,8,0,6,1,1,0,4,245,2,4,1,6,232,22,12,7,3,79,7,7,0,0,367,13,0,0,0,0,0,1,0,0,0,1,22,0,0,0,1,21,4,2,1,1,8,1,1,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Warwick Police Department,2012,Rhode Island,29053,RI00204,1,0,12,12,0,6,4,0,0,2,360,5,17,15,11,312,158,102,43,13,388,40,33,5,2,965,48,1,1,8,8,0,1,1,0,0,0,291,4,14,13,10,250,25,15,6,4,88,8,8,0,0,423,41,0,0,2,2,0,0,0,0,0,0,43,0,0,1,2,40,2,2,0,0,25,1,1,0,0,73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Warwick Police Department,2011,Rhode Island,29156,RI00204,0,1,14,14,0,12,6,2,2,2,420,8,12,21,6,373,185,111,51,23,422,36,34,0,2,1090,47,0,0,2,2,0,8,3,2,2,1,354,4,11,16,6,317,30,23,4,3,80,9,9,0,0,483,37,0,0,1,1,0,0,0,0,0,0,53,0,3,3,2,45,1,0,0,1,23,2,2,0,0,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Warwick Police Department,2010,Rhode Island,29191,RI00204,0,0,17,17,0,13,4,2,1,6,401,7,14,13,2,365,154,95,45,14,434,40,37,3,0,1059,36,0,0,5,5,0,9,4,1,1,3,329,6,13,11,1,298,40,22,12,6,83,9,6,2,1,475,31,0,0,2,2,0,2,0,0,0,2,45,1,1,0,0,43,7,2,2,3,9,2,2,0,0,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Warwick Police Department,2009,Rhode Island,29282,RI00204,0,0,17,17,0,19,2,2,5,10,401,5,11,10,3,372,132,81,38,13,427,37,31,4,2,1033,29,0,0,3,3,0,11,1,1,3,6,335,2,8,8,2,315,23,15,6,2,81,10,10,0,0,463,20,0,0,0,0,0,1,0,0,0,1,49,1,0,1,0,47,6,2,2,2,18,2,2,0,0,76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Warwick Police Department,2008,Rhode Island,29029,RI00204,3,0,14,14,0,12,0,1,2,9,382,2,9,13,5,353,123,72,36,15,506,49,42,3,4,1089,29,3,0,7,7,0,7,0,0,0,7,322,2,7,14,3,296,28,17,7,4,87,5,5,0,0,459,26,0,0,0,0,0,4,0,0,0,4,43,1,0,0,0,42,4,3,1,0,23,2,2,0,0,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
