agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Lancaster Police Department,1960,South Carolina,7999,SC02901,120,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Lancaster Police Department,1972,South Carolina,9369,SC02901,524,142,27,0,62,56,0,0,62,56,0,0,11,10,0,0,22,21,0,0,4,4,0,0,29,21,0,0,25,21,0,0,130,25,11,0,2,0,0,0,115,25,11,0,3,0,0,0,15,4,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,310,54,16,0,15,4,0,0,0,0,0,0,0,0,0,0
Lancaster Police Department,1973,South Carolina,9576,SC02901,565,222,66,0,67,64,1,0,67,64,1,0,8,6,0,0,21,20,0,0,4,4,0,0,2,2,0,0,34,34,1,0,123,26,13,0,14,0,0,0,99,26,12,0,10,0,1,0,15,7,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,10,5,0,0,9,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,348,119,49,0,15,7,3,0,0,0,0,0,0,0,0,0
Lancaster Police Department,1974,South Carolina,9705,SC02901,629,286,21,0,59,51,0,0,82,74,0,0,6,5,0,0,22,19,0,0,4,4,0,0,23,23,0,0,27,23,0,0,136,62,2,0,19,3,0,0,103,55,1,0,14,4,1,0,17,1,0,0,0,0,0,0,2,2,0,0,0,0,0,3,2,0,0,1,0,0,0,2,2,0,0,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,381,144,19,0,14,1,0,0,0,0,0,0,3,0,0,0
Lancaster Police Department,1976,South Carolina,10978,SC02901,1115,403,51,0,180,82,4,0,436,227,10,0,24,12,0,0,66,26,0,0,67,33,3,0,256,145,6,0,23,11,1,0,195,60,13,0,26,6,0,0,107,34,7,0,62,20,6,0,31,14,2,0,0,0,0,0,1,1,0,0,16,0,0,3,3,0,0,3,3,0,0,0,0,0,0,21,10,1,0,3,2,1,0,3,2,0,0,6,3,0,0,9,3,0,0,428,88,25,0,24,12,1,0,6,2,1,0,1,0,0,0
Lancaster Police Department,1977,South Carolina,12000,SC02901,1137,585,54,0,210,151,5,0,481,382,20,0,36,28,2,0,78,60,1,0,71,43,2,0,271,231,15,0,25,20,0,0,198,65,14,0,30,8,1,0,104,44,10,0,64,13,3,0,36,14,3,0,0,0,0,0,1,1,0,0,8,0,0,3,3,0,0,2,2,0,0,1,1,0,0,6,4,1,0,1,1,0,0,1,1,0,0,0,0,0,0,4,2,1,0,412,116,16,0,33,12,2,0,2,1,1,0,1,1,0,0
Lancaster Police Department,1978,South Carolina,12500,SC02901,1118,540,69,0,173,133,8,0,458,376,23,0,29,20,2,0,67,58,1,0,64,45,5,0,285,243,15,0,13,10,0,0,179,36,10,0,25,5,2,0,134,29,8,0,20,2,0,0,21,7,1,0,0,0,0,0,1,1,0,0,7,0,0,6,3,1,0,5,3,1,0,1,0,0,0,15,7,0,0,5,2,0,0,2,1,0,0,0,0,0,0,8,4,0,0,438,110,34,0,18,7,1,0,1,0,0,0,2,0,0,0
Lancaster Police Department,1979,South Carolina,9023,SC02901,1074,539,82,0,174,144,17,0,452,360,38,0,32,21,0,0,72,61,7,0,66,58,10,0,278,216,21,0,4,4,0,0,121,36,7,0,20,4,1,0,84,27,5,0,17,5,1,0,20,6,1,0,0,0,0,0,0,0,0,0,,,,9,5,0,0,3,2,0,0,6,3,0,0,7,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,3,0,0,465,128,36,0,15,5,1,0,3,0,0,0,2,1,0,0
Lancaster Police Department,1980,South Carolina,9522,SC02901,1198,612,55,0,155,124,5,0,430,354,18,0,34,29,1,0,70,56,2,0,48,36,2,0,275,230,13,0,3,3,0,0,195,70,14,0,26,8,2,0,135,43,10,0,34,19,2,0,47,22,5,0,0,0,0,0,2,2,0,0,7,0,0,2,3,0,0,1,1,0,0,1,2,0,0,11,7,2,0,2,1,0,0,3,2,1,0,0,0,0,0,6,4,1,0,511,154,16,0,29,17,3,0,14,3,2,0,4,2,0,0
Lancaster Police Department,1981,South Carolina,9837,SC02901,1194,612,55,0,192,150,11,0,435,354,23,0,35,27,3,0,87,72,4,0,51,35,3,0,243,204,12,0,19,16,1,0,229,93,13,0,43,17,1,0,161,65,12,0,25,11,0,0,40,13,2,0,1,1,0,0,0,0,0,0,14,0,0,4,4,0,0,1,1,0,0,3,3,0,0,10,4,0,0,1,0,0,0,2,1,0,0,2,1,0,0,5,2,0,0,475,143,17,0,29,10,1,0,9,2,0,0,2,1,1,0
