agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Marion County Sheriff's Office,2023,Tennessee,18947,TN05800,0,0,0,6,0,2,2,0,0,0,0,0,0,128,13,4,14,2,95,13,12,0,1,63,23,14,1,8,235,0,33,41,99,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2022,Tennessee,18614,TN05800,0,0,0,2,0,3,3,0,0,0,0,0,0,191,21,5,20,1,144,27,26,1,0,98,39,24,1,14,360,0,47,52,164,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2021,Tennessee,19062,TN05800,0,0,0,0,0,1,1,0,1,0,0,1,0,192,22,2,24,5,139,27,27,0,0,69,32,16,16,0,322,0,53,55,128,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2020,Tennessee,18857,TN05800,0,0,0,0,0,3,3,0,2,1,0,1,0,236,36,8,27,7,158,37,34,1,2,117,69,32,26,11,464,0,78,83,223,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2019,Tennessee,18658,TN05800,0,0,0,0,0,3,3,0,1,0,0,0,1,193,12,12,24,7,138,43,39,1,3,135,42,18,18,6,417,0,55,59,220,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2018,Tennessee,18578,TN05800,0,0,0,0,1,2,2,0,1,1,0,0,0,237,11,11,24,7,184,43,41,1,1,133,56,25,20,11,473,0,53,56,232,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2017,Tennessee,18539,TN05800,0,0,0,0,0,3,2,1,2,0,0,1,1,219,23,3,29,6,158,85,76,1,8,131,41,20,15,6,481,0,61,66,257,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2016,Tennessee,18543,TN05800,0,0,0,0,0,1,1,0,1,0,0,1,0,211,10,7,24,9,161,83,71,0,12,138,50,20,11,19,484,0,50,52,271,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2015,Tennessee,18491,TN05800,0,0,0,1,0,0,0,0,2,1,0,0,1,202,21,9,17,4,151,62,57,0,5,121,49,17,15,17,437,0,51,54,232,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County Sheriff's Office,2014,Tennessee,16126,TN05800,0,0,0,0,0,0,0,0,1,0,0,1,0,170,7,7,18,7,131,84,78,0,6,143,47,22,7,18,445,0,39,40,274,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
