agency,year,state,population,ORI,officers_killed_by_accident,officers_killed_by_felony,officers_assaulted,act_murder,act_manslaughter,act_rape_total,act_force_rape,act_attempted_rape,act_robbery_total,act_gun_robbery,act_knife_robbery,act_other_weapon_robbery,act_strong_arm_robbery,act_assault_total,act_aggravated_assault,act_gun_assault,act_knife_assault,act_other_weapon_assault,act_hand_feet_assault,act_simple_assault,act_burglary_total,act_burg_force_entry,act_burg_no_force_entry,act_attempted_burglary,act_theft_total,act_mtr_vhc_theft_total,act_auto_theft,act_truck_bus_theft,act_other_vhc_theft,act_all_fields,clr_murder,clr_18_murder,clr_manslaughter,clr_18_manslaughter,clr_rape_total,clr_18_rape_total,clr_force_rape,clr_18_force_rape,clr_attempted_rape,clr_18_attempted_rape,clr_robbery_total,clr_18_robbery_total,clr_gun_robbery,clr_18_gun_robbery,clr_knife_robbery,clr_18_knife_robbery,clr_other_weapon_robbery,clr_18_other_weapon_robbery,clr_strong_arm_robbery,clr_18_strong_arm_robbery,clr_assault_total,clr_18_assault_total,clr_aggravated_assault,clr_18_aggravated_assault,clr_gun_assault,clr_18_gun_assault,clr_knife_assault,clr_18_knife_assault,clr_other_weapon_assault,clr_18_other_weapon_assault,clr_hand_feet_assault,clr_18_hand_feet_assault,clr_simple_assault,clr_18_simple_assault,clr_burglary_total,clr_18_burglary_total,clr_burg_force_entry,clr_18_burg_force_entry,clr_burg_no_force_entry,clr_18_burg_no_force_entry,clr_attempted_burglary,clr_18_attempted_burglary,clr_theft_total,clr_18_theft_total,clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_auto_theft,clr_18_auto_theft,clr_truck_bus_theft,clr_18_truck_bus_theft,clr_other_vhc_theft,clr_18_other_vhc_theft,clr_all_fields,clr_18_all_fields,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_force_rape,unfound_attempted_rape,unfound_robbery_total,unfound_gun_robbery,unfound_knife_robbery,unfound_other_weapon_robbery,unfound_strong_arm_robbery,unfound_assault_total,unfound_aggravated_assault,unfound_gun_assault,unfound_knife_assault,unfound_other_weapon_assault,unfound_hand_feet_assault,unfound_simple_assault,unfound_burglary_total,unfound_burg_force_entry,unfound_burg_no_force_entry,unfound_attempted_burglary,unfound_theft_total,unfound_mtr_vhc_theft_total,unfound_auto_theft,unfound_truck_bus_theft,unfound_other_vhc_theft,unfound_all_fields
Addison Police Department,1974,Texas,659,TX05701,0,0,0,0,0,0,0,0,1,1,0,0,0,7,7,0,0,0,7,0,61,41,19,1,71,16,14,0,2,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,0,0,3,1,0,0,15,0,10,0,4,0,1,0,13,3,12,2,12,2,0,0,0,0,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addison Police Department,1975,Texas,604,TX05701,0,0,1,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,5,81,51,24,2,111,17,14,0,2,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,29,6,29,6,0,0,0,0,31,6,8,1,6,0,0,0,1,0,75,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addison Police Department,1976,Texas,5e3,TX05701,0,0,2,1,0,4,2,2,1,0,0,1,0,19,8,0,1,0,7,11,89,58,30,1,181,18,16,0,2,313,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20,0,9,0,0,0,2,0,0,0,7,0,11,0,37,0,33,0,3,0,1,0,47,2,6,2,6,2,0,0,0,0,112,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addison Police Department,1977,Texas,5044,TX05701,0,0,3,0,0,1,1,0,4,2,0,0,2,17,5,1,0,1,3,12,88,45,41,2,153,37,32,0,5,300,0,0,0,0,6,0,4,0,2,0,4,0,2,0,0,0,0,0,2,0,16,1,3,0,0,0,0,0,1,0,2,0,13,1,21,2,14,2,7,0,0,0,60,4,23,0,19,0,0,0,4,0,130,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addison Police Department,1978,Texas,4171,TX05701,0,0,1,3,0,0,0,0,1,0,1,0,0,28,9,1,3,2,3,19,100,90,5,5,228,51,34,4,13,411,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,1,0,1,0,1,0,1,0,15,0,11,0,9,0,2,0,0,0,45,0,15,0,13,0,2,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addison Police Department,1979,Texas,4262,TX05701,NA,NA,NA,0,0,3,2,1,6,4,0,1,1,35,11,3,3,1,4,24,121,73,45,3,332,52,35,4,13,549,0,0,0,0,2,1,2,1,0,0,3,0,1,0,0,0,1,0,1,0,31,0,9,0,4,0,1,0,1,0,3,0,22,0,27,7,17,1,9,6,1,0,92,3,15,0,12,0,1,0,2,0,170,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addison Police Department,1980,Texas,5506,TX05701,0,0,0,0,0,1,1,0,3,2,0,0,1,30,19,3,1,2,13,11,157,92,50,15,432,61,47,4,10,684,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,13,0,1,0,1,0,1,0,10,0,11,1,23,4,13,3,9,1,1,0,124,5,24,1,18,1,1,0,5,0,196,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addison Police Department,1981,Texas,5733,TX05701,0,0,1,0,0,0,0,0,17,12,1,1,3,50,6,2,0,1,3,44,190,126,60,4,597,61,40,11,10,915,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,2,0,44,0,5,0,1,0,0,0,1,0,3,0,39,0,30,3,21,2,9,1,0,0,228,1,25,3,19,2,4,0,2,1,336,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addison Police Department,1982,Texas,5937,TX05701,0,0,3,1,0,2,1,1,4,2,0,1,1,67,12,3,4,4,1,55,195,125,42,28,623,79,50,14,15,971,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,4,0,54,2,46,1,7,1,1,0,197,5,17,0,14,0,1,0,2,0,274,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addison Police Department,1983,Texas,6109,TX05701,0,0,8,0,0,4,3,1,4,3,0,1,0,74,19,4,5,2,8,55,208,101,74,33,1009,89,62,12,15,1388,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,34,1,6,0,4,0,0,0,0,0,2,0,28,1,9,0,5,0,4,0,0,0,148,3,21,0,17,0,3,0,1,0,215,4,0,0,1,0,1,1,0,1,0,0,9,0,0,0,0,0,9,12,5,5,2,39,12,9,1,2,74
