agency,year,state,population,ORI,act_all_crimes,clr_18_all_crimes,clr_all_crimes,unfound_all_crimes,act_aggravated_assault,clr_18_aggravated_assault,clr_aggravated_assault,unfound_aggravated_assault,act_assault_total,clr_18_assault_total,clr_assault_total,unfound_assault_total,act_gun_assault,clr_18_gun_assault,clr_gun_assault,unfound_gun_assault,act_knife_assault,clr_18_knife_assault,clr_knife_assault,unfound_knife_assault,act_other_weapon_assault,clr_18_other_weapon_assault,clr_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,clr_18_simple_assault,clr_simple_assault,unfound_simple_assault,act_hand_feet_assault,clr_18_hand_feet_assault,clr_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,clr_18_burglary_total,clr_burglary_total,unfound_burglary_total,act_attempted_burglary,clr_18_attempted_burglary,clr_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,clr_18_burg_force_entry,clr_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,clr_18_burg_no_force_entry,clr_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,clr_18_manslaughter,clr_manslaughter,unfound_manslaughter,act_murder,clr_18_murder,clr_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,clr_18_rape_total,clr_rape_total,unfound_rape_total,act_attempted_rape,clr_18_attempted_rape,clr_attempted_rape,unfound_attempted_rape,act_force_rape,clr_18_force_rape,clr_force_rape,unfound_force_rape,act_robbery_total,clr_18_robbery_total,clr_robbery_total,unfound_robbery_total,act_gun_robbery,clr_18_gun_robbery,clr_gun_robbery,unfound_gun_robbery,act_knife_robbery,clr_18_knife_robbery,clr_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,clr_18_other_weapon_robbery,clr_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,clr_18_strong_arm_robbery,clr_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,clr_18_theft_total,clr_theft_total,unfound_theft_total,act_auto_theft,clr_18_auto_theft,clr_auto_theft,unfound_auto_theft,act_other_vhc_theft,clr_18_other_vhc_theft,clr_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,clr_18_truck_bus_theft,clr_truck_bus_theft,unfound_truck_bus_theft
Murphy Police Department,2006,Texas,11338,TX04318,107,1,9,0,2,1,1,0,16,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,6,0,1,1,1,0,16,0,1,0,0,0,0,0,3,0,0,0,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Murphy Police Department,2007,Texas,15497,TX04318,201,1,15,0,4,1,1,0,35,1,8,0,0,0,0,0,2,1,1,0,2,0,0,0,31,0,7,0,0,0,0,0,27,0,0,0,0,0,0,0,4,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,135,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0
Murphy Police Department,2008,Texas,16612,TX04318,227,4,17,0,7,1,1,0,51,3,11,0,0,0,0,0,1,1,1,0,4,0,0,0,44,2,10,0,2,0,0,0,21,0,0,0,0,0,0,0,6,0,0,0,15,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,142,0,4,0,10,1,1,0,0,0,0,0,1,0,0,0
Murphy Police Department,2009,Texas,17459,TX04318,215,5,18,0,6,0,1,0,68,4,13,0,1,0,1,0,1,0,0,0,4,0,0,0,62,4,12,0,0,0,0,0,25,1,1,0,4,0,0,0,5,0,0,0,16,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,0,4,0,3,0,0,0,0,0,0,0,2,0,0,0
Murphy Police Department,2010,Texas,17708,TX04318,227,3,26,0,6,1,2,0,86,2,21,0,1,0,0,0,2,0,1,0,0,0,0,0,80,1,19,0,3,1,1,0,23,0,0,0,1,0,0,0,6,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1,5,0,4,0,0,0,0,0,0,0,1,0,0,0
Murphy Police Department,2011,Texas,18081,TX04318,219,2,40,0,10,0,4,0,99,2,35,0,0,0,0,0,2,0,0,0,1,0,0,0,89,2,31,0,7,0,4,0,14,0,1,0,1,0,0,0,2,0,0,0,11,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
Murphy Police Department,2012,Texas,18662,TX04318,195,1,16,0,4,0,1,0,67,0,10,0,2,0,0,0,0,0,0,0,1,0,1,0,63,0,9,0,1,0,0,0,16,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0
Murphy Police Department,2013,Texas,19347,TX04318,184,3,25,0,3,0,1,0,61,2,14,0,0,0,0,0,0,0,0,0,2,0,0,0,58,2,13,0,1,0,1,0,11,0,1,0,0,0,0,0,2,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Murphy Police Department,2014,Texas,19914,TX04318,217,6,44,0,7,1,2,0,60,5,15,0,2,0,0,0,3,1,1,0,0,0,0,0,53,4,13,0,2,0,1,0,13,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,3,0,0,0,2,0,2,0,2,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,133,1,27,0,3,0,0,0,0,0,0,0,0,0,0,0
Murphy Police Department,2015,Texas,20828,TX04318,188,2,19,0,8,0,2,0,52,0,8,0,2,0,1,0,1,0,0,0,3,0,0,0,44,0,6,0,2,0,1,0,13,0,1,0,0,0,0,0,3,0,0,0,10,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,6,1,1,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,111,1,9,0,3,0,0,0,0,0,0,0,0,0,0,0
Murphy Police Department,2016,Texas,21175,TX04318,213,3,35,0,6,0,3,0,60,1,22,0,4,0,2,0,1,0,1,0,1,0,0,0,54,1,19,0,0,0,0,0,7,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2,13,0,1,0,0,0,1,0,0,0,1,0,0,0
