agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Altavista Police Department,2023,Virginia,3307,VA01601,0,0,0,0,0,0,0,0,2,1,0,0,1,39,1,2,2,1,33,6,2,4,0,105,1,1,0,0,153,0,6,8,112,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2022,Virginia,3348,VA01601,0,0,0,0,0,1,1,0,1,0,0,0,1,45,1,3,1,3,37,5,0,5,0,68,4,3,1,0,124,0,8,10,77,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2021,Virginia,3419,VA01601,0,0,0,0,0,1,1,0,0,0,0,0,0,42,3,0,1,1,37,2,0,2,0,59,1,0,1,0,105,0,5,6,62,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2020,Virginia,3401,VA01601,0,0,0,0,0,1,1,0,2,1,0,0,1,51,3,1,2,2,43,4,2,2,0,165,7,6,1,0,230,0,8,11,176,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2019,Virginia,3409,VA01601,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,2,27,6,4,2,0,106,1,0,1,0,143,0,3,3,113,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2018,Virginia,3417,VA01601,0,0,0,0,0,1,0,1,1,1,0,0,0,28,0,3,2,0,23,5,0,4,1,77,4,4,0,0,116,0,5,7,86,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2017,Virginia,3470,VA01601,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,3,38,12,5,6,1,94,4,4,0,0,152,0,4,4,110,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2016,Virginia,3478,VA01601,0,0,0,1,0,1,1,0,1,0,0,1,0,56,0,1,0,0,55,5,2,3,0,97,0,0,0,0,161,0,1,4,102,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2015,Virginia,3462,VA01601,0,0,0,0,0,1,0,1,1,0,0,0,1,49,1,0,0,0,48,15,7,8,0,110,4,3,1,0,180,0,1,3,129,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2014,Virginia,3499,VA01601,0,0,0,0,0,0,0,0,1,1,0,0,0,38,1,2,1,2,32,8,7,1,0,66,7,6,1,0,120,0,6,7,81,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
