agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Montgomery Police Department,2010,West Virginia,1638,WV01003,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,7,8,4,4,0,33,0,0,0,0,49,0,0,1,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery Police Department,2009,West Virginia,1920,WV01003,0,0,0,0,0,0,0,0,2,1,0,1,0,7,0,0,0,0,7,11,8,3,0,35,2,1,0,1,57,0,0,2,48,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery Police Department,2008,West Virginia,1919,WV01003,0,0,0,0,0,0,0,0,1,1,0,0,0,19,1,0,0,0,18,5,3,2,0,57,0,0,0,0,82,0,1,2,62,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery Police Department,2007,West Virginia,1925,WV01003,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,16,10,6,4,0,33,5,5,0,0,65,0,1,1,48,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery Police Department,2006,West Virginia,2032,WV01003,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,0,0,0,6,17,13,4,0,31,1,1,0,0,57,0,1,2,49,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery Police Department,2005,West Virginia,2025,WV01003,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,7,4,3,0,41,1,1,0,0,60,0,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery Police Department,2004,West Virginia,1986,WV01003,0,0,0,0,0,0,0,0,1,0,1,0,0,21,0,2,0,0,19,9,2,7,0,47,2,2,0,0,80,0,2,3,58,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery Police Department,2003,West Virginia,2012,WV01003,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,18,9,4,5,0,46,3,3,0,0,77,0,1,1,58,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery Police Department,2002,West Virginia,1935,WV01003,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,4,2,2,0,21,0,0,0,0,43,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery Police Department,2001,West Virginia,1935,WV01003,0,0,0,0,0,0,0,0,1,0,0,0,1,46,0,1,1,2,42,35,20,12,3,53,1,1,0,0,136,0,4,5,89,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
