agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Rawlins Police Department,2017,Wyoming,9050,WY00401,0,0,0,0,0,3,2,1,0,0,0,0,0,142,2,4,4,14,118,28,16,7,5,142,13,5,4,4,328,24,0,0,2,1,1,0,0,0,0,0,137,2,3,4,13,115,4,4,0,0,53,7,3,2,2,203,22,0,0,0,0,0,0,0,0,0,0,37,0,0,0,1,36,1,1,0,0,10,1,1,0,0,49,1,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,7,1,0,1,0,52,12,10,2,0,73,0
Rawlins Police Department,2016,Wyoming,9004,WY00401,0,0,0,0,1,6,5,1,1,0,0,0,1,139,1,6,1,2,129,34,16,13,5,228,18,9,3,6,427,10,0,1,5,4,1,0,0,0,0,0,122,1,6,2,2,111,4,3,1,0,80,9,6,2,1,221,11,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,13,1,1,0,0,8,2,2,0,0,26,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,2,1,0,1,46,17,17,0,0,81,0
Rawlins Police Department,2015,Wyoming,9227,WY00401,0,0,0,1,0,1,1,0,0,0,0,0,0,194,7,6,4,11,166,32,12,14,6,194,14,7,4,3,436,28,0,0,0,0,0,0,0,0,0,0,170,7,3,2,10,148,2,1,1,0,47,5,2,2,1,224,22,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,25,0,0,0,0,8,1,0,0,1,35,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,1,0,1,0,60,6,6,0,0,88,0
Rawlins Police Department,2014,Wyoming,9160,WY00401,0,0,0,0,0,1,1,0,0,0,0,0,0,226,5,8,8,4,201,15,8,6,1,166,18,15,3,0,426,25,0,0,0,0,0,0,0,0,0,0,198,5,7,8,4,174,4,3,1,0,53,5,5,0,0,260,24,0,0,0,0,0,0,0,0,0,0,21,0,1,2,0,18,0,0,0,0,11,2,2,0,0,34,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,32,5,5,0,0,45,0
Rawlins Police Department,2013,Wyoming,9081,WY00401,0,0,0,0,0,2,2,0,1,0,1,0,0,244,3,8,6,10,217,39,18,16,5,185,11,9,1,1,482,27,0,0,1,1,0,0,0,0,0,0,218,2,8,5,5,198,3,1,2,0,43,7,7,0,0,272,20,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,18,1,1,0,0,11,0,0,0,0,31,1,0,0,2,1,1,0,0,0,0,0,14,0,1,0,0,13,1,0,1,0,28,10,9,1,0,55,1
Rawlins Police Department,2012,Wyoming,9337,WY00401,0,0,0,0,0,9,6,3,0,0,0,0,0,218,0,2,9,5,202,39,14,20,5,204,15,8,1,6,485,16,0,0,6,4,2,0,0,0,0,0,188,0,1,6,4,177,6,2,4,0,52,8,6,1,1,260,11,0,0,1,1,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,7,1,1,0,0,33,0,0,0,1,1,0,0,0,0,0,0,5,0,0,1,0,4,5,3,0,2,34,9,8,1,0,54,1
Rawlins Police Department,2011,Wyoming,9333,WY00401,0,0,1,0,0,1,1,0,0,0,0,0,0,263,1,9,26,7,220,40,18,17,5,224,14,7,3,4,542,43,0,0,1,1,0,0,0,0,0,0,196,1,9,17,6,163,5,1,4,0,40,5,1,3,1,247,33,0,0,1,1,0,0,0,0,0,0,33,0,2,2,0,29,1,0,1,0,16,2,1,0,1,53,4,0,0,1,1,0,0,0,0,0,0,10,0,1,0,0,9,4,1,3,0,21,10,7,0,3,46,1
Rawlins Police Department,2010,Wyoming,9259,WY00401,0,0,0,0,0,3,3,0,0,0,0,0,0,220,1,9,3,9,198,31,15,13,3,229,7,2,3,2,490,22,0,0,3,3,0,0,0,0,0,0,181,1,7,3,7,163,6,3,3,0,48,3,0,2,1,241,18,0,0,0,0,0,0,0,0,0,0,40,0,2,0,0,38,2,0,2,0,15,0,0,0,0,57,2,0,0,6,6,0,1,0,0,0,1,18,0,1,0,0,17,2,0,1,1,36,3,2,0,1,66,1
Rawlins Police Department,2009,Wyoming,8716,WY00401,0,0,1,0,0,1,1,0,2,0,1,0,1,226,4,7,4,5,206,36,23,11,2,254,20,10,4,6,539,20,0,0,1,1,0,2,0,1,0,1,169,5,6,5,3,150,10,4,6,0,67,3,3,0,0,252,19,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,25,3,1,2,0,28,2,2,0,0,59,1,0,0,2,2,0,0,0,0,0,0,13,1,0,0,0,12,4,0,4,0,24,1,0,1,0,44,1
Rawlins Police Department,2008,Wyoming,8651,WY00401,0,0,1,0,0,3,3,0,1,0,0,0,1,250,2,9,6,6,227,37,19,14,4,237,10,6,3,1,538,23,0,0,2,2,0,1,0,0,0,1,203,2,9,6,4,182,6,4,2,0,53,4,3,1,0,269,21,0,0,0,0,0,0,0,0,0,0,52,0,4,3,1,44,3,3,0,0,9,2,2,0,0,66,8,0,0,1,1,0,0,0,0,0,0,9,1,0,0,0,8,9,3,5,1,17,4,2,1,1,40,1
Rawlins Police Department,2007,Wyoming,8572,WY00401,0,0,0,1,0,5,5,0,3,0,0,1,2,272,6,9,12,18,227,53,23,23,7,307,17,8,3,6,658,45,1,0,1,1,0,1,0,0,1,0,230,6,10,6,15,193,8,6,2,0,52,5,3,0,2,298,37,0,0,0,0,0,0,0,0,0,0,50,2,1,1,0,46,6,6,0,0,18,1,0,0,1,75,4,0,0,1,1,0,0,0,0,0,0,8,0,1,0,0,7,6,1,2,3,25,5,4,0,1,45,1
Rawlins Police Department,2006,Wyoming,8755,WY00401,0,0,0,0,0,2,1,1,4,0,0,0,4,281,4,5,12,13,247,47,24,19,4,332,20,8,7,5,686,34,0,0,1,1,0,1,0,0,0,1,239,4,5,8,9,213,10,7,3,0,66,10,5,1,4,327,26,0,0,0,0,0,0,0,0,0,0,36,2,1,0,0,33,3,2,1,0,21,1,1,0,0,61,3,0,0,2,1,1,0,0,0,0,0,11,0,0,0,1,10,9,3,4,2,26,7,5,2,0,55,1
Rawlins Police Department,2005,Wyoming,8680,WY00401,0,0,1,0,0,3,2,1,4,0,0,1,3,266,2,13,3,9,239,57,26,22,9,332,33,14,4,15,695,27,0,0,3,2,1,1,0,0,1,0,159,2,10,3,9,135,8,5,3,0,68,8,5,0,3,247,24,0,0,0,0,0,0,0,0,0,0,37,0,3,0,1,33,2,2,0,0,11,1,1,0,0,51,4,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,3,4,2,2,0,27,4,2,2,0,39,0
Rawlins Police Department,2004,Wyoming,8756,WY00401,0,0,2,0,0,1,0,1,3,1,1,0,1,234,6,7,5,17,199,90,48,29,13,313,33,13,1,19,674,35,0,0,1,0,1,0,0,0,0,0,209,6,7,3,14,179,16,14,2,0,59,4,4,0,0,289,30,0,0,0,0,0,0,0,0,0,0,56,2,0,0,0,54,0,0,0,0,19,1,1,0,0,76,2,0,0,2,2,0,0,0,0,0,0,4,0,1,1,0,2,9,1,6,2,34,6,2,4,0,55,2
Rawlins Police Department,2003,Wyoming,8733,WY00401,0,0,1,1,1,3,2,1,1,0,0,0,1,222,6,6,4,8,198,78,39,27,12,286,14,10,2,2,606,24,1,0,2,1,1,0,0,0,0,0,144,6,5,4,6,123,8,5,3,0,57,9,8,1,0,221,21,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,22,3,1,2,0,23,3,3,0,0,52,1,0,0,1,1,0,0,0,0,0,0,9,0,0,1,0,8,9,4,2,3,29,10,8,1,1,58,1
Rawlins Police Department,2002,Wyoming,8624,WY00401,0,0,0,0,0,6,2,4,5,1,2,1,1,185,2,12,4,3,164,67,25,29,13,284,19,10,5,4,566,21,0,0,5,1,4,4,0,2,1,1,134,1,11,4,3,115,5,3,1,1,61,8,6,1,1,217,19,0,0,0,0,0,1,0,1,0,0,25,0,4,0,0,21,1,0,1,0,25,0,0,0,0,52,4,0,0,2,2,0,1,0,0,0,1,2,0,0,0,0,2,1,0,1,0,17,5,2,2,1,28,0
Rawlins Police Department,2001,Wyoming,8549,WY00401,0,0,1,0,0,2,2,0,0,0,0,0,0,152,3,8,9,5,127,52,16,31,5,291,9,2,0,7,506,25,0,0,2,2,0,0,0,0,0,0,95,3,8,10,5,69,12,3,7,2,48,4,2,0,2,161,26,0,0,0,0,0,0,0,0,0,0,12,1,2,0,0,9,1,0,1,0,25,2,2,0,0,40,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,3,2,0,19,8,6,0,2,35,0
Rawlins Police Department,2000,Wyoming,8538,WY00401,0,0,2,0,0,0,0,0,1,0,0,0,1,109,3,6,5,4,91,50,22,24,4,244,5,3,0,2,409,18,0,0,0,0,0,0,0,0,0,0,89,3,5,5,4,72,9,6,3,0,80,3,2,0,1,181,17,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,5,5,0,0,36,2,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,4,1,3,0,12,9,4,3,2,33,0
Rawlins Police Department,1999,Wyoming,8723,WY00401,0,0,5,0,0,0,0,0,1,0,0,0,1,86,1,0,5,0,80,53,24,20,9,261,9,2,2,5,410,6,0,0,0,0,0,1,0,0,0,1,80,1,0,4,0,75,6,3,2,1,80,4,2,0,2,171,5,0,0,0,0,0,1,0,0,0,1,26,0,0,1,0,25,2,0,1,1,41,2,1,0,1,72,1,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,3,6,0,4,2,17,6,3,3,0,33,0
Rawlins Police Department,1998,Wyoming,8901,WY00401,0,0,0,0,0,1,0,1,0,0,0,0,0,104,1,5,3,11,84,73,32,35,6,237,18,8,6,4,433,20,0,0,0,0,0,0,0,0,0,0,102,1,5,3,11,82,14,7,7,0,67,7,3,2,2,190,20,0,0,0,0,0,0,0,0,0,0,29,0,0,2,2,25,6,4,2,0,30,3,0,1,2,68,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6,0,5,1,6,1,0,0,1,15,0
Rawlins Police Department,1997,Wyoming,9315,WY00401,0,0,3,1,0,3,2,1,1,0,0,0,1,120,1,0,3,24,92,60,26,23,11,265,10,5,2,3,460,28,1,0,0,0,0,1,0,0,0,1,100,1,0,3,20,76,15,4,9,2,59,6,5,0,1,182,24,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,19,2,0,2,0,28,1,0,0,1,52,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,0,1,0,2,0,0,0,0,6,1
Rawlins Police Department,1996,Wyoming,9335,WY00401,0,0,1,2,0,5,5,0,2,2,0,0,0,171,2,3,2,6,158,57,28,14,15,270,8,6,2,0,515,13,0,0,0,0,0,0,0,0,0,0,145,1,3,2,5,134,10,9,0,1,50,2,2,0,0,207,11,0,0,0,0,0,0,0,0,0,0,33,0,3,0,3,27,3,3,0,0,17,0,0,0,0,53,6,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,3,1,1,1,12,0,0,0,0,37,0
Rawlins Police Department,1995,Wyoming,9316,WY00401,0,0,0,0,0,2,2,0,2,0,1,1,0,171,0,3,4,16,148,47,31,14,2,223,15,7,4,4,460,23,0,0,0,0,0,1,0,1,0,0,153,0,1,2,16,134,10,6,3,1,76,11,4,4,3,251,19,0,0,0,0,0,1,0,1,0,0,39,0,0,1,6,32,4,3,1,0,36,1,0,1,0,81,7,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,6,1,0,1,0,4,0,0,0,0,12,0
Rawlins Police Department,1994,Wyoming,9376,WY00401,0,0,0,0,0,1,1,0,0,0,0,0,0,169,0,1,2,8,158,57,20,32,5,277,13,1,9,3,517,11,0,0,0,0,0,0,0,0,0,0,153,0,1,1,5,146,7,2,5,0,92,4,0,3,1,256,7,0,0,0,0,0,0,0,0,0,0,29,0,1,0,1,27,3,1,2,0,45,0,0,0,0,77,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0
Rawlins Police Department,1993,Wyoming,9258,WY00401,0,0,2,1,0,2,1,0,4,0,2,1,1,151,0,1,3,1,146,51,29,8,6,232,8,2,2,4,449,5,1,0,0,0,0,1,0,0,1,0,123,0,1,3,1,118,9,6,2,0,83,3,0,1,2,220,5,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,18,0,0,0,0,38,0,0,0,0,57,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2,1,1,0,3,2,1,0,1,11,0
Rawlins Police Department,1992,Wyoming,9636,WY00401,0,0,1,0,0,3,3,0,1,0,0,0,1,150,0,4,4,5,137,80,42,29,9,291,17,7,2,8,542,13,0,0,3,3,0,0,0,0,0,0,117,0,3,4,4,106,8,4,4,0,48,2,0,0,2,178,11,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,1,0,1,0,33,0,0,0,0,55,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,3,1,1,0,0,8,0,0,0,0,14,0
Rawlins Police Department,1991,Wyoming,9512,WY00401,0,0,1,0,0,0,0,0,1,0,0,0,1,131,1,0,6,3,121,73,40,27,6,345,13,9,0,4,563,10,0,0,0,0,0,1,0,0,0,1,113,1,0,5,3,104,8,6,2,0,87,2,2,0,0,211,9,0,0,0,0,0,1,0,0,0,1,32,0,0,0,0,32,2,0,2,0,38,2,2,0,0,75,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,6,3,2,1,0,5,1,0,1,0,16,0
