state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Virginia,2016,6547604,5404922,8411808,4275793,4136015,3365097,3182507,2725776,2679146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,2015,6513104,5420396,8382993,4264266,4118727,3348381,3164723,2735866,2684530,40,313,353,0,2,2,0,0,0,40,315,355
Virginia,2014,6459130,5407290,8326289,4231186,4095103,3319412,3139718,2725121,2682169,NA,NA,NA,46,285,331,NA,NA,NA,46,285,331
Virginia,2013,6397091,5383242,8260405,4204129,4056276,3287903,3109188,2713685,2669557,NA,NA,NA,23,270,293,NA,NA,NA,23,270,293
Virginia,2012,6330863,5357455,8185867,4176369,4009498,3269204,3061659,2712426,2645029,NA,NA,NA,21,258,279,NA,NA,NA,21,258,279
Virginia,2011,6243412,5304359,8096604,4113099,3983505,3214010,3029402,2678680,2625679,NA,NA,NA,26,281,307,NA,NA,NA,26,281,307
Virginia,2010,6171111,5261338,8024617,4081919,3942698,3181831,2989280,2659944,2601394,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,275,306
Virginia,2009,6036341,5149897,7882590,4010193,3872397,3110591,2925750,2596542,2553355,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,398,433
Virginia,2008,5941173,5074881,7769089,3946834,3822255,3060577,2880596,2556667,2518214,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,398,433
Virginia,2007,5878890,5034717,7712091,3922991,3789100,3031326,2847564,2534696,2500021,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,322,358
Virginia,2006,5835933,5007717,7642884,3885258,3757626,3008633,2827300,2522824,2484893,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,323,368
Virginia,2005,5510784,4743193,7320848,3760650,3560198,2867617,2643167,2424948,2318245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330
Virginia,2004,5430699,4678974,7219758,3694086,3525672,2822851,2607848,2386256,2292718,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,288,302
Virginia,2003,5360674,4629289,7150715,3662527,3488188,2789582,2571092,2364268,2265021,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,352,361
Virginia,2002,5293745,4573830,7063475,3632993,3430482,2765154,2528591,2344174,2229656,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,394,425
Virginia,2001,5163018,4444425,6955099,3578222,3376877,2699527,2463491,2274998,2169427,44,394,438,2,67,69,NA,NA,NA,46,461,507
Virginia,2000,5034454,4363762,6761816,3469341,3292475,2637040,2397414,2239802,2123960,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,504,550
Virginia,1999,4999195.2,4334424.6,6703755.9,3437412.3,3266343.6,2615224.5,2383970.7,2220447,2113977.6,0,0,0,0,280,280,0,50,50,0,330,330
Virginia,1998,4963936.4,4305087.2,6645695.8,3405483.6,3240212.2,2593409,2370527.4,2201092,2103995.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453
Virginia,1997,4928677.6,4275749.8,6587635.7,3373554.9,3214080.8,2571593.5,2357084.1,2181737,2094012.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,1996,4893418.8,4246412.4,6529575.6,3341626.2,3187949.4,2549778,2343640.8,2162382,2084030.4,NA,NA,275,NA,NA,108,NA,NA,0,28,355,383
Virginia,1995,4858160,4217075,6471515.5,3309697.5,3161818,2527962.5,2330197.5,2143027,2074048,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,134,134
Virginia,1994,4822901.2,4187737.6,6413455.4,3277768.8,3135686.6,2506147,2316754.2,2123672,2064065.6,NA,NA,196,NA,NA,89,NA,NA,NA,18,267,285
Virginia,1993,4787642.4,4158400.2,6355395.3,3245840.1,3109555.2,2484331.5,2303310.9,2104317,2054083.2,NA,NA,177,NA,NA,30,NA,NA,NA,12,195,207
Virginia,1992,4752383.6,4129062.8,6297335.2,3213911.4,3083423.8,2462516,2289867.6,2084962,2044100.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112
Virginia,1991,4717124.8,4099725.4,6239275.1,3181982.7,3057292.4,2440700.5,2276424.3,2065607,2034118.4,NA,NA,121,NA,NA,31,NA,NA,0,NA,NA,152
