agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total
Lincoln County Sheriff's Office,2023,Colorado,2650,CO03700,1,5010000,210050,0,100000,0,5320051,1640001,0,2920000,2995,10000,5926500,0,11,315,10000,5949821,19000,0,383900,402900,0,1,0,0,7600007,0,0,10,100000,1000100,0,0,14,616700017,400021941,702000000,10000000,40000,20000020,1095,0,10000000,117515450,10001200,0,10000000,15156,501000000,3,0,688100016,987000516,30700003,201000,545031290,10040,1000000,502500006,60,200100000,645000020,20010000,0,10000975,700,100323,1009,1700008100,100000,0,159001000,750015002,9750001,0,202,10400,1083900,300020000,272100,210000,20001016,670002000,829550324,6062003,101870,156670342,25000,2005,1045000751
Lincoln County Sheriff's Office,2022,Colorado,2869,CO03700,0,0,0,10000,100000,1,110001,648800,0,0,86740,0,15215,0,0,10206,0,112161,6488000,0,1,6488001,5000000,1,0,9,5100070,20000,0,10,1,100,1000000,0,64975,3123494,41676307,1041163,10422045,0,0,9990,902376,20823269,216041506,10411675,0,10411634,42851,520581692,0,41648097,12493961,215520934,10411634,104158,619513251,10412,10411634,158256834,728814369,104116,41664760,10412,41646535,42,0,10619933,0,989107713,104897,0,1041,120,916223778,780872538,328,0,0,41656947,1041163,62477,1436805678,0,641096772,13645318,104116,1322277835,1561746,1108,723608552
Lincoln County Sheriff's Office,2021,Colorado,2887,CO03700,0,10000,0,0,100000,22,110022,0,109001,2000000,10,1510000,51013,0,0,509,10000,1571532,10000,6500000,25001,6535001,10,5,0,0,3540004,300,0,10,0,100,0,0,6,97717800,328373634,1013161530,11244856,0,0,1856173,1012037045,33734569,535817391,1172,0,11244856,46645,563367288,112449,47254161,22489712,575624207,24320376,0,1059301996,0,23051957,328687157,338470167,47228395,26920,11245,0,13495,0,22489712,135,967057621,113011,0,0,674699823,0,168673965,25,730926888,140561,1216693425,157428,2015079,573,888343628,82256359,5435763,112449,102654473,1,0,353110970
Lincoln County Sheriff's Office,2020,Colorado,2948,CO03700,0,0,0,0,100000,10004,110004,313001,50000,0,0,0,3000500,0,0,2005,10000,3012505,130000,1,50000,180001,0,0,30,0,500001,0,0,100000,100000,100,0,0,1300,18,117731235,353194,11773124,0,12,0,1177312,0,3532055,12963975,0,11773124,25916,1177312,0,5445,2119162,5886562,1,117731,12956,0,11773124,545802006,589833488,588656176,12317,11773,0,13,153051,11773195,353194,2119,0,0,35319371,0,366144141,353193706,118,0,176597,353218782,0,13550865,0,0,119261874,12126,0,0,0,0,0
Lincoln County Sheriff's Office,2019,Colorado,2925,CO03700,0,5000000,950000,0,100000,0,6050000,275100,0,0,3000,5000010,33,0,0,0,10000,5013043,2764300,0,1,2764301,0,0,0,0,100000,0,0,100010,200001,100,1000000,0,27510,300223405,595942563,1072651944,0,0,0,683,0,11918356,5959177,10131,0,0,34367,0,0,0,29199971,3813933,29795887,0,682925313,0,0,4,0,357550648,3279,11918,0,3584,683,32,36,17282,120018,0,1192,29835,619754458,595921322,278,2742,357551,464839679,124547,7413217,607955314,1179917138,39926901,706758,121090,29784118,0,32,682933656
Lincoln County Sheriff's Office,2018,Colorado,2876,CO03700,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,910,0,0,0,0,0,910,44897,0,0,0,0,0,0,0,0,0,0,49,0,1394,1443,92147,0,0,0,0,0,0,0,0,1443,0,0,0,363,910,0,0,44897,1080,0,0,47250,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln County Sheriff's Office,2017,Colorado,2937,CO03700,3,4,0,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,3,9,12,0,0,0,0,0,0,0,0,12,0,0,0,0,27130,3648,0,0,0,0,30778,69736,0,0,0,0,0,0,0,0,0,0,0,553,12335,12888,113403,0,0,0,0,0,0,0,0,12888,0,5961,1367,622,25259,2486,0,68991,8718,0,0,113403,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln County Sheriff's Office,2016,Colorado,2918,CO03700,7,4,0,2,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,1,2,0,0,0,0,4,0,0,0,0,5325,21666,0,0,10243,0,37233,63478,0,0,0,0,0,0,0,0,0,0,0,0,6264,6264,106975,0,0,350,1165,0,0,0,0,4748,0,3301,350,0,23530,0,0,63478,16316,0,0,106975,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln County Sheriff's Office,2015,Colorado,2921,CO03700,4,1,0,0,1,0,6,4,0,0,0,0,0,0,0,0,0,0,2,4,12,18,5,0,0,0,0,0,0,0,13,0,0,0,0,4499,2893,0,225,0,0,7617,16552,0,0,0,0,0,0,0,0,0,0,0,668,11757,12425,36594,630,0,0,0,0,0,0,0,11795,0,0,1581,0,6492,0,0,13981,14540,0,0,36594,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln County Sheriff's Office,2014,Colorado,2881,CO03700,0,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,6,7,0,0,0,0,1,0,0,0,6,0,0,2,0,0,0,579,0,6049,0,6629,3990,0,0,0,0,0,0,0,0,0,0,0,170,37615,37785,48404,0,0,0,0,257,0,0,0,37528,0,0,5792,0,579,0,0,3990,16555,257,21231,48404,0,0,0,0,0,0,0,3025,0,257,0,3282
Lincoln County Sheriff's Office,2013,Colorado,2893,CO03700,0,0,4,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,2,6,8,0,0,0,1,0,0,0,0,7,0,0,1,0,0,0,1936,0,0,131,2067,20928,0,0,0,0,0,0,0,0,0,0,0,196,55934,56130,79125,0,0,0,65,0,0,0,0,56065,0,0,343,0,1936,0,0,20928,55918,0,0,79125,0,0,0,0,0,0,0,20928,0,0,0,20928
Lincoln County Sheriff's Office,2012,Colorado,2890,CO03700,0,1,4,0,0,4,9,1,0,0,0,0,0,0,0,0,0,0,1,2,15,18,3,0,0,0,0,0,0,0,15,0,0,0,0,80,0,4088,0,0,23397,27565,4645,0,0,0,0,0,0,0,0,0,0,0,199,63973,64172,96382,3809,0,0,0,0,0,0,0,60363,46,106,4054,1593,1991,664,0,4645,82553,730,0,96382,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln County Sheriff's Office,2011,Colorado,2906,CO03700,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,3,5,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,679,0,679,0,0,0,0,0,0,0,0,0,0,0,19,0,2776,2795,3473,0,0,0,0,2100,0,0,18,677,0,679,0,1829,0,0,0,0,966,0,0,3473,0,0,0,0,0,0,0,0,676,0,0,676
Lincoln County Sheriff's Office,2010,Colorado,2857,CO03700,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20960,0,0,0,0,0,0,0,0,0,0,0,0,16768,16768,37729,0,0,0,0,0,0,0,0,16768,0,0,16768,0,0,0,0,20960,0,0,0,37729,0,0,0,0,0,0,0,0,0,0,0,0
