agency,year,state,population,ORI,offenses_burglary_resident_day,offenses_burglary_resident_night,offenses_burglary_resident_unknown,offenses_burglary_nonresident_day,offenses_burglary_nonresident_night,offenses_burglary_nonresident_unknown,offenses_burglary_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_miscellaneous,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_picking_pocket,offenses_theft_purse_snatching,offenses_theft_shoplifting,offenses_theft_all_other,value_burglary_resident_night,value_burglary_resident_day,value_burglary_resident_unknown,value_burglary_nonresident_night,value_burglary_nonresident_day,value_burglary_nonresident_unknown,value_burglary_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_miscellaneous,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_picking_pocket,value_theft_purse_snatching,value_theft_shoplifting,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewelry_metal,value_stolen_livestock,value_stolen_local_motor_vehicle,value_stolen_miscellaneous,value_stolen_office_equipment,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_household_good,value_recovered_jewelry_metal,value_recovered_livestock,value_recovered_local_motor_vehicle,value_recovered_miscellaneous,value_recovered_office_equipment,value_recovered_tv_and_radio,value_recovered_total
Long County Sheriff's Office,2023,Georgia,17727,GA09100,0,2050000,330000,1,100000,0,2480001,604500,0,0,30,6,6,30,0,20000,2072500,2092572,5340001,0,10004,5350005,100000,0,10000,100000,1,50,0,10,100004,86301301,701160102,901000100,10000000,100,1100010,10000,0,10000000,61200100,1700,0,10000000,21860,201012500,200000,100020,2,3000510,0,200600,50000,0,0,4000000,2000000,200110000,6025,10000,100010,1,0,60,1010008,100000000,100000,1,2000,500000006,450010004,10001000,406,0,210000,701007251,10100010,10241000,200000001,780001000,26020201,10010005,101750,10300610,0,31053,0
Long County Sheriff's Office,2022,Georgia,16376,GA09100,1,3000000,0,1,100001,1,3100004,766402,130001,0,283,40010,4011211,100,400000,22472,2300,4476376,3323003,1001000,10001,4334004,0,0,10000,2,20016,0,153,100010,100001,586181196,420787743,106198769,10411634,104,3123490,104224,209273840,64552131,1458462,187829,0,10526162,41970,416465354,104223,2292121,241549905,221976669,17179205,104430,588288851,10414,10411635,157320837,210315004,104220559,107253115,156184919,2082847,3,104117901,10619987,32276,20856585,105158,0,41647577,114533189,655943347,31236985,1041,324,114528,420640431,22020616,10550112,114527972,3126,64594538,35403,208337,322781956,1,1067,796502015
Long County Sheriff's Office,2021,Georgia,18374,GA09100,8,1089000,8900,700002,100000,1000008,2897918,677801,6612015,0,21971,10000,4015910,8000220,1095000,6677,101001,13250779,106022,2000000,418902,2524924,100001,1,600000,10,5660001,129,1,100010,200010,1349476,46115733,112557523,11256101,112,20240831,224917,439722337,21365226,1295969661,112662,0,11344935,240434,566098664,225010,113573058,45542793,115035451,22489712,112449,21410855,0,22489714,1519922551,1124486,1574282,1194912,89970093,113708,22489712,0,11244976,1125610,179964363,112449,11245,44981673,124853683,878897952,168676215,1068297443,168672842,416060,608372306,12369342,11379795,11244857,337346806,957780885,26992,114012,1473543,16867,12,1022157415
Long County Sheriff's Office,2020,Georgia,17822,GA09100,4000015,2010509,1030,1200001,100000,1700003,9011558,314404,2,11,21042,40000,42639,30100,1,30731,13700,178213,34001,3501000,315023,3850024,0,3,5000000,100012,8190001,500,377,1000010,200001,121498909,142495118,235462470,270817169,576883288,121263172,4329334,588968164,23546248,647639878,11774090,0,11784897,406718,357903073,235462,27462826,347895800,1152023892,90774321,471985,599312467,203086,40617277,122676107,390867701,1295161,567514778,117743008,120203591,2355581,0,35554881,118921505,11777833,294446,0,15907844,482745336,609023680,11775479,399,11776080,423856,142482638,235462,36518,212051031,23548602,1502663032,42101882,6463563,53005904,17660863,24729,1172673742
Long County Sheriff's Office,2019,Georgia,17329,GA09100,3,7106679,262860,4300001,100000,9020000,20789543,1150910,6531350,6740000,95500,5050380,50785,1521310,47410,10753,1020000,7796138,4640001,3950001,196303,8786305,6000003,5100003,0,2,900001,4834,200,251,200002,864844069,904701692,1366678,313586697,119,143261916,55683,953613203,83429678,905803197,715113750,1192074,12001783,477156244,7341707,357682,120214,59591784,1036905810,510105641,598552,841511095,109148,171625511,993419095,251477668,988628019,270588011,11918,120494568,120378282,597296002,36196187,1195416,358,7866353,1,3576,1251440763,201420222,595923707,59592754,595942181,13849128,1429050607,596394481,51754281,1191923570,417146003,716890023,23562678,181767,439669501,12156723,1205,901027998
Long County Sheriff's Office,2018,Georgia,17405,GA09100,26,16,0,11,8,0,61,14,1,5,0,0,0,0,0,1,0,1,18,9,49,76,1,0,0,9,16,0,0,1,49,45283,88820,0,4889,17045,0,156037,156657,0,0,0,0,0,0,0,36,0,36,222,1081,119846,121149,590536,1,0,0,17870,32886,0,0,57,70334,5172,4863,36568,20537,12815,42029,1,225445,54174,273,32002,433879,0,1031,7,3762,426,0,0,123164,743,0,2221,131353
Long County Sheriff's Office,2017,Georgia,16930,GA09100,36,24,0,14,12,0,86,13,0,8,0,0,0,0,0,0,2,2,18,13,60,91,3,0,0,8,12,0,0,0,68,26874,63838,0,13910,288327,0,392949,82219,0,0,0,0,0,0,0,0,2472,2472,277,1566,107627,109470,587111,1889,0,0,3171,32066,0,0,0,72343,5499,1667,17184,20618,5036,21555,124,114304,331464,18777,50883,587111,732,0,0,2106,186,2486,0,59858,33103,0,1889,100361
Long County Sheriff's Office,2016,Georgia,16234,GA09100,42,17,0,12,6,0,77,17,1,1,0,0,0,0,0,0,2,2,16,11,50,77,1,5,0,10,14,0,0,0,47,50141,85140,0,63290,6461,0,205031,89251,0,0,0,0,0,0,0,0,1042,1042,223,1532,68208,69964,365288,254,571,0,4343,8868,0,0,0,55928,1621,23704,16645,13502,7693,33981,25,140522,74466,1815,51314,365288,0,3277,0,5504,254,3174,0,41262,3249,0,4781,61500
Long County Sheriff's Office,2015,Georgia,15722,GA09100,36,30,5,9,4,4,88,18,0,4,0,1,0,0,0,1,4,6,17,18,61,96,3,0,0,12,15,0,4,0,62,56727,43349,30967,10414,6981,1428,149866,169291,0,0,0,193,0,0,0,276,3429,3898,177,2314,127548,130039,453095,5529,0,0,5942,35763,0,717,0,82087,7239,1611,15309,20515,4739,42308,0,174324,116114,1028,69908,453095,0,129,0,4562,0,3985,0,35739,28366,14141,4831,91754
Long County Sheriff's Office,2014,Georgia,15200,GA09100,74,32,0,11,11,0,128,23,1,1,0,0,0,1,0,1,1,3,28,22,65,115,5,6,0,14,14,1,0,1,74,79681,108394,0,6327,12325,0,206728,241738,0,0,0,0,0,232,0,103,8,342,311,3312,155807,159430,608238,5807,337,0,6152,14076,129,0,1,132927,5401,8187,41655,30381,8056,102816,997,230766,72521,8181,99277,608238,0,0,0,257,232,1351,0,94576,1686,77,2946,101126
Long County Sheriff's Office,2013,Georgia,14604,GA09100,49,19,0,4,1,0,73,9,0,1,0,0,0,0,0,0,0,0,31,11,40,82,3,4,0,8,4,1,0,1,61,19374,148964,0,1962,6679,0,176978,51186,0,0,0,0,0,0,0,0,0,0,642,3988,169885,174515,402679,33157,510,0,6859,26972,3,0,16,106999,5913,722,49091,20718,12889,52089,927,67040,141429,2806,49056,402679,392,16,0,916,144,0,785,19620,39794,0,0,61666
