agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total,price,in_2023_dollars
Church Point Police Department,2023,Louisiana,4021,LA00103,8,10000,0,400000,100000,10000,520008,33500,0,0,3980,0,0,300000,398368,2600,23000,727948,305001,0,1,305002,2,3,0,0,0,0,0,10,0,8000110,3000,30,3350,36800000,201049836,800003000,10020000,1000,0,200000000,21020200,293000000,20000000,1300201,1000,10000000,10220,0,0,1000001,10000000,1100,0,200000,43300,20,11300001,200332,236800020,100000,50373,10000,18,10032000,100000036,330000003,0,0,200000,0,0,100002,360000000,0,102,13000,3450000,881000201,0,1,2100003,680000000,3032203,0,100000,3680000,10,0,0,1,1
Church Point Police Department,2023,Louisiana,4021,LA00103,8,10000,0,400000,100000,10000,520008,33500,0,0,3980,0,0,300000,398368,2600,23000,727948,305001,0,1,305002,2,3,0,0,0,0,0,10,0,8000110,3000,30,3350,36800000,201049836,800003000,10020000,1000,0,200000000,21020200,293000000,20000000,1300201,1000,10000000,10220,0,0,1000001,10000000,1100,0,200000,43300,20,11300001,200332,236800020,100000,50373,10000,18,10032000,100000036,330000003,0,0,200000,0,0,100002,360000000,0,102,13000,3450000,881000201,0,1,2100003,680000000,3032203,0,100000,3680000,10,0,0,1,1
Church Point Police Department,2022,Louisiana,4106,LA00103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.04116338383745
Church Point Police Department,2022,Louisiana,4106,LA00103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.04116338383745
Church Point Police Department,2021,Louisiana,4344,LA00103,0,9010000,3,100001,8100001,0,17210005,243901,0,0,28,100000,2003000,0,10,30,10001,2113069,411002,1000,1,412003,1,0,20,100000,3000000,600,0,100010,100002,100,3800,0,4550,23614199,404856514,258632,11244856,0,2248971,22508943,113573046,0,112,1642,0,11244856,12774,112448561,0,1,22489712,1529320,11244856,0,2261373,0,22489825,2250253,226021760,0,1123372814,0,1,112449684,0,11244906,11255,11244856,112449,0,22489712,1113240749,438549386,11244856,19116,1,539753,404814818,112449,0,134947,0,12491,2251,112449,8996245,0,4,2248971,1,1.12448560525052
Church Point Police Department,2021,Louisiana,4344,LA00103,0,9010000,3,100001,8100001,0,17210005,243901,0,0,28,100000,2003000,0,10,30,10001,2113069,411002,1000,1,412003,1,0,20,100000,3000000,600,0,100010,100002,100,3800,0,4550,23614199,404856514,258632,11244856,0,2248971,22508943,113573046,0,112,1642,0,11244856,12774,112448561,0,1,22489712,1529320,11244856,0,2261373,0,22489825,2250253,226021760,0,1123372814,0,1,112449684,0,11244906,11255,11244856,112449,0,22489712,1113240749,438549386,11244856,19116,1,539753,404814818,112449,0,134947,0,12491,2251,112449,8996245,0,4,2248971,1,1.12448560525052
Church Point Police Department,2020,Louisiana,4336,LA00103,8350006,8010003,5000000,0,100000,0,21460009,250,303000,37000,1010040,3010000,3420,3023,5015000,30078,2,9071563,88000,9000000,11,9088011,0,100000,0,100000,910000,0,6,200010,300000,1000100,0,0,7,1350848435,27115152,588697617,12138090,0,2354634,355431566,861792642,60042936,1368154873,1675,0,11872018,84710,824118764,353194,230,11784897,32964912,31198781,353194,96601160,176632,1,2356993,1735358407,27078184,456811210,11773,44737869,14588,0,12008586,164823759,341526540,118791,98894,2355,1036058501,22039290,777029684,145987427,1000741991,1530506,1192617531,235462,13368385,117741935,188373508,684454664,41619170,3885248,103780815,1177,188370,96551387,1,1.17731235192711
Church Point Police Department,2020,Louisiana,4336,LA00103,8350006,8010003,5000000,0,100000,0,21460009,250,303000,37000,1010040,3010000,3420,3023,5015000,30078,2,9071563,88000,9000000,11,9088011,0,100000,0,100000,910000,0,6,200010,300000,1000100,0,0,7,1350848435,27115152,588697617,12138090,0,2354634,355431566,861792642,60042936,1368154873,1675,0,11872018,84710,824118764,353194,230,11784897,32964912,31198781,353194,96601160,176632,1,2356993,1735358407,27078184,456811210,11773,44737869,14588,0,12008586,164823759,341526540,118791,98894,2355,1036058501,22039290,777029684,145987427,1000741991,1530506,1192617531,235462,13368385,117741935,188373508,684454664,41619170,3885248,103780815,1177,188370,96551387,1,1.17731235192711
Church Point Police Department,2019,Louisiana,4424,LA00103,10007,1650000,0,10000,110000,140000,1920007,46339,1,1,11230,9200000,22608,4600,19111,31225,45100,9333874,143413,382002,165001,690416,0,1,0,0,0,360,77,5200011,200004,5000000,3000300,2,4685,9296794,119274169,476734317,12091171,120375,5959206,7271,715101415,0,3814266,119183549,14897944,11942192,36341,238367099,238486,119505,220489567,73298151,47673420,238367,119232325,222873,11918356,46183625,238367099,119303,1061949651,13110,4886526,26817361,250300,23955898,82500054,595917759,119184,12,3576,1048815293,989223463,262203809,429061135,23837,297959,476734436,347300863,1632815,721060482,95348031,70581339,18884635,120077,10059602,0,35760,238367099,1,1.19183549339627
Church Point Police Department,2019,Louisiana,4424,LA00103,10007,1650000,0,10000,110000,140000,1920007,46339,1,1,11230,9200000,22608,4600,19111,31225,45100,9333874,143413,382002,165001,690416,0,1,0,0,0,360,77,5200011,200004,5000000,3000300,2,4685,9296794,119274169,476734317,12091171,120375,5959206,7271,715101415,0,3814266,119183549,14897944,11942192,36341,238367099,238486,119505,220489567,73298151,47673420,238367,119232325,222873,11918356,46183625,238367099,119303,1061949651,13110,4886526,26817361,250300,23955898,82500054,595917759,119184,12,3576,1048815293,989223463,262203809,429061135,23837,297959,476734436,347300863,1632815,721060482,95348031,70581339,18884635,120077,10059602,0,35760,238367099,1,1.19183549339627
