agency,year,state,population,ORI,offenses_burglary_resident_day,offenses_burglary_resident_night,offenses_burglary_resident_unknown,offenses_burglary_nonresident_day,offenses_burglary_nonresident_night,offenses_burglary_nonresident_unknown,offenses_burglary_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_miscellaneous,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_picking_pocket,offenses_theft_purse_snatching,offenses_theft_shoplifting,offenses_theft_all_other,value_burglary_resident_night,value_burglary_resident_day,value_burglary_resident_unknown,value_burglary_nonresident_night,value_burglary_nonresident_day,value_burglary_nonresident_unknown,value_burglary_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_miscellaneous,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_picking_pocket,value_theft_purse_snatching,value_theft_shoplifting,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewelry_metal,value_stolen_livestock,value_stolen_local_motor_vehicle,value_stolen_miscellaneous,value_stolen_office_equipment,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_household_good,value_recovered_jewelry_metal,value_recovered_livestock,value_recovered_local_motor_vehicle,value_recovered_miscellaneous,value_recovered_office_equipment,value_recovered_tv_and_radio,value_recovered_total
Stevens County Sheriff's Office,2023,Minnesota,9650,MN07500,0,5000000,500000,2200000,110000,140000,7950000,0,140000,0,11240,9300000,1436,0,10,10014,10000,9332700,10000,0,10330,20330,0,0,0,0,121000,0,0,3300010,0,620500205,67598,0,10100000,1025,43000000,143,343000000,20000002,357200200,500005000,14,10000000,10065370,300000000,0,1170,1,7000000,300000001,6,663011214,50349,10000000,101,701000000,0,260020064,300011000,10000002,200001260,1,20000000,630012,630008600,102000,10,2000,358,10000004,930000000,534,300000500,100000,22,0,5040000,133100001,200002000,36930155,10330002,100850,9800300,0,450000,663000000
Stevens County Sheriff's Office,2022,Minnesota,9769,MN07500,0,0,0,0,100000,0,100000,0,20000,0,2100,920000,16,20,0,100,500,922736,0,0,0,0,0,0,10000,0,0,0,0,10,0,2085711,1041,105157502,130145,0,0,1171,1041163,31234902,188346456,52059,0,10411634,31422,937047045,0,0,0,260290847,107,0,130145475,0,0,3,0,1171,260290846,10412,0,0,0,0,0,0,104116,10,0,104135,31234905,93704705,774,93715116,0,0,104127,41647,0,0,18834646,11452797,104116,21033,0,0,132228947
Stevens County Sheriff's Office,2021,Minnesota,4475,MN07500,0,0,2000,0,100001,8,102009,0,0,0,3000,5000000,0,0,0,0,10000,5013000,10000,0,0,10000,0,0,0,0,15000,0,9,9500010,8,3373569,11247,224897121,11244856,0,0,0,0,11244857,3936037,112448561,112449,0,22607,562580148,112449,112460,0,0,0,112,3373,0,11244856,899588488,0,0,12144,0,0,3373,0,0,34,0,562,0,0,224897132,0,506018522,10,1068261325,0,0,1068261325,224897,0,22489722,11750875,0,112449,247387,0,22490,0
Stevens County Sheriff's Office,2020,Minnesota,4441,MN07500,5,0,6000000,200000,0,2,6200007,130000,0,0,21050,0,10,100,0,0,0,21160,1300000,0,10001,1310001,0,0,0,0,10025,0,0,10,1,117731,235462588,353193706,11773124,0,0,0,117731235,0,0,235,235462,11784897,235,0,117731,68,0,117864,7711396,0,117743008,58866,11773125,431720675,941849882,235580202,58914670,1189085,0,59,0,35319386,0,0,117731,0,1177,7711,0,0,270781841,589,117731,235462536,0,35319,0,0,65929609,11773,117731,35326,0,15,647546517
Stevens County Sheriff's Office,2019,Minnesota,4380,MN07500,0,0,0,0,1100000,0,1100000,50400,10000,0,10,10000,0,10020,0,40010,0,60040,44003,0,1,44004,100000,0,0,0,0,0,0,10,100004,1191835,0,0,11918355,1191835,0,0,0,0,358,1192,119,11918355,35755,119,238605,0,0,238,0,119184,23837,0,0,1191955,0,119184,12511,1203754,119184,0,0,6,0,0,119184,0,119184,119183549,47673422,2384,238,1,0,0,0,23838,47673420,0,119,11922,119184,950,0,6,0
Stevens County Sheriff's Office,2018,Minnesota,4315,MN07500,0,1,1,0,1,1,4,0,1,1,0,0,0,0,0,0,0,0,17,5,14,36,0,0,0,4,10,0,0,0,22,6454,0,4935,2313,0,1,13703,0,0,0,0,0,0,0,0,0,0,0,34,561,62659,63254,76957,0,0,0,9953,27236,0,0,0,26066,764,1092,8285,2797,0,0,0,1,60131,3157,729,76957,0,0,0,0,0,0,0,0,182,0,0,182
Stevens County Sheriff's Office,2017,Minnesota,3685,MN07500,6,1,3,2,0,5,17,1,0,1,0,0,0,0,0,0,0,0,4,0,7,11,0,0,0,0,5,0,0,0,6,0,5,0,0,623,20,648,0,0,0,0,0,0,0,0,0,0,0,4,0,36236,36239,36887,0,0,0,0,9660,0,0,0,26579,0,0,491,0,0,416,5465,1,30514,0,0,36887,0,0,0,0,0,0,0,0,0,0,0,0
Stevens County Sheriff's Office,2016,Minnesota,3680,MN07500,12,0,1,0,0,4,17,0,0,4,0,0,0,0,0,0,0,0,19,0,0,19,1,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,51,51,0,0,0,0,0,0,0,0,51,0,0,51,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
Stevens County Sheriff's Office,2015,Minnesota,3679,MN07500,14,0,4,1,0,0,19,1,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,2,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,53,53,0,0,0,0,1,0,0,0,51,0,0,1,0,0,0,0,0,51,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
Stevens County Sheriff's Office,2014,Minnesota,4409,MN07500,0,2,3,2,1,3,11,1,0,1,0,0,0,0,0,0,0,0,7,7,10,24,0,0,0,2,6,0,0,0,16,3,0,257,1287,27,251,1825,3861,0,0,0,0,0,0,0,0,0,0,124,1023,29707,30854,36541,0,0,0,53,17611,0,0,0,13190,0,0,3023,257,0,0,0,11584,21676,0,0,36541,0,0,0,0,0,0,0,6435,856,0,0,7291
