agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total
Chagrin Falls Village Police Department,2023,Ohio,4098,OH01813,15,1000000,0,100000,0,45003,1145018,200,10,0,21,0,450,4500,0,10004,0,14975,11002,0,0,11002,0,0,0,0,0,0,0,0,2,0,200,0,30,0,100,0,10060000,0,31000004,500000091,500000000,0,3050,0,0,10000000,0,0,0,151,0,100,0,0,91010004,0,10000001,320000100,100000000,0,1030320,2000,1000000,1,0,20000000,1000000,900000000,100000,0,0,10000000,20000000,0,60,0,0,0,0,0,20000000,0,0,10030002,100000,301,0,0,91000000
Chagrin Falls Village Police Department,2022,Ohio,4084,OH01813,10000,3030000,1000,4710000,100000,0,7851000,58600,0,0,1541,100000,20,200,0,10000,1010000,1121761,10000,8700000,101,8710101,4,5000000,0,0,10030,1,0,10,1,110,0,0,5933,1145592,1083226,209273944,10411634,0,1145280,104123940,208232677,0,104,1,0,10411634,104126750,113174668,0,1041165,0,1145495,3227606,104221,313411522,0,122548054,1041611,728814369,0,526850110,1988622,104118,624698551,3123,10515755,11458,10411634,104116,0,0,0,895400510,10411634,7185,38524,520582,1041163,521623,1,895519203,20823268,10516,2,104116,624719887,0,1063033,313390179
Chagrin Falls Village Police Department,2021,Ohio,3921,OH01813,10000,1020000,1267000,10000,100000,0,2407000,2390001,0,0,1,200000,3500005,0,2,10000,10000,3720008,10000,11500000,1,11510001,0,0,0,0,359000,1001500,0,10,1,100,0,0,1004000,9558156,103475341,562242803,11244856,0,0,80906739,0,22489712,56224393,1228,1124,76465,34956,114697532,112449,26987666,24738684,1124486,0,788,20915,450,42730453,106,1124486,22489712,675817367,11245,1124486,20917,0,533,22699,13505,0,0,274936730,1124495,11244857,685936219,22489946,663446507,224897,103474603,13494,12470552,4192099,730915645,9682865,11245,21028612,17598650,45,2253,0
Chagrin Falls Village Police Department,2020,Ohio,3921,OH01813,10000,3040000,0,10000,100000,4,3160004,100,0,0,21,0,7510,100,0,20475,2000,30106,11011,0,615000,626011,0,100000,7000000,2000001,100075,0,0,10,100000,100,110,0,29,470925108,2799884,354371018,11773124,0,11773124,2249,118908548,0,358138,270784,0,11773124,53450,473279565,0,2476939,7063879,89593607,20014310,1,364990699,0,131509322,55333890,353197238,1177312,65953528,11773,58983349,11773218,117739476,11890855,24724,129511894,117731,0,0,117731247,11784899,23546247,2590,31787,753492,2366398,24488120,24728,117834841,11775478,94244426,5215497,117849,470984057,0,14128,953623005
Chagrin Falls Village Police Department,2019,Ohio,3941,OH01813,750000,1000000,0,20000,100000,1,1870001,430100,0,10,10000,7700000,0,10,0,10000,2000000,9720010,1,0,1,2,0,200000,0,0,1000,2,0,10,2,1000100,1000100,0,43010,3814469,716476556,715101296,11918367,0,238367,4649,715101296,1,119422,716,0,11918,36479,834284845,119184,1193027,0,2383675,0,0,1073843780,178775,11918355,0,0,1196485,179984322,11918,1191835,180,0,12037590,26220,1800,120077,0,2384,1191835,11918357,917713330,11920381,0,119184,716293132,297959,738939,11918355,71511321,917953,2992699,119303,76759,0,59643,1073843780
Chagrin Falls Village Police Department,2018,Ohio,3973,OH01813,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,6,13,0,0,0,1,1,0,0,2,9,0,0,0,0,3398,1,0,0,0,0,3399,0,0,0,0,0,0,0,0,0,0,0,5,0,70190,70195,73594,0,0,0,1,7889,0,0,4472,57833,3999,0,59514,0,0,269,0,0,9809,1,0,73594,2,1,0,2,0,269,0,0,9606,0,0,9881
Chagrin Falls Village Police Department,2017,Ohio,3991,OH01813,1,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,22,5,9,36,2,5,0,5,7,0,0,3,14,0,0,0,0,373,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,42,761,27539,28342,28715,1,646,0,825,20250,0,0,261,6358,286,1,5918,0,0,20017,0,0,2093,374,25,28715,0,0,0,0,0,0,0,0,2,0,0,2
Chagrin Falls Village Police Department,2016,Ohio,4003,OH01813,2,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,13,2,9,24,4,0,0,2,3,0,1,2,12,0,0,0,0,0,20949,0,0,0,0,20949,0,0,0,0,0,0,0,0,0,0,0,28,254,180412,180694,201643,0,0,0,255,4104,0,127,19,176188,65,18,23772,0,0,25050,126955,0,21082,3,4699,201643,63,18,0,0,0,0,0,0,0,0,0,81
Chagrin Falls Village Police Department,2015,Ohio,4024,OH01813,0,1,0,7,0,1,9,2,0,0,0,0,0,0,0,0,0,0,22,4,3,29,3,2,0,4,5,1,0,3,11,0,0,1,0,129,0,0,0,4005,0,4133,38568,0,0,0,0,0,0,0,0,0,0,51,649,5335,6036,48737,0,397,0,618,992,0,0,153,3875,3408,580,4705,0,1,3,0,38568,1467,5,0,48737,0,0,0,0,0,0,0,38567,0,0,0,38567
Chagrin Falls Village Police Department,2014,Ohio,4045,OH01813,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
