agency,year,state,population,ORI,offenses_burglary_resident_day,offenses_burglary_resident_night,offenses_burglary_resident_unknown,offenses_burglary_nonresident_day,offenses_burglary_nonresident_night,offenses_burglary_nonresident_unknown,offenses_burglary_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_miscellaneous,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_picking_pocket,offenses_theft_purse_snatching,offenses_theft_shoplifting,offenses_theft_all_other,value_burglary_resident_night,value_burglary_resident_day,value_burglary_resident_unknown,value_burglary_nonresident_night,value_burglary_nonresident_day,value_burglary_nonresident_unknown,value_burglary_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_miscellaneous,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_picking_pocket,value_theft_purse_snatching,value_theft_shoplifting,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewelry_metal,value_stolen_livestock,value_stolen_local_motor_vehicle,value_stolen_miscellaneous,value_stolen_office_equipment,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_household_good,value_recovered_jewelry_metal,value_recovered_livestock,value_recovered_local_motor_vehicle,value_recovered_miscellaneous,value_recovered_office_equipment,value_recovered_tv_and_radio,value_recovered_total
East Taylor Township Police Department,2023,Pennsylvania,2366,PA01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Taylor Township Police Department,2022,Pennsylvania,2385,PA01126,0,8000000,0,0,0,0,8000000,0,0,0,0,0,0,0,0,0,10000,10000,0,0,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,0,0,0,0,0,747555310,0,0,748,0,0,0,0,0,0,0,0,0,0,0,7476,0,0,0,0,0,0,748,0,104116,0,0,0,0
East Taylor Township Police Department,2021,Pennsylvania,2435,PA01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Taylor Township Police Department,2020,Pennsylvania,2463,PA01126,0,0,43000,0,100000,100000,243000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,10,0,118,235474248,353193706,5062,0,0,0,0,0,0,235,0,11773,235,118,235462,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,235,117731,235462470,0,0,0,506244311,118,0,0,506244,0,507422,0
East Taylor Township Police Department,2019,Pennsylvania,2488,PA01126,0,0,652001,0,0,40000,692001,0,0,0,0,0,14900,4000,0,149,0,19049,0,0,0,0,0,1,0,0,4500000,502,0,25,0,0,11996,238367099,0,0,0,0,0,0,0,0,0,16685697,0,0,0,0,11918355,172816266,11918355,119,24014,0,0,1191835,0,0,0,13110,0,0,0,0,0,0,0,0,1192,0,0,0,0,0,0,619754457,0,0,7,619754457,7,0,0,7770784,0,0,595917747
East Taylor Township Police Department,2018,Pennsylvania,2513,PA01126,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,4,3762,0,0,0,0,0,3762,0,0,0,0,0,0,0,0,0,0,0,55,209,7450,7714,11475,0,0,0,0,0,0,0,0,7714,0,0,7450,3762,0,0,0,0,263,0,0,11475,0,0,6358,0,0,0,0,0,0,0,0,6358
East Taylor Township Police Department,2017,Pennsylvania,2547,PA01126,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,2238,2281,2281,0,0,0,0,0,0,0,0,2281,0,0,1865,0,0,0,0,0,416,0,0,2281,0,0,0,0,0,0,0,0,373,0,0,373
East Taylor Township Police Department,2016,Pennsylvania,2577,PA01126,0,0,3,0,0,0,3,1,0,1,0,1,0,0,0,0,1,2,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12061,0,0,0,60,0,0,0,0,0,60,83,0,0,83,12203,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,12061,142,0,0,12203,0,0,0,0,0,0,0,0,0,0,0,0
East Taylor Township Police Department,2015,Pennsylvania,2606,PA01126,1,0,4,0,2,0,7,1,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0,0,0,1,1,0,0,0,2,0,0,38716,1302,0,0,40018,8356,0,0,0,0,0,0,0,0,0,0,32,0,386,418,48792,0,0,0,386,32,0,0,0,0,0,0,39287,0,181,0,0,8356,386,0,582,48792,0,0,0,0,0,0,0,8356,0,0,0,8356
East Taylor Township Police Department,2014,Pennsylvania,2633,PA01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,112,3407,3583,3583,0,0,0,0,0,269,0,0,3314,0,0,112,0,0,0,0,0,3471,0,0,3583,0,0,0,0,0,0,0,0,0,0,0,0
