agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total,price,in_2023_dollars
Forest City Borough Police Department,2023,Pennsylvania,4862,PA05802,0,0,0,0,100000,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,10,100000,100,0,0,0,100,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,100,10000,0,0,0,0,0,1,1
Forest City Borough Police Department,2022,Pennsylvania,3128,PA05802,0,0,0,0,100000,0,100000,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,1041,0,10411634,104116338,0,0,0,10516,0,0,104116,0,1,0,0,0,0,0,0,0,0,0,10412,0,0,1041,104116,0,0,104116,0,0,10,0,1,115,0,0,0,104116,0,0,10,10411634,1041163,0,105,0,0,0,1,1.04116338383745
Forest City Borough Police Department,2021,Pennsylvania,1706,PA05802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.12448560525052
Forest City Borough Police Department,2020,Pennsylvania,1725,PA05802,2200000,3000000,0,0,120000,102001,5422001,0,10,113000,10010,0,20,200,0,10000,0,20230,0,0,0,0,0,0,0,100000,29000,0,0,10,100000,100,0,123,2,0,15340647,0,11773124,0,0,250767766,235462470,973637316,12244378,11773257,1177,11773124,35361,353523353,118,15305061,12950436,1177430,1059581117,2,235474244,125975,23546247,94184988,294328088,0,133059960,1059582294,7063874,133,0,0,459152,1180,118485,15305,0,1,2943281,35319371,235,2,0,839424649,117731,1,341423,824118646,946005914,753,117731,3178861,12,0,235462470,1,1.17731235192711
Forest City Borough Police Department,2019,Pennsylvania,1741,PA05802,0,0,4510000,2600000,0,0,7110000,48900,0,0,50000,11,0,0,500,20000,58900,129411,10000,0,20001,30001,2,6000000,50000,0,1,75,0,10,0,120,0,0,4890,0,477330123,595976027,12395089,0,0,477,119,57,1072651944,477,0,476734,0,139445,119184,119183549,0,0,0,0,476735532,0,0,240,715101296,476853381,202637052,11918,59591777,715102690,477,5,13,0,119184,893877,0,357669863,1072651944,0,596,596,0,476740056,60926630,25088137,0,0,292,11942192,119184,893996,0,0,476734197,1,1.19183549339627
Forest City Borough Police Department,2018,Pennsylvania,1770,PA05802,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,4,2,18,0,0,0,1,2,1,0,12,2,0,0,0,0,0,413,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,416,164,22084,22665,23077,0,0,0,73,485,1,0,324,21781,0,142,21781,0,575,364,0,0,33,0,182,23077,0,79,49,0,35,0,0,0,0,0,0,163,1,1.21343405628813
Forest City Borough Police Department,2017,Pennsylvania,1742,PA05802,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,3,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,245,0,383,383,0,0,0,0,0,0,0,383,0,0,123,183,0,0,0,0,0,77,0,0,383,0,46,0,0,0,0,0,0,0,0,0,46,1,1.24307319386626
Forest City Borough Police Department,2016,Pennsylvania,1789,PA05802,3,1,2,0,0,0,6,1,0,0,0,0,0,1,0,0,0,1,25,3,4,32,0,0,0,0,10,0,0,21,1,1,0,1,0,317,381,952,0,0,0,1650,0,0,0,0,0,0,0,0,0,0,0,382,246,6056,6684,8335,0,0,0,0,2256,0,0,4365,63,0,32,2816,0,1084,508,0,0,3895,0,0,8335,0,0,641,0,0,0,0,0,0,0,0,641,1,1.26955202032162
Forest City Borough Police Department,2015,Pennsylvania,1803,PA05802,1,0,5,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,23,4,7,34,2,1,0,0,8,0,0,21,2,0,0,0,0,0,643,16743,994,0,0,18380,0,0,0,0,0,0,0,0,0,0,0,611,411,6556,7578,25958,1671,90,0,0,4718,0,0,521,579,0,58,2674,5142,579,9283,0,0,7226,0,996,25958,0,0,0,1286,0,0,0,0,1286,0,257,2828,1,1.28556847539769
Forest City Borough Police Department,2014,Pennsylvania,1835,PA05802,4,1,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,26,4,11,41,3,0,0,0,9,0,0,26,3,0,0,0,0,51,1545,1223,257,0,0,3076,0,0,0,0,0,0,0,0,0,0,0,662,656,14190,15508,18584,1158,0,0,0,5966,0,0,662,7723,0,39,9138,0,129,2626,10,1287,2016,0,3340,18584,0,0,0,0,0,515,0,0,68,0,840,1424,1,1.28709350845562
