agency,year,state,population,ORI,offenses_burglary_resident_day,offenses_burglary_resident_night,offenses_burglary_resident_unknown,offenses_burglary_nonresident_day,offenses_burglary_nonresident_night,offenses_burglary_nonresident_unknown,offenses_burglary_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_miscellaneous,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_picking_pocket,offenses_theft_purse_snatching,offenses_theft_shoplifting,offenses_theft_all_other,value_burglary_resident_night,value_burglary_resident_day,value_burglary_resident_unknown,value_burglary_nonresident_night,value_burglary_nonresident_day,value_burglary_nonresident_unknown,value_burglary_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_miscellaneous,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_picking_pocket,value_theft_purse_snatching,value_theft_shoplifting,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewelry_metal,value_stolen_livestock,value_stolen_local_motor_vehicle,value_stolen_miscellaneous,value_stolen_office_equipment,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_household_good,value_recovered_jewelry_metal,value_recovered_livestock,value_recovered_local_motor_vehicle,value_recovered_miscellaneous,value_recovered_office_equipment,value_recovered_tv_and_radio,value_recovered_total
Williamston Police Department,2023,South Carolina,4197,SC00405,1,2000600,1000000,6410000,140000,2665001,12215602,408301,7500000,20,59782,110027,2111060,4100,7300,24410,6076500,8393179,1050563,4000002,29010,5079575,610003,7500010,3700000,15,601001,1000,0,200014,200004,4100254,192043898,701022000,10000000,600,437200001,97902487,601000000,5,178300600,111652193,2003,510285000,77839,501026200,100000,117201442,146000000,685600722,50000000,500000100,495087556,326000,10000001,1309100605,402000000,99100000,232078125,12000,21100001,257005134,217002,31600060,851348045,480029000,100610,15,20001000,739000001,1465000004,950000000,90001200,80,107000,942011539,420412000,22173004,899871013,60001000,610950780,959269,2465000,37070914,8031,12310010,1135400001
Williamston Police Department,2022,South Carolina,4172,SC00405,750009,4200269,120000,2800000,610000,7647004,16127282,1171451,155000,10,27150,3800000,6210366,2603230,379,30103,50000,12721228,4458004,2,86006,4544012,70039,8000000,5000000,100003,4449034,0,100016,10000012,100006,65598715,1936652837,944426707,10411634,1092,1069274795,117659073,728949720,291525749,655412662,937051637,2091,10411634,78600,627821520,0,62681762,19344817,105365982,224631002,104116,531065398,21427,72881438,261332124,832930759,830017704,180221123,17712271,367530680,279041340,1219358,52620584,562813456,20831597,105105,35,64555253,478951947,52058171,10412675,640,624701726,860001,999527914,521680119,4068869,777988522,1030751760,208503919,3699277,3228429,850621354,10422,208287,1457649567
Williamston Police Department,2021,South Carolina,4333,SC00405,1200016,5010000,8000000,1510000,3291001,1002,19012019,1036231,10418,10000,2940,10020,6022186,303850,21,11247,20000,6370264,1961259,0,50004,2011263,1,5000001,8000000,100001,9520001,0,5,8500013,400001,890705483,1926328847,113960994,11611438,1124,1124497,52503248,1293158446,245137869,272125629,2038,0,11312325,256993,1014061344,772859183,226360527,517263381,502870421,171371607,449823,576943251,157540,39981087,264928937,455416670,551000252,22549436,13494,11244856,2038,1124850,70505432,798384793,371088121,113798,67488,67469136,2254841,922089441,427305654,838,202420229,59543762,1139118425,225592053,61100058,455436580,359838780,831434582,150838501,113236,247289581,25,11933106,565627505
Williamston Police Department,2020,South Carolina,4294,SC00405,0,8700000,0,5000003,100000,0,13800003,1282047,275000,10,3043,4500017,2011287,2000,31,2500150,5051000,14067528,499951,4000001,440003,4939955,5000002,8100001,120,200008,9434001,1000000,103,300010,500002,412059694,994915677,120321322,11784897,141,38969039,85379014,732641477,153050614,881222887,141277831,1177,23546247,101115,1061935741,0,111892862,42265566,166472136,1071471974,117770,607544581,1126,11773124,63289137,681663854,51801743,607542705,235474244,1,731115110,70756,23899733,354900850,694623706,118320,1153779,151876825,206051980,484605314,82415397,1008,153062381,494471,1583507485,129504,5745293,253852105,847670780,2918192971,35000913,119909,39688108,24,541571,608082418
Williamston Police Department,2019,South Carolina,4249,SC00405,700012,10500,6700000,3030000,550000,14000,11004512,189661,855,550020,10815,20010,910831,2910,20040,32907,34000,1031513,510251,20002,280002,810255,11,0,9000009,0,2500014,0,200000,11,1,5959617,736592265,598501646,12281865,2428,2385340,1796,1073844995,71510132,1323772213,597587102,3576698,12085331,134704,834332519,238,9773089,23419567,552892725,95346841,167,604322610,61985,42224349,19666659,774693080,607861154,1058386724,119196660,66981155,221682155,715292586,12037571,446962147,1072677700,122282,12,10727711,444554688,1096488659,95348031,476734839,655521750,1191835,88229473,12370061,12728805,835518905,655510714,335228101,37234136,119184,267627746,0,322453476,1201966453
Williamston Police Department,2018,South Carolina,4216,SC00405,10,9,0,1,3,0,23,8,0,1,0,0,0,0,1,0,1,2,25,24,50,99,6,2,2,19,11,0,0,15,44,10791,6354,0,2827,255,0,20227,50387,0,0,0,0,0,0,75,0,49,124,299,3100,62705,66104,187228,5257,182,147,7108,3618,0,0,2953,46839,4086,1087,7853,5303,4106,1128,0,50387,54694,1536,6661,136841,10,0,147,880,0,0,0,39710,500,0,320,41566
Williamston Police Department,2017,South Carolina,4229,SC00405,9,8,0,0,0,0,17,7,0,1,0,0,0,0,0,0,0,0,33,28,41,102,6,8,4,11,15,0,0,28,30,5202,5194,0,0,0,0,10396,55365,0,0,0,0,0,0,0,0,0,0,467,3334,71510,75312,141073,2148,2188,2811,12996,4041,0,0,5675,45453,4763,856,5069,7579,3399,1908,0,55365,56776,3017,2339,141073,32,77,842,994,0,653,0,25531,1226,0,0,29355
Williamston Police Department,2016,South Carolina,4161,SC00405,20,11,0,3,1,0,35,16,0,0,1,0,0,0,0,0,0,1,33,18,48,99,13,3,1,18,16,0,0,16,32,16695,61785,0,381,1,0,78862,69051,0,0,1,0,0,0,0,0,0,1,461,2526,54399,57386,205301,735,532,1474,10259,10831,0,0,1939,31617,2432,2020,5368,5491,9338,43711,0,74097,54440,7148,1257,205301,132,0,0,0,127,4443,0,50020,8877,0,0,63599
Williamston Police Department,2015,South Carolina,4106,SC00405,29,16,1,8,4,0,58,11,0,3,0,0,0,0,0,0,0,0,56,26,41,123,17,3,2,15,15,0,0,23,48,99977,17525,0,2031,3333,0,122867,33664,0,0,0,0,0,0,0,0,0,0,897,3759,55675,60332,216863,1131,731,771,14276,4988,0,0,5556,32877,1617,437,6378,5015,8501,20034,0,33555,126366,6307,8652,216863,100,8,0,129,0,13,0,12857,3728,0,58,16892
Williamston Police Department,2014,South Carolina,4062,SC00405,11,4,0,3,2,0,20,11,0,1,1,0,0,0,0,0,1,2,46,28,45,119,18,2,3,17,7,0,0,16,56,2209,19864,0,1712,51,0,23836,69889,0,0,9,0,0,0,0,0,0,9,780,3386,61524,65691,159425,2436,476,367,3417,2269,0,0,2231,54494,1431,1220,1629,2536,15136,17151,0,69246,40810,6114,4152,159425,763,0,0,644,0,644,0,66671,5115,1416,0,75252
