agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total,price,in_2023_dollars
Jefferson County Sheriff's Office,2023,Tennessee,41715,TN04500,3940023,7052049,4490500,2740000,7210001,312111,25744684,4938760,561001,2501510,180096,9960910,2757815,1508830,7007514,5076921,184380,26676466,7169790,7001001,503009,14673800,600021,6500115,6730025,400045,12000130,2776,100488,4100012,700009,8003578,3003820,1000408,6124688,712213909,432760848,508296800,98280000,17104236,384200038,212832118,105060301,657000035,1256601105,417284735,602300102,310030000,502893754,609479400,400201,1009949,401950024,1688800526,1093800026,1000214,807290200,719543,726261018,625600287,1643110774,543702042,397156616,520012000,82100032,560031278,200073000,126131697,212020287,1020059370,100500,1276002,227005000,1210101776,835050011,1011001,2135031639,980145944,22291000,1702091754,22210630,124616048,1297014370,541008001,514082134,140957037,3256780,1037691885,40000006,637000062,677040552,1,1
Jefferson County Sheriff's Office,2023,Tennessee,41715,TN04500,3940023,7052049,4490500,2740000,7210001,312111,25744684,4938760,561001,2501510,180096,9960910,2757815,1508830,7007514,5076921,184380,26676466,7169790,7001001,503009,14673800,600021,6500115,6730025,400045,12000130,2776,100488,4100012,700009,8003578,3003820,1000408,6124688,712213909,432760848,508296800,98280000,17104236,384200038,212832118,105060301,657000035,1256601105,417284735,602300102,310030000,502893754,609479400,400201,1009949,401950024,1688800526,1093800026,1000214,807290200,719543,726261018,625600287,1643110774,543702042,397156616,520012000,82100032,560031278,200073000,126131697,212020287,1020059370,100500,1276002,227005000,1210101776,835050011,1011001,2135031639,980145944,22291000,1702091754,22210630,124616048,1297014370,541008001,514082134,140957037,3256780,1037691885,40000006,637000062,677040552,1,1
Jefferson County Sheriff's Office,2022,Tennessee,40794,TN04500,43,8032441,6050215,420001,100000,325018,14927718,1329902,127161,8000552,146744,60575,1860503,110,3554066,6236722,8273500,20132220,4636565,7378206,2374014,14388785,22,9000034,9820360,300001,4385144,4010818,443,100026,500015,2011630,4000220,60,1247655,1229837953,1062011808,327394347,10609455,208233916,1353523,80830056,834133355,1751236830,965995375,136172394,1190,10818729,2624125,743460622,427198,154522916,564258514,1554368735,897347511,209223,396945233,185230,105365768,887487994,999517060,246131701,955995678,20823,141087988,125009602,938372037,79963183,1460754969,1301524769,4513339,98913,664621440,390660406,622699034,822524283,843402401,197876642,12952072,415532256,266923028,104583879,1012127803,209282192,2390401121,109803127,3144636,1190107837,1206719,313403928,854809612,1,1.04116338383745
Jefferson County Sheriff's Office,2022,Tennessee,40794,TN04500,43,8032441,6050215,420001,100000,325018,14927718,1329902,127161,8000552,146744,60575,1860503,110,3554066,6236722,8273500,20132220,4636565,7378206,2374014,14388785,22,9000034,9820360,300001,4385144,4010818,443,100026,500015,2011630,4000220,60,1247655,1229837953,1062011808,327394347,10609455,208233916,1353523,80830056,834133355,1751236830,965995375,136172394,1190,10818729,2624125,743460622,427198,154522916,564258514,1554368735,897347511,209223,396945233,185230,105365768,887487994,999517060,246131701,955995678,20823,141087988,125009602,938372037,79963183,1460754969,1301524769,4513339,98913,664621440,390660406,622699034,822524283,843402401,197876642,12952072,415532256,266923028,104583879,1012127803,209282192,2390401121,109803127,3144636,1190107837,1206719,313403928,854809612,1,1.04116338383745
Jefferson County Sheriff's Office,2021,Tennessee,40412,TN04500,9610026,3281109,7186101,310002,4612001,2420032,27419271,7939895,2235862,8094704,267301,1950964,2721979,1600331,3916,9068440,402796,16015727,5889274,10584005,900029,17373308,9820022,3100025,9500135,500009,9801056,1000467,238,300380,900009,2019191,6002460,324,81548,1376826263,976385102,908148743,11635053,123693535,624651864,1069729814,239054507,303498718,1532457084,44719083,475905816,73309159,788623429,687401986,787702,261135123,406165458,1095866555,757970774,1127275,234181869,726111,152225252,1411681828,1397737093,508612626,283566455,714062978,158666414,191236572,514828,121715481,104018988,1079551173,116272,3722047,331743494,750186360,618725734,1023294273,363218948,461306843,17997415,1166196769,151065084,176974934,225270422,595986391,2432477188,379769293,8573303,2219157816,29239,121404301,1668806410,1,1.12448560525052
Jefferson County Sheriff's Office,2021,Tennessee,40412,TN04500,9610026,3281109,7186101,310002,4612001,2420032,27419271,7939895,2235862,8094704,267301,1950964,2721979,1600331,3916,9068440,402796,16015727,5889274,10584005,900029,17373308,9820022,3100025,9500135,500009,9801056,1000467,238,300380,900009,2019191,6002460,324,81548,1376826263,976385102,908148743,11635053,123693535,624651864,1069729814,239054507,303498718,1532457084,44719083,475905816,73309159,788623429,687401986,787702,261135123,406165458,1095866555,757970774,1127275,234181869,726111,152225252,1411681828,1397737093,508612626,283566455,714062978,158666414,191236572,514828,121715481,104018988,1079551173,116272,3722047,331743494,750186360,618725734,1023294273,363218948,461306843,17997415,1166196769,151065084,176974934,225270422,595986391,2432477188,379769293,8573303,2219157816,29239,121404301,1668806410,1,1.12448560525052
Jefferson County Sheriff's Office,2020,Tennessee,39654,TN04500,2410024,6571901,6991101,2620001,1300001,1790578,21683606,2793598,437687,1,1439080,8170105,2168191,1800150,1200131,43578,197125,15018360,3741103,8250004,137007,12128114,5,1200065,9000100,200011,12410018,4012850,169,7501805,1100013,4000902,2000481,5007760,2039476,2030401943,2094806946,947909156,130327300,253875639,136803735,1281527864,238919413,804104413,2157084938,147340111,224396962,385993628,607112045,954505283,1413128,74374628,905954825,1218815984,393931082,839706,462938744,279506,177097236,1588318290,1025439338,524142035,89695223,153110649,17785850,62414517,471301749,185073975,295770385,1189229284,1532390,301393,145420444,969313573,611672710,1094911085,1290339930,836103181,9243091,1598902378,90507830,194346132,1049597157,1130226938,1941962891,204247652,184226,1526189225,123682587,16568,1166771788,1,1.17731235192711
Jefferson County Sheriff's Office,2020,Tennessee,39654,TN04500,2410024,6571901,6991101,2620001,1300001,1790578,21683606,2793598,437687,1,1439080,8170105,2168191,1800150,1200131,43578,197125,15018360,3741103,8250004,137007,12128114,5,1200065,9000100,200011,12410018,4012850,169,7501805,1100013,4000902,2000481,5007760,2039476,2030401943,2094806946,947909156,130327300,253875639,136803735,1281527864,238919413,804104413,2157084938,147340111,224396962,385993628,607112045,954505283,1413128,74374628,905954825,1218815984,393931082,839706,462938744,279506,177097236,1588318290,1025439338,524142035,89695223,153110649,17785850,62414517,471301749,185073975,295770385,1189229284,1532390,301393,145420444,969313573,611672710,1094911085,1290339930,836103181,9243091,1598902378,90507830,194346132,1049597157,1130226938,1941962891,204247652,184226,1526189225,123682587,16568,1166771788,1,1.17731235192711
Jefferson County Sheriff's Office,2019,Tennessee,39229,TN04500,9830135,11083626,11138298,1192008,5560001,154021,38958089,2532137,5170000,4965000,194729,7510213,4955344,9012910,694532,5169332,411195,27948255,4305900,14051110,1010023,19367033,22,5000025,5900020,1500002,6716080,4514,17833,14100491,700029,14004505,5004510,338,5219759,671616469,1261311409,963028941,608193655,988067631,602115440,517507346,717545036,1601826996,1571089231,525673625,83428889,606310552,685198,620344297,1192074,834544686,817565808,1909286025,1099360998,1431522,387645402,1275264,269844765,1184166653,1913849633,1114534736,1072127233,498796264,31226114,131142563,480472,150070498,286053913,1108557193,2268969,477187097,275330685,2050213484,142901084,297971986,1527980184,929750554,79456693,1115756806,664405383,534752790,1496388784,166871275,2122851265,319059153,732204,1906454505,227641,767801016,149003276,1,1.19183549339627
Jefferson County Sheriff's Office,2019,Tennessee,39229,TN04500,9830135,11083626,11138298,1192008,5560001,154021,38958089,2532137,5170000,4965000,194729,7510213,4955344,9012910,694532,5169332,411195,27948255,4305900,14051110,1010023,19367033,22,5000025,5900020,1500002,6716080,4514,17833,14100491,700029,14004505,5004510,338,5219759,671616469,1261311409,963028941,608193655,988067631,602115440,517507346,717545036,1601826996,1571089231,525673625,83428889,606310552,685198,620344297,1192074,834544686,817565808,1909286025,1099360998,1431522,387645402,1275264,269844765,1184166653,1913849633,1114534736,1072127233,498796264,31226114,131142563,480472,150070498,286053913,1108557193,2268969,477187097,275330685,2050213484,142901084,297971986,1527980184,929750554,79456693,1115756806,664405383,534752790,1496388784,166871275,2122851265,319059153,732204,1906454505,227641,767801016,149003276,1,1.19183549339627
Jefferson County Sheriff's Office,2018,Tennessee,39092,TN04500,56,44,0,11,10,0,121,48,0,15,0,0,0,1,0,1,7,9,36,48,161,245,14,1,1,32,43,1,0,4,149,0,0,0,0,119072,137731,0,23370,19686,0,299858,546152,0,0,0,0,0,544,0,2548,9746,12838,568,5716,628744,635029,2040029,128839,146,1,17308,77244,0,0,747,410744,5236,2435,82100,37574,91802,57742,0,670908,593709,6748,30939,1579193,18,184,265,1165,2225,1818,0,359662,91551,46624,1311,504823,1,1.21343405628813
Jefferson County Sheriff's Office,2018,Tennessee,39092,TN04500,56,44,0,11,10,0,121,48,0,15,0,0,0,1,0,1,7,9,36,48,161,245,14,1,1,32,43,1,0,4,149,0,0,0,0,119072,137731,0,23370,19686,0,299858,546152,0,0,0,0,0,544,0,2548,9746,12838,568,5716,628744,635029,2040029,128839,146,1,17308,77244,0,0,747,410744,5236,2435,82100,37574,91802,57742,0,670908,593709,6748,30939,1579193,18,184,265,1165,2225,1818,0,359662,91551,46624,1311,504823,1,1.21343405628813
