agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total,price,in_2023_dollars
Harrisonburg Police Department,2023,Virginia,50928,VA11200,6740194,17370019,4099904,1630002,1386002,16969216,48195337,1332797,2360023,1394261,249024,2760997,10534955,5600020,25806,5332751,1750071,26253624,2814938,15601023,875606,19291567,12761027,6500081,8400220,200121,10221035,9105193,102370,11500073,800025,2002788,2119260,8001,5691560,950705600,1414321439,603418236,1656125000,20246,786200099,888308242,1249262800,1632000044,656802383,344083348,925022612,226618002,401634000,334569700,401101503,562280415,1684600028,1287440026,743200035,300608721,735904624,2066259,433460031,1004358161,2427700998,1219514905,403921351,280328000,660500072,1785092477,703279467,293863539,1817821627,230101647,1144730,27921189,413158000,477808726,1987740114,860018005,1743019810,980304980,65261000,1693080991,267818500,346018039,1638809238,470007061,1940686624,309545770,667820,1122322748,15679145,696750514,699064197,1,1
Harrisonburg Police Department,2023,Virginia,50928,VA11200,6740194,17370019,4099904,1630002,1386002,16969216,48195337,1332797,2360023,1394261,249024,2760997,10534955,5600020,25806,5332751,1750071,26253624,2814938,15601023,875606,19291567,12761027,6500081,8400220,200121,10221035,9105193,102370,11500073,800025,2002788,2119260,8001,5691560,950705600,1414321439,603418236,1656125000,20246,786200099,888308242,1249262800,1632000044,656802383,344083348,925022612,226618002,401634000,334569700,401101503,562280415,1684600028,1287440026,743200035,300608721,735904624,2066259,433460031,1004358161,2427700998,1219514905,403921351,280328000,660500072,1785092477,703279467,293863539,1817821627,230101647,1144730,27921189,413158000,477808726,1987740114,860018005,1743019810,980304980,65261000,1693080991,267818500,346018039,1638809238,470007061,1940686624,309545770,667820,1122322748,15679145,696750514,699064197,1,1
Harrisonburg Police Department,2022,Virginia,51363,VA11200,4460089,9189004,17837900,8000003,5029003,5814036,50330035,1568336,3107761,3820216,1775528,3870242,9402346,4028591,1399318,7121756,9348010,36945791,3405897,1350022,1253067,6008986,454,10900016,8900050,400012,16399151,8006466,100702,13600067,1100013,2006410,1030513,5005392,3726586,2002785147,1724609143,319655181,15900751,23593,263102014,527612307,1088640746,1172349998,1096660640,692216940,1506472664,162286139,209169785,747953763,209482,1010247162,622397082,1369242465,529952179,312767634,603490858,2949653,869683818,1789539587,2183530403,482918501,324459001,663774974,433696664,990185177,105958005,112561577,2326295471,1436991244,130281,633265,220230002,688032794,825486423,572647173,2057357097,635248425,14278504,1216452771,684881022,207457053,863906397,856881682,987431585,223543528,329661,1053063193,188,931372088,1201513638,1,1.04116338383745
Harrisonburg Police Department,2022,Virginia,51363,VA11200,4460089,9189004,17837900,8000003,5029003,5814036,50330035,1568336,3107761,3820216,1775528,3870242,9402346,4028591,1399318,7121756,9348010,36945791,3405897,1350022,1253067,6008986,454,10900016,8900050,400012,16399151,8006466,100702,13600067,1100013,2006410,1030513,5005392,3726586,2002785147,1724609143,319655181,15900751,23593,263102014,527612307,1088640746,1172349998,1096660640,692216940,1506472664,162286139,209169785,747953763,209482,1010247162,622397082,1369242465,529952179,312767634,603490858,2949653,869683818,1789539587,2183530403,482918501,324459001,663774974,433696664,990185177,105958005,112561577,2326295471,1436991244,130281,633265,220230002,688032794,825486423,572647173,2057357097,635248425,14278504,1216452771,684881022,207457053,863906397,856881682,987431585,223543528,329661,1053063193,188,931372088,1201513638,1,1.04116338383745
Harrisonburg Police Department,2021,Virginia,53582,VA11200,10040127,12163456,9623500,6060001,9991002,14934654,62812740,5212223,1574956,2010204,242416,1560223,9985414,4191330,3477372,244329,6528211,26229295,4849971,6000121,489342,11339434,7000510,18200002,650016,300029,9884006,7008028,2200,8200035,800019,4002235,4022832,4011647,2280667,1184647575,1463743517,115138443,14399038,28124314,1253576572,1409809586,1846439098,967057648,443949271,698010756,449812722,279305357,226477183,343911553,586195260,818254356,1026093128,1412909026,1624769272,675034799,1374748548,2130249,835717728,374793522,2206578424,1074193759,669622569,1135763071,349829220,1242586787,116056902,160666209,1419920672,1214462515,7439046,629977,223207019,621700424,1435956921,618471594,312620847,483583144,88175414,1294432832,37580320,120515634,840826749,589232875,1372476860,438633043,2446881,948430087,4509282,286334676,1784571029,1,1.12448560525052
Harrisonburg Police Department,2021,Virginia,53582,VA11200,10040127,12163456,9623500,6060001,9991002,14934654,62812740,5212223,1574956,2010204,242416,1560223,9985414,4191330,3477372,244329,6528211,26229295,4849971,6000121,489342,11339434,7000510,18200002,650016,300029,9884006,7008028,2200,8200035,800019,4002235,4022832,4011647,2280667,1184647575,1463743517,115138443,14399038,28124314,1253576572,1409809586,1846439098,967057648,443949271,698010756,449812722,279305357,226477183,343911553,586195260,818254356,1026093128,1412909026,1624769272,675034799,1374748548,2130249,835717728,374793522,2206578424,1074193759,669622569,1135763071,349829220,1242586787,116056902,160666209,1419920672,1214462515,7439046,629977,223207019,621700424,1435956921,618471594,312620847,483583144,88175414,1294432832,37580320,120515634,840826749,589232875,1372476860,438633043,2446881,948430087,4509282,286334676,1784571029,1,1.12448560525052
Harrisonburg Police Department,2020,Virginia,53442,VA11200,6940253,8289629,5056555,4076130,4440005,4225530,33028102,5766817,1077064,43242,360303,6270450,3147994,2649210,2046780,244616,11697851,26417204,4054543,6311118,341161,10706822,7541251,5800016,9920000,201206,6511150,6177176,200073,15900053,500017,6002041,2062080,3046,11197510,1912310488,1948731940,120565261,838036833,147188259,2760797474,810373121,179893563,952445723,1337311170,486779141,1223488135,187147928,589646993,360688362,824472312,880297368,291325966,966272274,2363701794,354149796,825805063,3461991,851963296,1425852002,1394880048,53578260,1018192577,609989076,510825082,2155686994,237273815,216756044,1227459200,247259128,1972575,15929224,388636694,1308765367,912252291,518025684,47108557,753672515,6795459,558094156,93665911,285923288,1276353566,487413451,1665952478,236671022,438749,256556260,39344758,1720755209,1411656379,1,1.17731235192711
Harrisonburg Police Department,2020,Virginia,53442,VA11200,6940253,8289629,5056555,4076130,4440005,4225530,33028102,5766817,1077064,43242,360303,6270450,3147994,2649210,2046780,244616,11697851,26417204,4054543,6311118,341161,10706822,7541251,5800016,9920000,201206,6511150,6177176,200073,15900053,500017,6002041,2062080,3046,11197510,1912310488,1948731940,120565261,838036833,147188259,2760797474,810373121,179893563,952445723,1337311170,486779141,1223488135,187147928,589646993,360688362,824472312,880297368,291325966,966272274,2363701794,354149796,825805063,3461991,851963296,1425852002,1394880048,53578260,1018192577,609989076,510825082,2155686994,237273815,216756044,1227459200,247259128,1972575,15929224,388636694,1308765367,912252291,518025684,47108557,753672515,6795459,558094156,93665911,285923288,1276353566,487413451,1665952478,236671022,438749,256556260,39344758,1720755209,1411656379,1,1.17731235192711
Harrisonburg Police Department,2019,Virginia,54387,VA11200,8200094,10110011,7485008,9280008,2954002,11325507,49354630,4602933,3037555,20124,218552,4470243,2303622,9620880,20105,5225594,701800,22560796,9505108,6721023,1332922,17559053,296,14400025,3000020,200022,27087004,11757,101080,9300051,900012,1000790,41927,3004332,10196531,885901972,1729195247,358184615,24291991,27485,1191358832,1075880561,1494566563,817599287,1022003443,52222994,957432649,48227626,1086637451,844800410,598301,954188738,849182822,1103089091,470036105,485264,1018571320,2650621,208571254,691156816,500583678,507974382,237799513,26220,414758774,1240723784,125222412,115091362,2491416655,2395788712,21232680,605803,28639807,874381896,418739621,452905842,1643694325,71577816,66953743,1609032294,173572962,181714419,1158578802,417150798,2214404796,240106544,2769885,2124878077,199261,2139005083,892720546,1,1.19183549339627
Harrisonburg Police Department,2019,Virginia,54387,VA11200,8200094,10110011,7485008,9280008,2954002,11325507,49354630,4602933,3037555,20124,218552,4470243,2303622,9620880,20105,5225594,701800,22560796,9505108,6721023,1332922,17559053,296,14400025,3000020,200022,27087004,11757,101080,9300051,900012,1000790,41927,3004332,10196531,885901972,1729195247,358184615,24291991,27485,1191358832,1075880561,1494566563,817599287,1022003443,52222994,957432649,48227626,1086637451,844800410,598301,954188738,849182822,1103089091,470036105,485264,1018571320,2650621,208571254,691156816,500583678,507974382,237799513,26220,414758774,1240723784,125222412,115091362,2491416655,2395788712,21232680,605803,28639807,874381896,418739621,452905842,1643694325,71577816,66953743,1609032294,173572962,181714419,1158578802,417150798,2214404796,240106544,2769885,2124878077,199261,2139005083,892720546,1,1.19183549339627
