agency,year,state,population,ORI,offenses_burglary_resident_day,offenses_burglary_resident_night,offenses_burglary_resident_unknown,offenses_burglary_nonresident_day,offenses_burglary_nonresident_night,offenses_burglary_nonresident_unknown,offenses_burglary_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_miscellaneous,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_picking_pocket,offenses_theft_purse_snatching,offenses_theft_shoplifting,offenses_theft_all_other,value_burglary_resident_night,value_burglary_resident_day,value_burglary_resident_unknown,value_burglary_nonresident_night,value_burglary_nonresident_day,value_burglary_nonresident_unknown,value_burglary_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_miscellaneous,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_picking_pocket,value_theft_purse_snatching,value_theft_shoplifting,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewelry_metal,value_stolen_livestock,value_stolen_local_motor_vehicle,value_stolen_miscellaneous,value_stolen_office_equipment,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_household_good,value_recovered_jewelry_metal,value_recovered_livestock,value_recovered_local_motor_vehicle,value_recovered_miscellaneous,value_recovered_office_equipment,value_recovered_tv_and_radio,value_recovered_total
Dublin Police Department,2017-01-01,Georgia,16086,GA08701,5,3,0,6,6,0,20,1,0,1,0,3,0,0,2,0,1,6,24,9,24,57,0,0,0,6,12,0,1,14,24,4255,4415,0,1487,2613,0,12770,2859,0,0,0,134,0,0,163,0,44,341,631,1366,39581,41578,60407,0,0,0,2463,12667,0,10,1842,24597,7032,265,6316,2787,1080,2066,0,13052,18250,19,6682,57548,1464,55,0,0,41,200,0,13052,1297,0,1048,17157
Dublin Police Department,2017-02-01,Georgia,16086,GA08701,3,1,0,3,2,0,9,0,0,1,0,0,0,0,1,0,0,1,15,8,25,48,0,0,0,10,4,0,0,15,19,3785,4076,0,874,2610,0,11346,0,0,0,0,0,0,0,746,0,0,746,234,951,63154,64339,76430,0,0,0,8769,2325,0,0,11009,42237,10336,842,9383,1871,0,2113,87,0,17066,2859,31874,76430,394,0,0,622,0,0,0,0,372,0,0,1387
Dublin Police Department,2017-03-01,Georgia,16086,GA08701,3,3,0,2,1,0,9,5,0,0,0,0,0,0,0,0,1,1,14,10,16,40,2,0,0,8,5,0,1,5,19,3014,1007,0,36,434,0,4491,18429,0,0,0,0,0,0,0,0,7,7,240,1335,26961,28536,69892,498,0,0,2789,425,0,1,452,24369,393,99,3876,1873,249,1007,0,22748,2363,0,18855,51463,221,52,0,0,0,0,0,10815,225,0,0,11313
Dublin Police Department,2017-04-01,Georgia,16086,GA08701,9,2,0,10,5,0,26,3,0,0,0,0,0,0,0,0,2,2,13,13,28,54,0,0,0,17,2,0,1,4,30,2,18499,0,3104,669,0,22275,8826,0,0,0,0,0,0,0,0,1678,1678,251,1847,45153,47252,88856,0,0,0,11216,497,0,12,306,35220,4622,118,28033,3722,218,9040,0,10069,8606,1632,13972,80030,205,25,0,0,0,6,0,6837,410,0,0,7483
Dublin Police Department,2017-05-01,Georgia,16086,GA08701,2,2,0,1,3,0,8,3,0,1,0,1,0,0,0,0,0,1,9,8,26,43,0,0,0,6,4,0,2,11,20,39829,1366,0,2860,249,0,44304,24333,0,0,0,37,0,0,0,0,0,37,138,1088,37016,38242,131250,0,0,0,3400,810,0,893,1893,31246,1023,237,51482,342,62,1297,0,23121,19837,34,9482,106917,459,32,0,0,0,31,0,6961,32,0,1119,8634
Dublin Police Department,2017-06-01,Georgia,16086,GA08701,3,1,0,2,1,0,7,5,0,0,0,1,0,0,0,1,0,2,14,16,20,50,0,0,0,9,3,0,2,10,26,1517,1243,0,3729,1765,0,8254,50829,0,0,0,186,0,0,0,186,0,373,269,2336,19626,22230,132515,0,0,0,5001,1180,0,932,1780,13337,1442,82,8295,3239,0,1528,0,46118,16252,0,4730,81686,884,57,0,310,0,1279,0,31823,566,0,267,35185
Dublin Police Department,2017-07-01,Georgia,16086,GA08701,4,4,0,3,2,0,13,2,0,1,0,1,0,0,1,2,0,4,14,7,27,48,0,0,0,6,3,0,1,12,26,1032,15240,0,124,497,0,16893,97581,0,0,0,62,0,0,190,896,0,1149,235,709,29348,30291,243496,0,0,0,2648,211,0,8702,3120,15611,403,41,13850,1591,200,9037,0,45994,67321,0,7477,145914,154,19,0,342,0,25,0,0,2886,0,0,3426
Dublin Police Department,2017-08-01,Georgia,16086,GA08701,4,4,0,3,2,0,13,2,0,1,0,1,0,0,1,2,0,4,14,7,27,48,0,0,0,6,3,0,1,12,26,1032,15240,0,124,497,0,16893,97581,0,0,0,62,0,0,190,896,0,1149,235,709,29348,30291,243496,0,0,0,2648,211,0,8702,3120,15611,403,41,13850,1591,200,9037,0,45994,67321,0,7477,145914,154,19,0,342,0,25,0,0,2886,0,0,3426
Dublin Police Department,2017-09-01,Georgia,16086,GA08701,1,3,0,3,0,0,7,2,0,0,0,1,0,0,2,1,0,4,11,8,19,38,0,0,0,7,4,0,2,6,19,1653,3294,0,0,9575,0,14523,26105,0,0,0,747,0,0,497,311,0,1555,277,909,33896,35082,103369,0,0,0,5303,1119,0,508,188,27964,603,122,24745,2916,1305,0,0,26105,16379,0,5090,77264,75,122,0,249,0,0,0,0,53,0,0,498
Dublin Police Department,2017-10-01,Georgia,16086,GA08701,5,3,0,1,0,0,9,1,2,0,0,1,0,0,1,1,1,4,8,10,13,31,0,0,0,6,3,0,2,5,15,8168,18384,0,0,870,0,27422,12431,0,0,0,21754,0,0,1,37,653,22445,122,1285,32767,34175,108903,0,0,0,515,5033,0,379,1710,26537,3471,36,8714,1717,2561,10995,0,43880,15937,0,9161,96472,1615,0,0,398,31,56,0,43880,0,0,0,45980
Dublin Police Department,2017-11-01,Georgia,16086,GA08701,3,2,0,2,1,0,8,4,0,0,0,1,0,0,0,1,0,2,12,8,14,34,0,0,0,5,3,0,1,12,13,17950,2015,0,0,5440,0,25405,29866,0,0,0,994,0,0,0,31,0,1026,367,999,12594,13960,100122,0,0,0,3957,939,0,12,3351,5701,1081,34,1908,1075,840,13690,0,32593,15364,104,3565,70256,838,16,0,0,186,0,0,5221,1814,104,283,8463
Dublin Police Department,2017-12-01,Georgia,16086,GA08701,3,2,0,4,1,0,10,2,1,0,0,0,0,0,0,0,1,1,16,15,16,47,1,0,0,8,3,0,0,17,18,3691,2220,0,25,18778,0,24714,12628,0,0,0,0,0,0,0,0,189,189,348,1662,9870,11880,62039,25,0,0,3584,3027,0,0,1784,3461,1824,213,14770,3335,124,323,0,12753,10047,249,5774,49411,701,87,0,0,0,322,0,8702,229,0,0,10040
Dublin Police Department,2018-01-01,Georgia,15756,GA08701,3,1,0,0,2,0,6,3,1,1,0,0,0,0,0,0,2,2,4,5,15,24,1,0,0,8,1,0,0,2,12,1335,6819,0,24403,0,0,32558,27126,0,0,0,0,0,0,0,0,849,849,118,612,19720,20449,108108,10,0,0,5845,182,0,0,3982,10429,5942,0,6027,303,243,6310,0,26817,29946,0,5394,80982,0,0,0,473,0,0,0,3640,0,0,0,4114
