agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total
Metter Police Department,2017-01-01,Georgia,4066,GA02101,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,174,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,311,0,311,485,0,0,0,0,0,0,0,0,311,0,0,174,0,0,0,0,0,311,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0
Metter Police Department,2017-02-01,Georgia,4066,GA02101,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,5,9,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0,0,0,186,186,0,0,0,0,0,0,0,0,0,0,0,76,0,11717,11793,11979,0,0,0,1009,0,0,0,7303,3481,480,7340,870,0,0,1989,0,0,554,0,746,11979,0,0,0,0,0,0,0,0,0,0,186,186
Metter Police Department,2017-03-01,Georgia,4066,GA02101,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,1,2,9,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,224,599,835,835,0,0,0,0,0,0,0,0,835,0,0,132,0,224,0,0,0,480,0,0,835,0,0,0,0,0,0,0,0,0,0,0,0
Metter Police Department,2017-04-01,Georgia,4066,GA02101,1,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,1,6,1,2,9,0,0,0,1,0,0,0,0,8,1,1,2,0,0,2113,0,0,0,0,2113,5631,0,0,0,0,0,0,0,0,0,0,1,92,1402,1495,14871,0,0,0,781,0,0,0,0,715,124,1867,777,0,0,249,0,4724,752,746,1,9240,0,0,0,0,0,0,0,4725,0,0,0,4725
Metter Police Department,2017-05-01,Georgia,4066,GA02101,2,1,3,0,0,1,7,0,0,0,0,1,1,0,0,0,0,2,8,1,4,13,0,1,0,2,0,0,0,0,10,0,1,1,0,0,1243,13378,0,0,0,14621,0,0,0,0,1,1125,0,0,0,0,1126,37,62,6696,6796,22543,0,62,0,5158,0,0,0,0,1576,1,75,2269,870,0,622,0,0,11884,5655,1168,22543,0,0,522,0,0,0,0,1,126,0,0,649
Metter Police Department,2017-06-01,Georgia,4066,GA02101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,11,0,2,0,2,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,292,3232,3538,3538,0,160,0,300,0,0,0,144,2934,132,0,2188,1,0,0,0,746,471,0,0,3538,132,0,0,0,0,0,0,0,62,0,0,194
Metter Police Department,2017-07-01,Georgia,4066,GA02101,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,3,2,1,6,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1871,0,0,0,1871,3729,0,0,0,0,0,0,0,0,0,0,36,354,1305,1696,11025,0,0,0,1510,0,0,0,0,185,155,0,107,870,435,0,0,3729,1999,0,0,7296,0,0,0,870,0,0,0,0,435,0,0,1305
Metter Police Department,2017-08-01,Georgia,4066,GA02101,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,3,4,1,4,9,0,2,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,10342,0,0,0,10924,0,111,2727,2838,13762,0,111,0,1019,0,0,0,0,1708,0,0,980,870,249,9945,0,0,600,1119,0,13762,0,0,0,0,0,0,0,0,247,1119,0,1366
Metter Police Department,2017-09-01,Georgia,4066,GA02101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,2,3,10,0,0,0,2,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,249,37,205,3565,3808,4056,0,0,0,37,0,0,0,2486,1284,0,249,99,781,298,2486,0,0,106,0,37,4056,0,0,0,781,0,0,0,0,0,0,0,781
Metter Police Department,2017-10-01,Georgia,4066,GA02101,1,0,3,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,10,0,3,13,0,0,0,3,0,0,0,0,10,0,0,0,0,0,1367,119024,0,0,644,121036,0,0,0,0,0,0,0,0,0,0,0,67,0,1144,1211,122246,0,0,0,627,0,0,0,0,584,0,117160,0,1367,0,559,0,0,2121,1039,0,122246,0,0,0,0,0,0,0,0,348,0,0,348
Metter Police Department,2017-11-01,Georgia,4066,GA02101,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,3,3,3,9,0,0,0,5,2,0,0,0,2,0,0,0,0,0,0,3014,0,1666,0,4680,3729,0,0,0,0,0,0,0,0,0,0,41,438,1740,2219,14357,0,0,0,2054,39,0,0,0,127,249,0,62,1057,0,0,0,3729,2393,0,3139,10628,0,0,0,0,0,0,0,0,0,0,0,0
Metter Police Department,2017-12-01,Georgia,4066,GA02101,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,4,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,6091,0,0,0,0,0,0,0,0,0,0,1,249,994,1244,13426,0,124,0,994,0,0,124,1,0,0,0,126,994,0,0,0,5842,373,0,0,7335,0,0,0,0,0,0,0,4351,249,0,0,4599
Metter Police Department,2018-01-01,Georgia,3981,GA02101,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2439,0,0,0,0,2439,0,0,0,0,0,0,0,0,0,0,0,1,157,3974,4132,6571,0,0,0,1098,0,0,3034,0,0,0,42,612,425,0,3034,0,0,491,0,1967,6571,0,0,0,0,0,0,0,0,0,0,0,0
Metter Police Department,2018-02-01,Georgia,3981,GA02101,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3155,0,0,0,0,3155,243,0,0,0,0,110,0,0,0,0,110,49,0,0,49,3799,0,0,0,0,0,0,0,49,0,2427,0,98,0,0,364,0,243,61,0,364,3557,0,0,0,0,0,0,0,0,49,0,0,49
Metter Police Department,2018-03-01,Georgia,3981,GA02101,3,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,1,3,8,0,0,0,2,3,0,0,2,1,0,0,0,0,36,1553,0,0,904,0,2494,0,0,0,0,0,0,0,0,0,0,0,47,73,7966,8086,10580,0,0,0,686,7304,0,0,24,73,0,24,73,0,182,0,0,0,8796,0,1505,10580,0,0,0,0,0,0,0,0,12,0,0,12
Metter Police Department,2018-04-01,Georgia,3981,GA02101,4,1,0,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,3,6,10,0,0,0,1,2,0,3,0,4,0,0,0,0,482,2822,0,607,376,0,4287,0,0,0,0,0,0,0,0,0,0,0,42,261,2571,2875,7162,0,0,0,61,152,0,1115,0,1547,0,564,0,266,607,1,0,0,4268,0,1456,7162,0,0,0,0,0,0,0,0,91,0,485,576
Metter Police Department,2018-05-01,Georgia,3981,GA02101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3640,0,0,0,0,0,0,0,0,0,0,34,0,2184,2218,9499,0,0,0,0,971,0,1213,34,0,0,5,0,0,17,0,0,3640,1347,0,849,5858,0,5,0,0,17,0,0,0,12,0,0,34
Metter Police Department,2018-06-01,Georgia,3981,GA02101,3,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,1,3,0,2,5,0,0,0,0,2,0,0,2,1,0,0,0,0,0,977,0,0,0,0,977,0,0,0,0,0,0,0,0,2,0,2,8,0,9989,9997,10977,0,0,0,0,8040,0,0,7,1950,0,0,2496,4,0,8040,0,0,437,0,0,10977,0,0,0,0,0,0,0,0,7,0,0,7
