agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total
Payette Police Department,2017-01-01,Idaho,7405,ID03803,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,9945,0,0,0,0,0,0,0,0,0,0,82,0,0,82,19971,0,0,0,0,0,0,0,22,60,0,51,0,0,12,0,0,9945,19,0,0,10027,0,0,0,0,12,0,0,1865,0,0,0,1877
Payette Police Department,2017-02-01,Idaho,7405,ID03803,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,3,6,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,150,0,2,0,153,1,0,0,0,0,0,0,0,0,0,0,6,329,7737,8073,8228,4972,0,0,2765,329,0,0,6,0,93,10,522,0,0,124,0,1,7084,0,392,8227,0,6,0,0,0,0,0,6217,0,0,0,6223
Payette Police Department,2017-03-01,Idaho,7405,ID03803,2,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,3,2,9,0,0,0,5,1,0,0,2,1,0,0,0,0,0,1585,0,0,0,0,1585,21754,0,0,0,0,0,0,0,0,0,0,52,199,1218,1469,46562,0,0,0,1349,12,0,0,96,12,379,21,218,0,0,0,0,21754,1068,1,1367,24808,68,0,0,0,0,0,0,21132,87,0,0,21288
Payette Police Department,2017-04-01,Idaho,7405,ID03803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,16,0,0,1,2,3,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,186,8419,8652,8652,0,0,1,186,2113,0,0,29,6322,0,455,1,1243,0,0,0,0,6953,0,0,8652,0,19,0,0,0,0,0,0,856,0,0,875
Payette Police Department,2017-05-01,Idaho,7405,ID03803,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,1,4,8,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,1,0,0,2697,2699,0,0,0,0,0,0,0,0,0,0,0,37,63,2927,3028,5727,0,0,0,965,0,0,0,11,2052,497,11,2,0,149,0,0,0,5067,0,0,5727,0,0,0,0,0,0,0,0,0,0,0,0
Payette Police Department,2017-06-01,Idaho,7405,ID03803,0,1,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,9,12,3,0,0,2,2,0,0,0,5,0,0,0,0,155,0,0,124,0,0,280,8080,0,0,0,0,0,0,0,0,0,0,0,283,105777,106060,122500,96409,0,0,2561,3885,0,0,0,3206,26,0,47,1057,623,497,0,8080,99852,1566,2671,114420,1,0,0,0,0,0,0,6215,1,0,0,6218
Payette Police Department,2017-07-01,Idaho,7405,ID03803,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,1,6,9,0,0,0,3,2,0,0,1,3,0,0,0,0,0,0,0,0,0,124,124,21759,0,0,0,0,0,0,0,0,0,0,34,62,3616,3712,47354,0,0,0,1150,1130,0,0,2,1430,0,2,129,746,0,249,0,21759,1715,0,994,25595,0,0,0,0,0,0,0,9328,0,0,994,10322
Payette Police Department,2017-08-01,Idaho,7405,ID03803,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,3,4,9,16,0,1,0,2,3,0,0,0,10,0,0,0,0,0,0,0,0,0,870,870,37789,0,0,0,0,0,0,0,0,0,0,51,443,13612,14105,90554,0,373,0,1740,6402,0,0,0,5590,0,12,622,0,7,0,0,37292,11599,1616,1616,52765,0,0,0,0,0,0,0,37292,0,746,746,38784
Payette Police Department,2017-09-01,Idaho,7405,ID03803,0,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,1,1,0,1,2,0,0,1,4,0,0,0,0,2486,0,679,0,0,31,3196,0,0,0,0,0,0,0,0,0,0,0,0,317,31618,31935,35130,62,186,0,6849,19330,0,0,68,5438,0,6880,1243,684,0,25,0,0,23346,0,2952,35130,0,0,1243,0,0,0,0,0,0,0,0,1243
Payette Police Department,2017-10-01,Idaho,7405,ID03803,1,0,0,1,0,0,2,3,0,2,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,1,1,0,0,0,2,0,0,0,0,0,622,0,0,4,0,625,30517,0,0,0,0,0,0,0,0,0,0,50,0,4475,4525,66185,0,0,0,373,3729,0,0,0,423,0,4,0,373,0,0,0,30517,50,373,4351,35667,0,0,0,0,0,0,0,30517,50,0,0,30567
