agency,year,state,population,ORI,offenses_burglary_resident_day,offenses_burglary_resident_night,offenses_burglary_resident_unknown,offenses_burglary_nonresident_day,offenses_burglary_nonresident_night,offenses_burglary_nonresident_unknown,offenses_burglary_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_miscellaneous,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_picking_pocket,offenses_theft_purse_snatching,offenses_theft_shoplifting,offenses_theft_all_other,value_burglary_resident_night,value_burglary_resident_day,value_burglary_resident_unknown,value_burglary_nonresident_night,value_burglary_nonresident_day,value_burglary_nonresident_unknown,value_burglary_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_miscellaneous,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_picking_pocket,value_theft_purse_snatching,value_theft_shoplifting,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewelry_metal,value_stolen_livestock,value_stolen_local_motor_vehicle,value_stolen_miscellaneous,value_stolen_office_equipment,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_household_good,value_recovered_jewelry_metal,value_recovered_livestock,value_recovered_local_motor_vehicle,value_recovered_miscellaneous,value_recovered_office_equipment,value_recovered_tv_and_radio,value_recovered_total
Gibraltar Police Department,2017-01-01,Michigan,4472,MI82423,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,8702,0,0,0,0,0,0,0,0,0,0,4,0,1526,1530,18933,0,0,0,4,1526,0,0,0,0,0,0,0,0,0,0,0,7458,909,0,1865,10232,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2017-02-01,Michigan,4472,MI82423,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,153,622,794,794,0,0,0,622,153,0,0,20,0,0,5,0,0,0,15,0,0,153,0,622,794,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2017-03-01,Michigan,4472,MI82423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,62,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2017-04-01,Michigan,4472,MI82423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,559,614,614,0,0,0,0,0,0,0,55,559,0,0,0,311,0,0,0,0,303,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2017-05-01,Michigan,4472,MI82423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,7,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,18646,0,0,0,0,0,0,0,0,0,0,6,0,13083,13090,50382,0,0,0,1249,11840,0,0,0,0,0,31,4357,435,2859,2486,0,18646,1119,0,1802,31736,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2017-06-01,Michigan,4472,MI82423,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,12182,0,0,0,0,0,0,0,0,0,0,25,0,374,399,24763,0,0,0,399,0,0,0,0,0,124,0,25,0,0,0,0,8080,4103,0,249,12581,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2017-07-01,Michigan,4472,MI82423,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,12431,0,0,0,0,0,0,0,0,0,0,14,0,273,287,25149,0,0,0,14,273,0,0,0,0,186,12,75,0,0,0,0,12431,14,0,0,12718,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2017-08-01,Michigan,4472,MI82423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,6,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,102864,102892,102892,0,0,0,1616,1802,0,0,27,99446,435,0,99446,0,1492,0,0,0,1208,0,311,102892,0,0,0,0,62,0,0,0,27,0,0,90
Gibraltar Police Department,2017-09-01,Michigan,4472,MI82423,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,3356,0,0,0,0,0,3356,2486,0,0,0,0,0,0,0,0,0,0,0,0,1131,1131,9460,0,0,0,249,883,0,0,0,0,0,0,0,0,0,3356,0,2486,249,0,883,6974,0,0,0,0,0,0,0,2486,0,0,0,2486
Gibraltar Police Department,2017-10-01,Michigan,4472,MI82423,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10069,10069,10069,0,0,0,0,7583,0,0,0,2486,0,0,0,0,0,7583,0,0,2486,0,0,10069,0,0,0,0,0,0,0,0,2486,0,0,2486
