agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total,price,in_2023_dollars
State Police: Oswego County,2017-01-01,New York,0,NY337SD,6,2,6,1,0,0,15,1,0,5,0,0,0,0,0,0,0,0,3,6,13,22,1,0,0,2,5,0,1,4,9,0,0,0,0,17,9466,68636,0,0,0,78120,1492,0,0,0,0,0,0,0,0,0,0,70,709,30941,31719,112823,3108,0,0,11312,12284,0,124,1260,3631,112,118,31733,1213,124,323,0,1492,75271,0,945,111331,0,0,17,0,0,0,0,0,1151,0,0,1168,1,1.24307319386626
State Police: Oswego County,2017-02-01,New York,0,NY337SD,1,4,2,0,0,0,7,6,1,2,0,0,0,0,0,0,0,0,6,3,9,18,1,0,0,1,3,0,0,3,10,2,0,2,0,449,1367,740,0,0,0,2556,17275,0,0,0,0,0,0,0,0,0,0,127,313,27975,28415,65521,50,0,0,328,628,0,0,1481,25929,124,4,24558,124,12,0,0,16287,7077,0,60,48246,0,0,0,0,0,0,0,9946,1037,0,60,11042,1,1.24307319386626
State Police: Oswego County,2017-03-01,New York,0,NY337SD,0,1,5,1,0,0,7,1,0,6,0,0,0,0,0,0,0,0,3,2,16,21,0,0,0,1,4,0,0,2,14,2,0,2,0,249,0,8979,0,405,0,9633,939,0,1,0,0,0,0,0,0,0,0,56,227,182688,182972,194483,0,0,0,441,2059,0,0,25,180447,6,787,174627,1554,300,15,0,932,13614,622,1088,193544,6,0,0,497,51,15,0,932,1029,622,186,3339,1,1.24307319386626
State Police: Oswego County,2017-04-01,New York,0,NY337SD,2,0,6,1,0,2,11,3,0,1,0,0,0,0,0,0,0,0,11,13,12,36,1,1,0,17,2,0,0,6,9,3,0,3,0,0,286,34091,0,1369,124,35870,250,0,0,0,0,0,0,0,0,0,0,126,1820,17066,19012,55381,124,149,0,4291,497,0,0,342,13608,124,484,39729,249,952,1,0,250,12697,0,646,55132,0,194,434,0,12,0,0,6465,0,0,0,7105,1,1.24307319386626
State Police: Oswego County,2017-05-01,New York,0,NY337SD,5,3,2,0,0,1,11,1,0,10,0,0,0,0,0,1,0,1,11,5,22,38,1,2,0,5,7,0,0,1,22,0,0,0,0,75,2888,1554,0,0,62,4578,7458,0,0,0,0,0,0,0,497,0,497,232,807,113105,114144,134136,373,297,0,3769,3607,0,0,430,105667,0,25,101021,808,1,622,0,7458,15175,870,697,126678,0,0,2,373,0,0,0,0,965,0,1,1341,1,1.24307319386626
State Police: Oswego County,2017-06-01,New York,0,NY337SD,11,5,11,2,0,1,30,3,0,9,0,0,0,0,0,0,0,0,5,10,18,33,2,1,0,4,7,0,0,5,14,2,0,2,0,3295,34150,4543,0,2545,346,44879,11454,0,0,0,0,0,0,0,0,0,0,109,1290,35721,37121,104907,1057,149,0,847,2163,0,0,1168,31737,62,1284,42306,124,346,10069,0,11454,25560,0,2249,93453,0,348,0,0,346,0,0,11454,622,0,0,12769,1,1.24307319386626
State Police: Oswego County,2017-07-01,New York,0,NY337SD,3,2,6,0,1,1,13,1,0,6,0,0,0,0,0,0,0,0,13,11,20,44,1,0,0,3,8,0,1,7,24,0,0,0,0,2200,2971,3072,528,0,124,8895,1243,0,0,0,0,0,0,0,0,0,0,190,1398,31286,32874,44256,758,0,0,2635,3256,0,354,1866,24005,0,7,20793,0,1009,1492,0,497,16194,1243,1778,43013,0,5,2446,0,0,0,0,0,2947,0,0,5399,1,1.24307319386626
State Police: Oswego County,2017-08-01,New York,0,NY337SD,6,3,6,2,0,1,18,8,0,3,0,0,0,0,0,0,0,0,15,10,23,48,1,2,0,7,7,0,0,6,25,2,0,2,0,1510,5867,6030,0,9219,4093,26720,31227,0,0,0,0,0,0,0,0,0,0,199,1049,29363,30611,119785,174,199,0,1343,7241,0,0,1029,20625,0,159,26399,0,435,5560,0,30828,24215,31,930,88558,0,0,314,0,0,41,0,17403,1,31,0,17791,1,1.24307319386626
State Police: Oswego County,2017-09-01,New York,0,NY337SD,2,4,3,1,0,2,12,1,0,7,0,0,0,0,0,0,0,0,10,8,22,40,2,0,0,2,4,0,0,9,23,0,0,0,0,2408,832,2486,0,124,746,6596,0,0,1,0,0,0,0,0,0,0,0,348,1059,57130,58538,65135,44,0,0,301,6880,0,0,2009,49304,92,201,47258,746,970,379,0,0,14867,0,622,65135,0,0,2487,0,62,0,0,0,715,0,0,3264,1,1.24307319386626
State Police: Oswego County,2017-10-01,New York,0,NY337SD,3,2,8,1,0,2,16,8,0,4,0,0,0,0,0,0,0,0,13,5,14,32,0,0,0,2,5,0,0,9,16,2,0,2,0,1280,830,12999,0,0,681,15791,55758,0,0,0,0,0,0,0,0,0,0,259,541,33682,34482,161788,0,0,0,1164,2545,0,0,1492,29282,50,41,27193,1493,3978,249,0,40332,28400,0,4295,106030,0,19,0,0,3978,0,0,33563,17382,0,0,54941,1,1.24307319386626
