agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total,price,in_2023_dollars
Levelland Police Department,2017-01-01,Texas,13901,TX11001,1,0,5,0,0,2,8,2,0,2,0,0,0,0,0,0,0,0,8,6,10,24,0,2,0,12,0,0,0,3,7,2,0,2,0,0,1223,4437,0,0,7947,13607,2,0,0,0,0,0,0,0,0,0,0,87,870,10775,11732,25344,0,1181,0,8163,0,0,0,865,1523,873,0,1335,870,746,375,0,2,18641,1200,1299,25341,0,0,0,0,0,0,0,12433,31,0,0,12464,1,1.24307319386626
Levelland Police Department,2017-02-01,Texas,13901,TX11001,0,0,2,0,0,3,5,1,0,1,0,0,0,0,0,0,0,0,9,9,11,29,0,2,0,7,0,0,0,5,15,0,0,1,1,0,0,2499,0,0,6,2505,0,0,0,0,0,0,0,0,0,0,0,178,1305,276376,277859,280364,0,199,0,13506,0,0,0,635,263519,374,75,260091,0,1418,398,0,0,16343,174,1492,280364,0,0,2,0,0,0,0,0,10001,0,0,10003,1,1.24307319386626
Levelland Police Department,2017-03-01,Texas,13901,TX11001,4,1,2,0,0,4,11,3,0,4,0,0,0,0,0,0,0,0,10,4,12,26,0,0,0,6,0,0,0,7,13,1,0,3,2,62,12884,16731,0,0,149,29826,2489,0,0,0,0,0,0,0,0,0,0,205,535,12395,13134,47938,0,0,0,4414,0,0,0,951,7769,25,144,7313,31,127,8049,0,2489,16763,4325,6184,45449,0,45,0,0,25,0,0,2,1802,0,0,1875,1,1.24307319386626
Levelland Police Department,2017-04-01,Texas,13901,TX11001,2,0,7,0,0,7,16,2,0,1,0,0,0,0,0,0,0,0,5,5,15,25,0,1,0,8,0,0,0,7,9,2,0,2,0,0,6720,3187,0,0,9572,19479,52234,0,0,0,0,0,0,0,0,0,0,194,806,14753,15752,139699,0,186,0,4627,0,0,0,4800,6140,684,0,1692,451,101,812,0,52234,27994,2113,1385,87465,0,0,0,0,0,0,0,46640,4524,0,0,51164,1,1.24307319386626
Levelland Police Department,2017-05-01,Texas,13901,TX11001,1,0,3,0,0,3,7,2,0,3,0,0,0,0,0,0,0,0,8,5,13,26,0,0,0,1,0,0,0,7,18,1,0,1,0,0,249,897,0,0,249,1395,2,0,0,0,0,0,0,0,0,0,0,145,484,19570,20199,21598,0,0,0,99,0,0,0,574,19525,121,1896,1996,1,249,0,0,2,16785,249,297,21596,0,31,1,1,0,0,0,2,48,0,0,85,1,1.24307319386626
Levelland Police Department,2017-06-01,Texas,13901,TX11001,0,2,5,0,0,3,10,3,0,3,0,0,0,0,0,0,1,1,7,9,19,35,0,2,0,5,0,0,0,6,22,0,0,0,0,1467,0,2610,0,0,5059,9137,8081,0,0,0,0,0,0,0,0,1,1,108,1201,101799,103108,128408,0,721,0,649,0,0,0,1457,100281,1492,1019,4545,0,1094,374,0,8081,101613,1131,978,120327,0,347,0,0,0,1,0,0,88,0,0,436,1,1.24307319386626
Levelland Police Department,2017-07-01,Texas,13901,TX11001,0,2,9,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,10,10,25,45,0,0,0,15,0,0,0,5,25,1,0,1,0,1523,0,11193,0,0,0,12715,6215,0,0,0,0,0,0,0,0,0,0,98,1416,84335,85849,110995,0,0,0,23514,0,0,0,1587,60748,1351,11,6787,1918,994,5129,0,6215,76802,2665,2906,104780,87,11,0,0,0,0,0,6215,93,0,0,6407,1,1.24307319386626
Levelland Police Department,2017-08-01,Texas,13901,TX11001,1,2,3,0,1,4,11,3,0,1,0,0,0,0,0,0,0,0,6,7,17,30,0,2,0,9,0,0,0,6,13,1,0,1,0,4686,2019,2972,392,0,1013,11082,87015,0,0,0,0,0,0,0,0,0,0,37,929,17051,18017,203129,0,553,0,12947,0,0,0,947,3570,4031,1,2726,1740,1349,2922,0,87015,11607,1926,2797,116114,184,0,0,0,994,0,0,62154,894,994,0,65220,1,1.24307319386626
Levelland Police Department,2017-09-01,Texas,13901,TX11001,1,3,2,1,0,3,10,2,0,0,0,0,0,1,1,0,0,2,8,12,19,39,0,1,0,10,0,0,0,5,23,1,0,1,0,1626,746,1398,0,448,6742,10960,6215,0,0,0,0,0,6,1,0,0,7,116,1525,19275,20916,44314,0,93,0,6432,0,0,0,485,13906,511,26,1320,5625,4350,186,0,6215,17573,1093,1200,38099,0,0,0,0,0,186,0,1,532,906,68,1694,1,1.24307319386626
Levelland Police Department,2017-10-01,Texas,13901,TX11001,5,1,3,1,1,2,13,4,0,1,0,0,0,0,0,0,0,0,5,6,11,22,0,1,0,12,0,0,0,0,9,2,0,2,0,1418,46931,3482,5084,5221,10877,73013,44129,0,0,0,0,0,0,0,0,0,0,145,728,14152,15026,176298,0,81,0,7864,0,0,0,0,7082,1479,42,3101,2859,0,41740,0,44129,34709,3549,559,132169,0,0,0,0,0,0,0,39778,425,0,0,40203,1,1.24307319386626
Levelland Police Department,2017-11-01,Texas,13901,TX11001,1,1,3,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,8,7,23,38,0,0,0,15,0,0,0,3,20,2,0,5,3,0,26,4532,0,0,0,4558,22377,0,0,0,0,0,0,0,0,0,0,184,873,29008,30065,79376,0,0,0,8787,0,0,0,1280,19997,3336,56,10075,398,3232,2,0,22377,14518,285,2721,57000,886,4,0,0,0,2,0,22375,2249,0,0,25517,1,1.24307319386626
Levelland Police Department,2017-12-01,Texas,13901,TX11001,0,2,6,0,1,1,10,3,0,3,0,0,0,0,0,0,0,0,7,7,13,27,0,2,0,6,0,0,0,3,16,1,0,3,2,19,0,5036,1,0,1218,6274,13290,0,0,0,0,0,0,0,0,0,0,92,711,10373,11176,44030,0,394,0,2588,0,0,0,699,7496,3073,7,808,1479,480,798,0,13290,6455,3355,994,30740,0,7,0,0,0,0,0,3109,77,497,0,3691,1,1.24307319386626
Levelland Police Department,2018-01-01,Texas,13646,TX11001,0,3,4,0,1,2,10,1,0,1,0,0,0,0,0,0,0,0,6,4,11,21,0,1,0,7,0,0,0,3,10,0,0,0,0,1639,0,6173,322,0,0,8134,7281,0,0,0,0,0,0,0,0,0,0,84,434,10701,11219,33914,0,61,0,4008,0,0,0,119,7032,2193,11,1369,0,4049,4126,0,7281,4650,2092,864,26634,231,11,0,0,1,2427,0,0,318,0,0,2987,1,1.21343405628813
Levelland Police Department,2018-02-01,Texas,13646,TX11001,0,2,2,0,1,0,5,4,0,4,0,0,0,0,0,0,0,0,2,10,15,27,0,2,0,8,0,0,0,9,8,2,0,2,0,407,0,8227,3762,0,0,12395,15993,0,0,0,0,0,0,0,0,0,0,79,1164,86494,87736,132117,0,206,0,19417,0,0,0,2053,66059,416,149,62516,1334,0,2,0,15993,32186,487,3041,116124,76,0,1335,0,0,2,0,3034,0,0,0,4447,1,1.21343405628813
Levelland Police Department,2018-03-01,Texas,13646,TX11001,1,1,3,0,0,1,6,4,0,1,0,0,0,0,0,0,0,0,8,11,8,27,0,2,1,8,0,0,0,6,10,3,1,4,0,934,108,23171,0,0,97,24310,44501,0,0,0,0,0,0,0,0,0,0,170,1348,9131,10649,123962,0,254,1,4302,0,0,0,553,5539,388,38,9745,0,49,0,0,44501,21651,2724,364,79461,0,0,0,848,0,0,0,44501,576,0,0,45926,1,1.21343405628813
Levelland Police Department,2018-04-01,Texas,13646,TX11001,1,0,4,0,0,3,8,1,1,2,0,0,0,0,0,0,0,0,4,10,7,21,0,0,0,7,0,0,0,6,8,1,0,1,0,0,364,4536,0,0,3034,7933,1,0,0,0,0,0,0,0,0,0,0,28,1875,3503,5406,13342,0,0,0,2289,0,0,0,807,2310,1213,27,1145,0,667,149,0,1,6788,243,3106,13340,4,0,794,0,243,149,0,1,115,0,558,1864,1,1.21343405628813
Levelland Police Department,2018-05-01,Texas,13646,TX11001,1,0,5,0,0,3,9,2,0,2,0,0,0,0,0,0,0,0,6,13,19,38,0,0,0,14,0,0,0,4,20,2,0,3,1,0,728,6322,0,0,3640,10690,2,0,0,0,0,0,0,0,0,0,0,2,1568,16435,18005,28700,0,0,0,4626,0,0,0,1301,12079,69,112,4031,728,402,607,0,2,22213,431,103,28698,0,8,0,0,0,0,0,2,3399,0,0,3410,1,1.21343405628813
Levelland Police Department,2018-06-01,Texas,13646,TX11001,0,2,2,0,0,6,10,3,0,4,0,1,0,0,0,0,1,2,8,2,8,18,0,1,0,0,0,0,0,3,14,3,0,4,1,5281,0,212,0,0,2603,8096,50975,0,0,0,131,0,0,0,0,364,495,176,201,7443,7821,118362,0,49,0,0,0,0,0,42,7730,365,18,392,0,0,98,0,55222,10702,61,528,67387,0,0,0,0,0,0,0,55222,1298,61,334,56915,1,1.21343405628813
Levelland Police Department,2018-07-01,Texas,13646,TX11001,0,0,3,0,1,6,10,1,0,1,0,0,0,0,0,0,0,0,2,3,8,13,0,0,0,1,0,0,0,2,10,0,0,0,0,0,0,6128,5,0,6577,12710,3640,0,0,0,0,0,0,0,0,0,0,55,421,6062,6538,26528,0,0,0,36,0,0,0,460,6042,409,0,831,427,5460,194,0,3640,9314,1883,728,22888,0,0,0,0,0,0,0,0,584,1216,728,2528,1,1.21343405628813
Levelland Police Department,2018-08-01,Texas,13646,TX11001,1,0,3,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,5,9,13,27,0,0,0,8,0,0,0,10,9,0,0,0,0,0,2,2100,0,0,16992,19095,0,0,0,0,0,0,0,0,0,0,0,56,1399,11668,13123,32218,0,0,0,2301,0,0,0,2190,8632,1222,133,1034,620,4,485,0,14561,11882,243,2034,32218,177,51,1,0,0,0,0,14561,1399,0,30,16220,1,1.21343405628813
Levelland Police Department,2018-09-01,Texas,13646,TX11001,0,1,5,0,0,6,12,3,0,1,0,0,0,0,0,0,0,0,8,7,16,31,0,1,1,8,0,0,0,5,16,1,0,1,0,10423,0,5783,0,0,3932,20138,31550,0,0,0,0,0,0,0,0,0,0,112,1154,12572,13838,97077,0,218,305,5619,0,0,0,112,7584,632,0,539,3580,728,0,0,31550,25010,1302,2185,65527,0,0,0,0,0,0,0,18202,41,0,0,18243,1,1.21343405628813
Levelland Police Department,2018-10-01,Texas,13646,TX11001,0,8,0,6,3,0,17,3,0,0,0,0,0,0,0,0,0,0,5,7,10,22,0,1,0,8,0,0,0,5,8,0,0,0,0,17158,0,0,4334,12938,0,34430,32157,0,0,0,0,0,0,0,0,0,0,86,1096,163373,164555,263299,0,182,0,5220,0,0,0,263,158889,4520,81,1820,1547,0,158826,0,32157,21450,6175,4565,231142,0,0,0,0,0,0,0,1820,616,0,0,2437,1,1.21343405628813
Levelland Police Department,2018-11-01,Texas,13646,TX11001,4,5,0,0,1,0,10,6,0,4,0,0,0,0,0,0,0,0,3,3,11,17,0,0,0,3,0,0,0,2,12,0,0,0,0,1031,1892,0,971,0,0,3894,30654,0,0,0,0,0,0,0,0,0,0,11,326,38607,38944,104145,0,0,0,116,0,0,0,64,38763,0,4,3895,243,4,182,0,30339,36972,485,1365,73489,0,0,109,485,0,0,0,4,243,0,0,841,1,1.21343405628813
Levelland Police Department,2018-12-01,Texas,13646,TX11001,3,4,0,0,3,0,10,3,0,4,0,0,0,1,0,0,0,1,7,2,6,15,0,0,0,5,0,0,0,3,7,0,0,0,0,13347,66581,0,607,0,0,80534,23202,0,0,0,0,0,121,0,0,0,121,63,258,9499,9820,136880,0,0,0,2301,0,0,0,203,7317,249,5,3709,541,1986,65767,0,23275,15107,1074,1965,113678,0,0,0,0,0,0,0,1,728,0,0,729,1,1.21343405628813
Levelland Police Department,2019-01-01,Texas,13530,TX11001,1,3,0,0,1,0,5,2,0,4,0,0,0,1,0,0,0,1,9,6,9,24,0,2,1,3,0,0,0,10,8,0,13400,0,56340,0,0,0,0,0,0,119184,0,0,0,0,0,119,0,0,0,0,0,0,661468699,6,0,0,6,738938006,0,0,5811,77469307,0,0,743705,135,762774716,0,0,14,23837,14362,691264586,0,0,0,0,0,0,4,727019651,0,35755065,0,0,835,11918,33,0,1,1.19183549339627
Levelland Police Department,2019-02-01,Texas,13530,TX11001,0,3050,4,0,0,4000000,4003054,1135600,1500000,0,0,0,3000,1400000,0,18000,55900,1476900,4908000,0,0,4908000,0,1,0,0,0,0,0,0,100000,60,30,0,10,377,357550648,383056,11918355,358,0,0,119,0,0,358,4,0,0,0,0,834284845,0,0,0,0,0,0,214530396,358,2383671,238367,321796,0,119183549,0,0,202612034,0,0,0,0,0,0,0,0,0,0,0,0,23837,0,0,0,0,0,0,0,0,0,0,1,1.19183549339627
Levelland Police Department,2019-03-01,Texas,13530,TX11001,66,0,8000000,2800000,0,84,10800150,0,0,0,20,0,0,0,0,0,0,20,0,2000,0,2000,62,4000000,3400000,0,18,0,0,0,0,0,0,0,0,0,768734,0,2383671,287,595917747,358,0,0,143,0,0,0,0,0,0,97145,0,36,321795583,0,238367099,0,8,11084070,238367099,0,10022,243134441,7,1072651944,0,0,46481584,0,0,0,3576,0,0,0,0,0,0,2733,0,2,0,0,299150709,0,119184,0,1,0,2,1,1.19183549339627
Levelland Police Department,2019-04-01,Texas,13530,TX11001,0,0,0,20000,40000,0,60000,0,20000,0,10000,70000,0,30000,0,60000,80000,250000,80000,10000,0,90000,0,0,0,0,0,0,0,0,0,0,0,49,0,241,0,0,1,70318294,0,0,0,0,0,0,0,0,0,0,1,0,846203200,1157272264,2,0,17472,119184,0,20,0,0,932015356,0,60783610,17652,0,0,129,43395,0,3575506,0,250285454,0,0,0,0,0,0,0,0,0,0,5993,0,0,654317686,0,59591775,477,1,1.19183549339627
Levelland Police Department,2019-05-01,Texas,13530,TX11001,0,2000000,0,0,0,0,2000000,0,0,720000,10698,0,0,0,33700,0,0,44398,0,0,0,0,2,4000000,260000,0,0,0,0,0,0,0,0,0,0,0,0,238,59592,0,12,0,1191835,0,1,0,596,11918355,119183549,33014,0,0,0,119,71510131,953468,95347,0,11918,4767342,0,0,0,1192,238367,0,0,0,0,0,0,0,0,0,0,0,0,0,65789319,0,0,49,0,0,381387358,120995139,0,324,0,6,166856969,1,1.19183549339627
Levelland Police Department,2019-06-01,Texas,13530,TX11001,0,0,0,0,0,250000,250000,0,125000,0,0,0,273390,0,0,4249,2500,280139,0,0,47500,47500,0,14,0,120,6140000,0,0,0,0,0,0,0,0,565,357550648,41714,0,0,0,0,119183549,0,0,297959,52,23240792,143020,0,1,119183549,262203809,1068122969,1,0,4838,119,297959,0,0,0,0,0,0,0,0,0,119,0,119184,2,0,0,0,0,0,2981,36,47673426,1311019,0,0,9535,0,71510140,358,3099,0,0,59592,1,1.19183549339627
Levelland Police Department,2019-07-01,Texas,13530,TX11001,0,0,0,6000000,0,0,6000000,0,0,80,90,0,0,60,20,0,10,180,0,0,0,0,0,0,3800000,0,13,12780,0,0,2,0,0,1000000,26,98922346,6827,0,773501,0,113224372,7714,0,32179558,2450,0,0,0,0,0,0,0,5,215,100271504,0,187118172,0,0,1787753,0,2231,0,0,0,555395340,0,0,736554335,393305713,3129760,0,0,100273,0,0,1714,0,120375,1371,0,0,113224372,0,0,6988923,0,114,0,0,29795887,1,1.19183549339627
Levelland Police Department,2019-08-01,Texas,13530,TX11001,0,0,0,0,0,0,0,30,0,0,2000000,0,0,0,0,1,8007,2008008,0,0,50,50,20,0,0,0,0,6000000,804,8300010,0,0,0,0,0,596,250285,3575506,0,4767,238367,0,0,0,0,0,0,47673,0,596,1191835,12,83428495,17877532,0,0,0,0,0,0,0,0,0,0,0,0,0,16685697,15,0,0,0,0,0,19,0,178775324,0,0,595917747,154951,51427702,94,667427876,81,0,12145,456151198,0,1036897,0,1,1.19183549339627
Levelland Police Department,2019-09-01,Texas,13530,TX11001,0,0,0,0,0,0,0,0,0,0,0,8,0,0,150,0,3000000,3000158,0,0,0,0,1,8000000,10000,0,13,4306,0,0,0,9000100,0,200,0,462908906,3012,238367099,119,0,0,2,0,369469003,36,119183549,29795887,0,0,23837,0,6,0,0,357670,0,0,0,0,0,186760622,0,0,0,0,0,546,12,3575506,0,358,0,0,0,0,13110,0,11918361,1668570,59592,0,47673428,0,47673420,2980,119184,0,0,119,1192,0,1,1.19183549339627
